m/z,Composition,Glycan Structure,Name,Glycoprofiles
966,NeuAc(2)Hex(1)HexNAc(1),NeuAcα2-3Galβ1-3(NeuAcα2-6)GalNAcol,966,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-AG', 'P5TA-AS', 'P8H', 'P9H', 'P10H']"
975,Hex(2)HexNAc(2)dHex(1)Sul(1),Galβ1-3[Fucα1-2Galβ1-4(6S)GlcNAcβ1-6]GalNAcol,975-1,"['P5TA-AS', 'P10H']"
975,Hex(2)HexNAc(2)dHex(1)Sul(1),Gal(Fuc)(6S)GlcNAc-Galβ1-3GalNAcol,975-2,"['P2TS', 'P4TS']"
975,Hex(2)HexNAc(2)dHex(1)Sul(1),Fucα1-2Galβ1-3[Galβ1-4(6S)GlcNAcβ1-6]GalNAcol,975-3,"['P2TS', 'P4TS', 'P7TA-AS']"
993,Hex(1)HexNAc(4),GlcNAc-Gal+GlcNAcβ1-3(GlcNAcβ1-6)GalNAcol,993-1,"['P2TS', 'P4TS']"
993,Hex(1)HexNAc(4),HexNAc1-4Galβ1-3(GalNAcβ1-4GlcNAcβ1-6)GalNAcol,993-2,"['P2TS', 'P4TS', 'P4TI']"
1016,Hex(1)HexNAc(3)dHex(1)Sul(1),GalNAcα1-3(Fucα1-2)Galβ1-3(SGlcNAcβ1-6)GalNAcol,1016-1,"['P2TS', 'P4TS']"
1016,Hex(1)HexNAc(3)dHex(1)Sul(1),Fucα1-2Galβ1-3[GalNAcβ1-4(S)GlcNAcβ1-6]GalNAcol,1016-2,['P1TS']
1032,Hex(2)HexNAc(3)Sul(1),HexNAc1-4Galβ1-3[Galβ1-4(S)GlcNAcβ1-6]GalNAcol,1032,['P4TS']
1040,NeuAc(1)Hex(2)HexNAc(2),NeuAcα2-3Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,1040-1,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AS', 'P7TA-AS', 'P8H', 'P9H', 'P10H']"
1040,NeuAc(1)Hex(2)HexNAc(2),Galβ1-3(NeuAcα2-3Galβ1-4GlcNAcβ1-6)GalNAcol,1040-2,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P6TA-FS', 'P5TA-AS', 'P8H', 'P10H']"
1041,Hex(2)HexNAc(2)dHex(2),Fucα1-2Galβ1-3[Gal(Fuc)GlcNAcβ1-6]GalNAcol,1041-1,['P7TA-AG']
1041,Hex(2)HexNAc(2)dHex(2),Fucα1-2Galβ1-3GlcNAcβ1-3(Fucα1-2)Galβ1-3GalNAcol,1041-2,"['P1TS', 'P9H']"
1041,Hex(2)HexNAc(2)dHex(2),Fucα1-2Galβ1-3(Fucα1-2Galβ1-3GlcNAcβ1-6)GalNAcol,1041-3,['P1TS']
1041,Hex(2)HexNAc(2)dHex(2),Fucα1-2Galβ1-3[Gal(Fuc)GlcNAcβ1-6]GalNAcol,1041-4,"['P6TA-FG', 'P5TA-AS', 'P7TA-AG']"
1041,Hex(2)HexNAc(2)dHex(2),Fucα1-2Galβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-6)GalNAcol,1041-5,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AS', 'P5TA-AG', 'P7TA-AS', 'P7TA-AG', 'P8H', 'P9H', 'P10H']"
1057,Hex(3)HexNAc(2)dHex(1),Galα1-3(Fucα1-2)Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,1057-1,"['P1TI', 'P5TA-AS', 'P10H']"
1057,Hex(3)HexNAc(2)dHex(1),Galβ1-3[Fucα1-2(Galα1-3)Galβ-GlcNAcβ1-6]GalNAcol,1057-2,"['P1TI', 'P4TI', 'P5TA-AS', 'P5TA-AG', 'P9H', 'P10H']"
1057,Hex(3)HexNAc(2)dHex(1),Fucα1-2Galβ1-3(Galα1-3Galβ-GlcNAcβ1-6)GalNAcol,1057-3,"['P4TI', 'P5TA-AG', 'P9H']"
1081,NeuAc(1)Hex(1)HexNAc(3),NeuAcα2-3Galβ1-3(GalNAcβ1-4GlcNAcβ1-6)GalNAcol,1081-1,['P1TS']
1081,NeuAc(1)Hex(1)HexNAc(3),NeuAcα2-3Gal-GlcNAcβ1-3(GlcNAcβ1-6)GalNAcol,1081-2,['P10H']
1082,Hex(1)HexNAc(3)dHex(2),GlcNAcβ1-3[Fucα1-2Gal(Fuc)GlcNAcβ1-6]GalNAcol,1082,['P2TS']
1098,Hex(2)HexNAc(3)dHex(1),Fucα1-2(GalNAcα1-3)Galβ1-4GlcNAc-Galβ1-3GalNAcol,1098-1,"['P1TS', 'P1TI', 'P2TS', 'P8H']"
1098,Hex(2)HexNAc(3)dHex(1),Galβ1-3[Fucα1-2(GalNAcα1-3)Galβ1-4GlcNAcβ1-6]GalNAcol,1098-2,"['P1TS', 'P1TI', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AS', 'P5TA-AG', 'P7TA-AG', 'P8H', 'P9H']"
1098,Hex(2)HexNAc(3)dHex(1),Gal(Fuc)GlcNAc-Galβ1-3(GlcNAcβ1-6)GalNAcol,1098-3,"['P6TA-FS', 'P10H']"
1098,Hex(2)HexNAc(3)dHex(1),Fucα1-2(GalNAcα1-3)Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,1098-4,"['P1TI', 'P2TS', 'P4TI', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AS', 'P5TA-AG', 'P7TA-AG', 'P8H']"
1098,Hex(2)HexNAc(3)dHex(1),GlcNAcα1-4Galβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-6)GalNAcol,1098-5,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P5TA-AS', 'P5TA-AG', 'P7TA-AG', 'P8H', 'P10H']"
1098,Hex(2)HexNAc(3)dHex(1),Fucα1-2Galβ1-3(HexNAc-Galβ1-4GlcNAcβ1-6)GalNAcol,1098-6,"['P3TS', 'P6TA-AG', 'P7TA-AG', 'P8H', 'P10H']"
1098,Hex(2)HexNAc(3)dHex(1),Fucα1-2Galβ1-3(HexNAc-Galβ1-4GlcNAcβ1-6)GalNAcol,1098-7,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AS', 'P5TA-AG']"
1114,Hex(3)HexNAc(3),Gal-GlcNAcβ1-3Galβ1-3(Gal-GlcNAcβ1-6)GalNAcol,1114-1,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AG', 'P8H', 'P9H', 'P10H']"
1114,Hex(3)HexNAc(3),Galβ1-3(Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-6)GalNAcol,1114-2,"['P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P8H', 'P9H']"
1114,Hex(3)HexNAc(3),Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-3GalNAcol,1114-3,"['P3TS', 'P8H']"
1121,Hex(2)HexNAc(2)dHex(2)Sul(1),Fucα1-2Galβ1-3[Fucα1-2Galβ1-4(6S)GlcNAcβ1-6]GalNAcol,1121,"['P1TS', 'P1TI', 'P2TS', 'P4TS', 'P7TA-AS']"
1139,Hex(1)HexNAc(4)dHex(1),Fucα1-2(GalNAcα1-3)Galβ1-3(GalNAcβ1-4GlcNAcβ1-6)GalNAcol,1139,"['P1TI', 'P4TI', 'P7TA-AG']"
1155,Hex(2)HexNAc(4),HexNAc1-4Galβ1-3(GlcNAcα1-4Galβ1-4GlcNAcβ1-6)GalNAcol,1155-1,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AS', 'P5TA-AG', 'P7TA-AG', 'P8H', 'P9H', 'P10H']"
1155,Hex(2)HexNAc(4),HexNAc-Galβ1-3(GlcNAc-Galβ1-4GlcNAcβ1-6)GalNAcol,1155-2,"['P4TS', 'P4TI', 'P5TA-AG']"
1178,Hex(2)HexNAc(3)dHex(1)Sul(1),HexNAc1-4Galβ1-3[Fucα1-2Galβ1-4(6S)GlcNAcβ1-6]GalNAcol,1178,['P4TS']
1186,NeuAc(1)Hex(2)HexNAc(2)dHex(1),Galβ1-3[NeuAcα2-3Galβ1-4(Fucα1-3)GlcNAcβ1-6]GalNAcol,1186-1,"['P1TI', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-AG', 'P5TA-AS', 'P8H', 'P9H', 'P10H']"
1186,NeuAc(1)Hex(2)HexNAc(2)dHex(1),Galβ1-3[NeuAcα2-3Galβ1-3(Fucα1-4)GlcNAcβ1-6]GalNAcol,1186-2,"['P1TS', 'P2TS', 'P10H']"
1186,NeuAc(1)Hex(2)HexNAc(2)dHex(1),NeuAcα2-3Galβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-6)GalNAcol,1186-3,"['P1TS', 'P1TI', 'P2TS', 'P4TS', 'P4TI', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P8H', 'P9H', 'P10H']"
1186,NeuAc(1)Hex(2)HexNAc(2)dHex(1),Fucα1-2Galβ1-3(NeuAcα2-3Galβ1-4GlcNAcβ1-6)GalNAcol,1186-4,"['P1TS', 'P1TI', 'P4TS', 'P6TA-FS', 'P6TA-FG', 'P6TA-AS', 'P6TA-AG', 'P5TA-AS', 'P8H', 'P10H']"
1187,Hex(2)HexNAc(2)dHex(3),Fucα1-2Galβ1-3[Fucα1-2Gal(Fuc)GlcNAcβ1-6]GalNAcol,1187,"['P6TA-FG', 'P7TA-AG']"
1203,Hex(3)HexNAc(2)dHex(2),Galβ1-3[Galα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ1-6]GalNAcol,1203-1,"['P1TI', 'P5TA-AS', 'P10H']"
1203,Hex(3)HexNAc(2)dHex(2),Galα1-3(Fucα1-2)Galβ1-3[Galβ1-4(Fucα1-3)GlcNAcβ1-6]GalNAcol,1203-2,"['P1TS', 'P1TI', 'P6TA-FS', 'P5TA-AS', 'P7TA-AG', 'P8H', 'P9H', 'P10H']"
1203,Hex(3)HexNAc(2)dHex(2),Galα1-3(Fucα1-2)Gal(Fuc)GlcNAc-Galβ1-3GalNAcol,1203-3,"['P1TI', 'P5TA-AS', 'P10H']"
1203,Hex(3)HexNAc(2)dHex(2),Galα1-3(Fucα1-2)Galβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-6)GalNAcol,1203-4,['P1TS']
1203,Hex(3)HexNAc(2)dHex(2),Fucα1-2Galβ1-3[Galα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-6]GalNAcol,1203-5,"['P1TI', 'P4TI', 'P5TA-AS', 'P5TA-AG', 'P7TA-AG', 'P8H', 'P9H', 'P10H']"
1235,Hex(2)HexNAc(4)Sul(1),Galβ1-4GlcNAcβ1-3Galβ1-3[GalNAcβ1-4(6S)GlcNAcβ1-6]GalNAcol,1235-1,['P4TS']
