,P1TS,P1TI,P3TS,P2TS,P4TS,P4TI,P6TA-FS,P6TA-FG,P6TA-AS,P6TA-AG,P5TA-AS,P5TA-AG,P7TA-AS,P7TA-AG,P8H,P9H,P10H
"('Hex(1)',)",2.1216975107081275,10.257329941318158,21.175345157934565,26.198344570651606,23.831357981301878,1.22997167540445,7.568766134743424,2.2549789020372053,3.854554250752769,1.1923646646042132,30.49776987634339,1.8102288100218527,22.702745114156365,1.1960134330928258,4.746426068815095,1.7072354412386515,14.38551603450522
"('Hex(1)', 'HexNAc(1)')",0.1835217998011032,0.5218205424292118,0.0,3.087549007748608,0.9949137006792146,0.0,0.0,0.0,0.0,0.0,1.4555919447395333,0.0,0.0,0.0,0.0,0.0,1.027266526951774
"('Hex(1)', 'HexNAc(1)', 'dHex(1)')",0.0,0.5218205424292118,0.0,3.087549007748608,0.9949137006792146,0.0,0.0,0.0,0.0,0.0,1.2116800095252978,0.0,0.0,0.0,0.0,0.0,0.6897483578906909
"('Hex(1)', 'HexNAc(2)')",0.8794407448097531,3.2947108073596585,13.173649465866294,16.70821768176684,11.257345192997112,0.0,1.0602644971026915,0.4763836438977505,1.7958502435264774,0.8360597133580369,13.977579760189501,0.0,9.351172667857908,0.2772022210739836,1.0594594632250143,1.3405621215610464,6.1885861917158245
"('Hex(1)', 'HexNAc(2)', 'Sul(1)')",0.6652884895643532,3.2947108073596585,0.0,11.219255390988563,11.257345192997112,0.0,0.5162082601817982,0.4763836438977505,0.0,0.0,12.455814067614405,0.0,0.0,0.2772022210739836,0.8661202813485539,1.3405621215610464,2.3177199109607227
"('Hex(1)', 'HexNAc(2)', 'dHex(1)')",0.6652884895643532,3.2947108073596585,0.0,10.624970712500826,11.257345192997112,0.0,0.3080758880949454,0.4763836438977505,0.0,0.0,12.455814067614405,0.0,0.0,0.2772022210739836,0.8661202813485539,1.3405621215610464,2.352242526397385
"('Hex(1)', 'HexNAc(2)', 'dHex(1)', 'Sul(1)')",0.6652884895643532,3.2947108073596585,0.0,10.624970712500826,11.257345192997112,0.0,0.3080758880949454,0.4763836438977505,0.0,0.0,12.455814067614405,0.0,0.0,0.2772022210739836,0.8661202813485539,1.3405621215610464,2.1754508928384064
"('Hex(1)', 'HexNAc(3)')",1.0587349660972714,6.440798591529287,8.001695692068273,6.0616822884824995,11.046156314156597,0.8678113625085915,6.508501637640731,1.7785952581394548,2.0587040072262917,0.35630495124617634,14.536200757159243,1.8102288100218527,13.351572446298457,0.9188112120188423,3.686966605590081,0.3666733196776051,6.123923146977597
"('Hex(1)', 'HexNAc(3)', 'Sul(1)')",0.2,2.060290288561838,0.0,1.7222902116001373,1.4788291286306554,0.0,3.5044603943872343,1.3199561365568078,0.0,0.0,2.027657961271919,0.0,0.0,0.0,2.2940522727335697,0.0,0.942121184759772
"('Hex(1)', 'HexNAc(3)', 'dHex(1)')",0.241686822945112,5.205879131897996,0.0,2.8258104872677006,1.8413542402053389,0.0,3.5044603943872343,1.3199561365568078,0.0,0.0,14.216522555233732,0.0,0.0,0.0,2.2940522727335697,0.0,5.06473926768777
