"measure_type","Estimate","abs(Estimate)"
"(Intercept)1","motif",1.11810512513202,1.11810512513202
"Secretor1","motif",-2.02129219422198,2.02129219422198
"(Intercept)5","motif",1.71241966657909,1.71241966657909
"Secretor5","motif",-1.84560287670901,1.84560287670901
"log(DPP)5","motif",-0.511662655657344,0.511662655657344
"(Intercept)6","motif",0.922625362288156,0.922625362288156
"Secretor6","motif",-1.89026870169523,1.89026870169523
"(Intercept)7","motif",1.71269487828816,1.71269487828816
"Secretor7","motif",-1.22521568241875,1.22521568241875
"log(DPP)7","motif",-0.694929100537795,0.694929100537795
"(Intercept)8","motif",1.77636577383885,1.77636577383885
"Secretor8","motif",-2.83566001996179,2.83566001996179
"Secretor:log(DPP)8","motif",0.772023552799108,0.772023552799108
"(Intercept)10","motif",1.29085539785135,1.29085539785135
"Secretor10","motif",-2.13014036761116,2.13014036761116
"(Intercept)11","motif",-1.44331600680388,1.44331600680388
"Secretor11","motif",2.14939022042046,2.14939022042046
"Secretor12","motif",-1.53302238135526,1.53302238135526
"Secretor13","motif",-1.29717546293454,1.29717546293454
"(Intercept)14","motif",1.07697981566514,1.07697981566514
"Secretor14","motif",-1.95548766727812,1.95548766727812
"Secretor:log(DPP)14","motif",0.841233396683099,0.841233396683099
"Secretor:log(DPP)15","motif",0.509389165130281,0.509389165130281
"Secretor16","motif",-1.4221306969504,1.4221306969504
"Secretor18","motif",-0.712921744670023,0.712921744670023
"(Intercept)20","motif",0.811737988427171,0.811737988427171
"Secretor20","motif",-0.746924282148166,0.746924282148166
"(Intercept)23","glycan",1.24090646471177,1.24090646471177
"Secretor23","glycan",-1.66273010416868,1.66273010416868
"(Intercept)25","glycan",0.691772391518464,0.691772391518464
"Secretor25","glycan",-1.71659007667485,1.71659007667485
"(Intercept)28","glycan",-0.517440995070569,0.517440995070569
"Secretor28","glycan",1.70802902012887,1.70802902012887
"Secretor:log(DPP)28","glycan",-0.670149211082336,0.670149211082336
"(Intercept)30","glycan",1.65943998366522,1.65943998366522
"Secretor30","glycan",-1.15921424005637,1.15921424005637
"log(DPP)30","glycan",-0.724543029630764,0.724543029630764
"Secretor:log(DPP)31","glycan",0.509389165130281,0.509389165130281
"Secretor33","glycan",-1.4221306969504,1.4221306969504
"(Intercept)35","glycan",0.811737988427171,0.811737988427171
"Secretor35","glycan",-0.746924282148166,0.746924282148166
"Secretor36","glycan",-0.712921744670023,0.712921744670023
"(Intercept)110","motif",0.966634047127608,0.966634047127608
"Secretor110","motif",-1.78481060261841,1.78481060261841
"(Intercept)51","motif",1.25970990012255,1.25970990012255
"Secretor51","motif",-1.13970987044828,1.13970987044828
"(Intercept)61","motif",0.821656677578515,0.821656677578515
"Secretor61","motif",-1.73250670471803,1.73250670471803
"(Intercept)71","motif",1.32092931175758,1.32092931175758
"Secretor71","motif",-0.613946789332047,0.613946789332047
"(Intercept)81","motif",0.843299771694176,0.843299771694176
"Secretor81","motif",-1.39043649446885,1.39043649446885
"(Intercept)101","motif",1.01438551675204,1.01438551675204
"Secretor101","motif",-1.69890740343408,1.69890740343408
"(Intercept)111","motif",-1.16880538482658,1.16880538482658
"Secretor111","motif",1.72134961401074,1.72134961401074
"Secretor121","motif",-1.28038203401414,1.28038203401414
"Secretor131","motif",-0.970440573637766,0.970440573637766
"(Intercept)151","motif",-0.761361515439032,0.761361515439032
"Secretor151","motif",0.841627319080865,0.841627319080865
"Secretor161","motif",-1.32540142754332,1.32540142754332
"(Intercept)181","motif",-0.716560911148937,0.716560911148937
"(Intercept)201","motif",0.829191868082527,0.829191868082527
"(Intercept)231","glycan",0.64488214927022,0.64488214927022
"Secretor231","glycan",-0.734642373299662,0.734642373299662
"(Intercept)251","glycan",0.673403392689121,0.673403392689121
"Secretor251","glycan",-1.68786958179169,1.68786958179169
"(Intercept)301","glycan",1.20597345782141,1.20597345782141
"(Intercept)311","glycan",-0.761361515439032,0.761361515439032
"Secretor311","glycan",0.841627319080865,0.841627319080865
"Secretor331","glycan",-1.32540142754332,1.32540142754332
"(Intercept)351","glycan",0.829191868082527,0.829191868082527
"(Intercept)361","glycan",-0.716560911148937,0.716560911148937
"(Intercept)112","motif",1.18018487086681,1.18018487086681
"Secretor112","motif",-1.77768925767536,1.77768925767536
"(Intercept)52","motif",0.763739832750688,0.763739832750688
"Secretor52","motif",-1.15690329218458,1.15690329218458
"(Intercept)62","motif",1.14487765928314,1.14487765928314
"Secretor62","motif",-1.72206882091315,1.72206882091315
"Secretor72","motif",-0.639196350025257,0.639196350025257
"(Intercept)82","motif",0.924484128378051,0.924484128378051
"Secretor82","motif",-1.38757503886455,1.38757503886455
"(Intercept)102","motif",1.13395836795542,1.13395836795542
"Secretor102","motif",-1.69474968828982,1.69474968828982
"(Intercept)113","motif",-1.14080850089391,1.14080850089391
"Secretor113","motif",1.72233940452932,1.72233940452932
"(Intercept)122","motif",0.834937051552473,0.834937051552473
"Secretor122","motif",-1.26212968559548,1.26212968559548
"(Intercept)132","motif",0.624724981657668,0.624724981657668
"Secretor132","motif",-0.944630912833039,0.944630912833039
"(Intercept)152","motif",-0.542441807840896,0.542441807840896
"Secretor152","motif",0.849225324556243,0.849225324556243
"(Intercept)162","motif",0.856859039567489,0.856859039567489
"Secretor162","motif",-1.3002911942696,1.3002911942696
"Secretor232","glycan",-0.740036533472945,0.740036533472945
"(Intercept)252","glycan",1.10982761595802,1.10982761595802
"Secretor252","glycan",-1.67424818539158,1.67424818539158
"(Intercept)312","glycan",-0.542441807840896,0.542441807840896
"Secretor312","glycan",0.849225324556243,0.849225324556243
"(Intercept)332","glycan",0.856859039567489,0.856859039567489
"Secretor332","glycan",-1.3002911942696,1.3002911942696
"(Intercept)73","motif",0.914565565205073,0.914565565205073
"(Intercept)123","motif",-0.576645996814512,0.576645996814512
"(Intercept)133","motif",-0.876823607293825,0.876823607293825
"(Intercept)163","motif",-0.728004380560355,0.728004380560355
"(Intercept)183","motif",-0.862591701147863,0.862591701147863
"(Intercept)303","glycan",0.908226458888275,0.908226458888275
"(Intercept)333","glycan",-0.728004380560355,0.728004380560355
"(Intercept)363","glycan",-0.862591701147862,0.862591701147862
