"Coef","naiveSE","naiveZ","robustSE","robustZ","response","vars","type","robustPr","data"
"smallest_motif_abundance_dropped_more.X5.log(DPP)",0.100464423740217,0.125329413174632,0.801602921416628,0.0447841438007604,2.24330343764462,"X5","DPP","additive",0.0248772538525846,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X18.log(DPP)",0.144078132854601,0.0630339716470526,2.28572195420814,0.0600188019159318,2.40054996526607,"X18","DPP","additive",0.016370455672034,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X32.log(DPP)",0.044934811585276,0.102767666681838,0.437246587726774,0.100403727994153,0.447541266474616,"X32","DPP","additive",0.654484299392301,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X34.log(DPP)",-0.352612186874306,0.108859669843979,-3.23914437164543,0.0946943160073999,-3.72368904218866,"X34","DPP","additive",0.000196332725216955,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X35.log(DPP)",0.0173572774054318,0.0193705498864603,0.896065290204501,0.0153132529409541,1.13348074849669,"X35","DPP","additive",0.257012421239905,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X37.log(DPP)",-0.271388920267193,0.0913839991955603,-2.96976410155158,0.125879309139687,-2.15594542202352,"X37","DPP","additive",0.031087927119103,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X40.log(DPP)",0.201208574886157,0.0622845444945082,3.23047357123881,0.0575530540951053,3.49605382459223,"X40","DPP","additive",0.000472193441594857,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X61.log(DPP)",-0.505485747607806,0.0929515054699158,-5.43816633256584,0.128944490439259,-3.9201810475642,"X61","DPP","additive",8.84824708237022e-05,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X62.log(DPP)",0.0878031739260119,0.079937520028417,1.09839752214978,0.146634784338094,0.598788168321409,"X62","DPP","additive",0.549314153244682,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X63.log(DPP)",0.0199712110174227,0.0967342415983927,0.206454412495798,0.10394867840256,0.192125684754554,"X63","DPP","additive",0.847643756153767,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X64.log(DPP)",0.0974905755509361,0.0426086816083713,2.28804487421132,0.0552050614496185,1.76597168793859,"X64","DPP","additive",0.0774005988625936,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X65.log(DPP)",0.0572656961281772,0.0583427942160329,0.981538455565441,0.0742074746774649,0.771697142061183,"X65","DPP","additive",0.440293823809036,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X66.log(DPP)",0.333843407037283,0.0770376328589675,4.33351070960927,0.0735033339756113,4.54188114988163,"X66","DPP","additive",5.57544723402392e-06,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X94.log(DPP)",0.49221597142858,0.0774849580476523,6.35240676165654,0.0898554566513617,5.47786400261003,"X94","DPP","additive",4.30490786757637e-08,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X106.log(DPP)",0.111937339516142,0.106168121690741,1.05434039647236,0.175977444572558,0.636089129422425,"X106","DPP","additive",0.524718330388095,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X113.log(DPP)",0.159438714696905,0.103507090821156,1.54036514244603,0.164334548581104,0.970208127709784,"X113","DPP","additive",0.331942760238006,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X120.log(DPP)",0.410137752456064,0.0715263836806903,5.73407645334077,0.0731146665018152,5.60951409722811,"X120","DPP","additive",2.02895470397112e-08,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X127.log(DPP)",0.151390902377612,0.0888027835659467,1.70479906483096,0.0949948249866509,1.59367525966689,"X127","DPP","additive",0.111008788284109,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X141.log(DPP)",0.475348013721824,0.0893104421248078,5.32242369887212,0.101346169231754,4.69034022030787,"X141","DPP","additive",2.72751147629819e-06,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X142.log(DPP)",0.277970748804716,0.0801408081735488,3.46852939394817,0.101034447552803,2.75124727790926,"X142","DPP","additive",0.00593688093619045,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.X143.log(DPP)",-0.160957320385534,0.102490847282189,-1.57045555436154,0.0946554680963576,-1.70045453921038,"X143","DPP","additive",0.0890454605576461,"smallest_motif_abundance_dropped_more"
"glycan_percent.X2FL.log(DPP)",0.017357277405432,0.0193705498864603,0.896065290204514,0.0153132529409541,1.13348074849671,"X2FL","DPP","additive",0.257012421239899,"glycan_percent"
"glycan_percent.X3FL.log(DPP)",-0.168619706622501,0.110099076447711,-1.53152698517487,0.128313637020605,-1.3141214802868,"X3FL","DPP","additive",0.18880532660482,"glycan_percent"
"glycan_percent.LNnT.log(DPP)",-0.0384948445123308,0.10617134578856,-0.362572822510824,0.161206438943684,-0.238792226691258,"LNnT","DPP","additive",0.811266698094831,"glycan_percent"
"glycan_percent.X3SL.log(DPP)",-0.352612186874306,0.108859669843979,-3.23914437164543,0.0946943160073999,-3.72368904218867,"X3SL","DPP","additive",0.000196332725216952,"glycan_percent"
"glycan_percent.LNT.log(DPP)",0.294037591978814,0.0672867161968732,4.36992037356221,0.0687618534638313,4.27617315658133,"LNT","DPP","additive",1.90133359257286e-05,"glycan_percent"
"glycan_percent.LNFPI.log(DPP)",0.00348315930935002,0.0418008257264192,0.0833275240098563,0.0566517525646697,0.0614836991207622,"LNFPI","DPP","additive",0.950973996061144,"glycan_percent"
"glycan_percent.LNFPII.log(DPP)",0.0549477836786483,0.0256912270066147,2.13877615360687,0.04535017417629,1.21163335481468,"LNFPII","DPP","additive",0.225652760686516,"glycan_percent"
"glycan_percent.LNFPIII.log(DPP)",-0.280383941514163,0.11503556588329,-2.43736742946636,0.153499119536343,-1.82661595949922,"LNFPIII","DPP","additive",0.0677575320800553,"glycan_percent"
"glycan_percent.LSTb.log(DPP)",-0.00513476983072285,0.0494061356562911,-0.103929800671812,0.0674343095692224,-0.0761447676045666,"LSTb","DPP","additive",0.939303924102291,"glycan_percent"
"glycan_percent.LSTc.log(DPP)",-0.506236727248397,0.0960962951247964,-5.26801503211926,0.132939422883148,-3.80802561248796,"LSTc","DPP","additive",0.000140080767173656,"glycan_percent"
"glycan_percent.DFLNT.log(DPP)",0.159438714696905,0.103507090821156,1.54036514244603,0.164334548581104,0.970208127709783,"DFLNT","DPP","additive",0.331942760238007,"glycan_percent"
"glycan_percent.DSLNT.log(DPP)",-0.467482440646487,0.10484706190718,-4.45870806623407,0.168495604923208,-2.77444886980608,"DSLNT","DPP","additive",0.0055295325298693,"glycan_percent"
"glycan_percent.FLNH.log(DPP)",0.410137752456064,0.0715263836806903,5.73407645334077,0.0731146665018152,5.60951409722811,"FLNH","DPP","additive",2.02895470397111e-08,"glycan_percent"
"glycan_percent.DFLNH.log(DPP)",0.277970748804716,0.0801408081735489,3.46852939394817,0.101034447552803,2.75124727790926,"DFLNH","DPP","additive",0.00593688093619042,"glycan_percent"
"glycan_percent.FDSLNH.log(DPP)",-0.160957320385534,0.102490847282189,-1.57045555436154,0.0946554680963576,-1.70045453921038,"FDSLNH","DPP","additive",0.0890454605576462,"glycan_percent"
"glycan_percent.DSLNH.log(DPP)",0.475348013721824,0.0893104421248078,5.32242369887212,0.101346169231754,4.69034022030787,"DSLNH","DPP","additive",2.72751147629818e-06,"glycan_percent"
