,1A,2A,3A,4A,5A,6A,1B,2B,3B,4B,5B,6B,1C,2C,3C,4C,5C,6C,1D,2D,3D,4D,5D,6D
b-D-GalxS-(1-3)-?-D-Galx2NAc,1.3966985111087311,1.5331199631502723,1.2609406587959766,0.7377003199444793,0.7616180385548588,0.7561055602984432,0.6967640027951498,0.9087285438567116,1.3381664012327144,0.7068843439049898,1.0094513954471844,0.7716492889650605,1.2292823997773434,1.4200659265175155,1.1416552169876175,1.1630126050265013,0.8063749375047193,0.7256144436589207,0.6929904804315139,0.7467509427131044,1.4013344189774397,1.2262018713089236,0.8183104218397714,0.8855293700628295
b-D-Glcx2NAc-(1-6)-?-D-Galx2NAc,60.15210390853918,45.70064053642824,52.95039464668957,45.106652126559155,53.50149428492129,52.457915551822026,49.7028146227133,49.56884394413973,56.47632948087689,43.634182653050715,54.306226454026614,48.962632659065456,58.66073702740414,48.30374670601428,55.54919454940277,49.64956086308596,52.51517397989585,52.656927412304384,53.36692432377168,41.79934119959751,51.18505428135508,55.50650847921232,50.09518891722449,49.88847802717101
a-D-Neux5Ac-(2-6)-?-D-Galx2NAc,5.414445205100619,3.536133261165893,3.8173771761435313,4.743080351491259,7.778528596060608,5.793916984674947,8.647214460569979,3.9827915380165932,3.665812757084133,8.260379006701093,5.149886309677338,8.231787468193914,5.475480384857921,3.903169036680718,4.068144190745066,5.216890439112085,8.696365434777883,6.296029110791747,4.143268767507401,8.645621554216753,5.679953790998832,4.800680905138152,3.759616741095975,8.343037567507048
b-D-Galx-(1-3)-?-D-Galx2NAc,68.60045788514094,52.636229336676685,60.80681276663151,53.50477451940176,63.28103565986572,60.655320410445356,58.55902445044055,57.614043612887286,63.411031418614904,55.73611238948512,63.43520803570021,62.090050304780505,67.39193936463572,55.9574797373168,63.98264590647597,58.39504633018547,62.729383198510895,60.835495594674704,61.61339081469553,55.32417576446204,62.311959130249825,64.54543278596317,56.97228356686186,62.623359831155575
b-D-Glcx2NAc-(1-3)-?-D-Galx2NAc,2.773948730777,3.0948683672967654,2.5691631769203216,3.7404529946147247,3.0194974190321644,2.706812397561478,2.42212398441498,2.948471094177612,2.0604523099887126,2.4186754299021813,2.640147563012122,3.0412992485220216,3.235751301193538,3.0652256841713323,2.4925713528602405,3.623409414399775,3.374421023569691,3.162135866201257,3.165435639908727,2.512694337257189,3.1982671899506467,3.565321536806757,2.987320124609853,2.8805857226358764
?-D-Galx-(1-?)-b-D-Glcx2NAc-(1-6)-?-D-Galx2NAc,20.728969321316143,15.963039249260659,17.838105269067622,15.543898665782876,18.13770518877371,17.85197672694894,17.931253160417217,16.61940763995241,17.662980830671536,13.988263570366778,16.90271299855802,16.260225217356155,20.13584893299505,17.085491146254064,18.417572622282826,17.176531986089653,17.759843722812512,17.662923813340765,15.657797677576294,14.12773257703856,15.52727585995756,21.02453051530256,14.360123250452588,16.391254811538765
?-L-Fucx-(1-?)-b-D-Glcx2NAc-(1-6)-?-D-Galx2NAc,11.455349437418244,7.8099768065820765,9.905441714726367,8.043625776832208,9.386559862896474,8.504030549487906,11.738413765625882,8.348160358288569,9.236849896801363,8.775867464673786,8.366531266739592,8.113017352662359,11.522242307855857,8.112717126846189,10.334671898455095,8.307566262175884,9.445518280445652,8.549113586559924,9.859501872765156,7.283119827099856,9.51030344088868,11.999156765322931,8.546079873021728,8.224256407626061
a-D-Neux5Ac-(2-3)-b-D-Galx-(1-3)-?-D-Galx2NAc,6.761666014792013,4.781558380101046,4.62079421724669,5.737999344689444,7.599702592498421,6.544103601712374,14.417186930648176,5.939887910047657,5.149016326026753,15.236914015736305,6.349003326694678,11.29268903969821,7.417094516908365,5.5909078253033115,5.887047142350067,6.829811308502817,7.322774496090045,6.056374302654731,5.077679442490459,13.604076896999256,9.061464681783592,8.82692733055282,3.6526823282933183,11.094545497567935
a-D-Neux5Ac-(2-6)-[b-D-Galx-(1-3)]?-D-Galx2NAc,3.3286914258515137,2.2890444193089188,2.687901510949989,2.763767870739973,3.7477182636627315,3.4741915738224236,4.850068787875012,2.843537646795344,2.2783310431092585,5.780091519405112,2.933430692270705,6.116514487369548,3.4819273575491345,2.692380355284689,2.93452425666884,2.7109235065028097,4.568168111666425,3.397324460992785,2.5029020502070303,7.100328582781334,3.813286238787718,2.638371563085532,2.14219263688204,6.130059981934561
b-D-Glcx2NAc-(1-6)-[b-D-Galx-(1-3)]?-D-Galx2NAc,58.34947151947324,43.1215014594576,51.295206084581395,42.99361266504955,52.270506488993256,49.97364729287477,48.279668855364406,47.535750178723966,55.04528868557014,42.312017026253365,52.84597112947635,47.598706320166606,56.98172361855322,45.697402520959606,53.85770623966639,47.70712198002674,51.002660618489294,50.4523518154092,52.42735269242077,39.905931860021475,49.61067667423927,53.274723282551314,48.68262425090925,48.16238382390415
