,enzyme,index_source,index_target,node_source_linear,node_target_linear
57,B4GALT,22,55,Ma6(NNa6Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,Ma6(NNa6Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
58,B4GALT,23,58,GNb2Ma6(NNa6Ab4GNb2Ma3)Mb4GNb4GN?,Ab4GNb2Ma6(NNa6Ab4GNb2Ma3)Mb4GNb4GN?
59,GNTV,23,61,GNb2Ma6(NNa6Ab4GNb2Ma3)Mb4GNb4GN?,GNb6(GNb2)Ma6(NNa6Ab4GNb2Ma3)Mb4GNb4GN?
60,B4GALT,24,59,NNa6Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4GN?,NNa6Ab4GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
61,A6SIAT,25,50,Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ma6(GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
62,B4GALT,25,63,Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
63,A3SIAT,25,83,Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
64,IGNT,25,107,Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ma6(GNb4(GNb3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
65,A6SIAT,26,51,Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ma6(NNa6Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
66,B4GALT,26,63,Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
67,A3SIAT,26,84,Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
68,A6SIAT,27,52,GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?,GNb2Ma6(NNa6Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
69,B4GALT,27,66,GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
70,GNTV,27,68,GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?,GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
71,A3SIAT,27,85,GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?,GNb2Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
72,IGNT,27,99,GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?,GNb2Ma6(GNb3Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
73,B4GALT,28,64,GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb2Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
74,B4GALT,28,65,GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb2Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
75,B4GALT,28,67,GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
76,GNTV,28,69,GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb6(GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
77,A6SIAT,29,53,Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?,NNa6Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?
78,B4GALT,29,66,Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
79,A3SIAT,29,86,Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?,NNa3Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?
80,IGNT,29,100,Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?
81,B4GALT,30,68,GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?,GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
82,B4GALT,30,70,GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?,GNb6(Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?
83,B4GALT,30,71,GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?
84,A6SIAT,31,54,Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ma6(Ab4GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4GN?
85,A6SIAT,31,55,Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ma6(NNa6Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
86,A3SIAT,31,87,Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
87,A3SIAT,31,88,Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
88,IGNT,31,109,Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ma6(Ab4GNb4(GNb3Ab4GNb2)Ma3)Mb4GNb4GN?
89,A6SIAT,32,56,GNb2Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,GNb2Ma6(GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4GN?
90,B4GALT,32,72,GNb2Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,GNb2Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
91,B4GALT,32,73,GNb2Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb2Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
92,GNTV,32,75,GNb2Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,GNb6(GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
93,A3SIAT,32,89,GNb2Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,GNb2Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
94,A6SIAT,33,57,GNb2Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb2Ma6(NNa6Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
95,B4GALT,33,72,GNb2Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb2Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
96,B4GALT,33,74,GNb2Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb2Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
97,GNTV,33,76,GNb2Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb6(GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
98,A3SIAT,33,90,GNb2Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb2Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
99,A6SIAT,34,58,Ab4GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,Ab4GNb2Ma6(NNa6Ab4GNb2Ma3)Mb4GNb4GN?
100,A6SIAT,34,59,Ab4GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,NNa6Ab4GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
101,A3SIAT,34,91,Ab4GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,Ab4GNb2Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4GN?
102,A3SIAT,34,92,Ab4GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,NNa3Ab4GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
103,IGNT,34,103,Ab4GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,Ab4GNb2Ma6(GNb3Ab4GNb2Ma3)Mb4GNb4GN?
104,IGNT,34,104,Ab4GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,GNb3Ab4GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
105,A6SIAT,35,60,Ab4GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,NNa6Ab4GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
106,B4GALT,35,73,Ab4GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb2Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
107,B4GALT,35,74,Ab4GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb2Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
108,A3SIAT,35,93,Ab4GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,NNa3Ab4GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
109,A6SIAT,36,61,GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,GNb6(GNb2)Ma6(NNa6Ab4GNb2Ma3)Mb4GNb4GN?
110,B4GALT,36,77,GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,GNb6(Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
111,B4GALT,36,79,GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,Ab4GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
112,A3SIAT,36,94,GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,GNb6(GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4GN?
113,B4GALT,37,75,GNb6(GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb6(GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
114,B4GALT,37,76,GNb6(GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb6(GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
115,B4GALT,37,78,GNb6(GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb6(Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
116,B4GALT,37,80,GNb6(GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
117,A6SIAT,38,62,GNb6(Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,GNb6(NNa6Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?
118,B4GALT,38,77,GNb6(Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,GNb6(Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
119,B4GALT,38,81,GNb6(Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,Ab4GNb6(Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?
120,A3SIAT,38,95,GNb6(Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,GNb6(NNa3Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?
121,B4GALT,39,79,Ab4GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,Ab4GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
122,B4GALT,39,81,Ab4GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,Ab4GNb6(Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?
123,IGNT,39,82,Ab4GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?
124,A3SIAT,39,96,Ab4GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,NNa3Ab4GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?
125,A6SIAT,39,97,Ab4GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,NNa6Ab4GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?
126,B4GALT,41,87,Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?,Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
127,B4GALT,42,88,Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
128,B4GALT,43,91,GNb2Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4GN?,Ab4GNb2Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4GN?
129,GNTV,43,94,GNb2Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4GN?,GNb6(GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4GN?
130,B4GALT,44,92,NNa3Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4GN?,NNa3Ab4GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
131,B4GALT,45,98,Ma6(GNb3Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?,Ma6(Ab4GNb3Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
132,IGNT,46,101,Ma6(Ab4GNb3Ab4GNb2Ma3)Mb4GNb4GN?,Ma6(GNb3Ab4GNb3Ab4GNb2Ma3)Mb4GNb4GN?
133,A3SIAT,46,106,Ma6(Ab4GNb3Ab4GNb2Ma3)Mb4GNb4GN?,Ma6(NNa3Ab4GNb3Ab4GNb2Ma3)Mb4GNb4GN?
134,B4GALT,47,102,GNb2Ma6(GNb3Ab4GNb2Ma3)Mb4GNb4GN?,GNb2Ma6(Ab4GNb3Ab4GNb2Ma3)Mb4GNb4GN?
135,B4GALT,47,103,GNb2Ma6(GNb3Ab4GNb2Ma3)Mb4GNb4GN?,Ab4GNb2Ma6(GNb3Ab4GNb2Ma3)Mb4GNb4GN?
136,B4GALT,48,104,GNb3Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4GN?,GNb3Ab4GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
137,B4GALT,48,105,GNb3Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4GN?
138,B4GALT,49,108,Ma6(GNb4(GNb3Ab4GNb2)Ma3)Mb4GNb4GN?,Ma6(GNb4(Ab4GNb3Ab4GNb2)Ma3)Mb4GNb4GN?
139,B4GALT,49,109,Ma6(GNb4(GNb3Ab4GNb2)Ma3)Mb4GNb4GN?,Ma6(Ab4GNb4(GNb3Ab4GNb2)Ma3)Mb4GNb4GN?
140,B4GALT,50,112,Ma6(GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ma6(Ab4GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
141,B4GALT,51,113,Ma6(NNa6Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ma6(NNa6Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
142,B4GALT,52,116,GNb2Ma6(NNa6Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb2Ma6(NNa6Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
143,GNTV,52,119,GNb2Ma6(NNa6Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?,GNb6(GNb2)Ma6(NNa6Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
144,B4GALT,53,117,NNa6Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?,NNa6Ab4GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
145,A6SIAT,54,110,Ma6(Ab4GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4GN?,Ma6(NNa6Ab4GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4GN?
146,A6SIAT,55,110,Ma6(NNa6Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ma6(NNa6Ab4GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4GN?
147,B4GALT,56,121,GNb2Ma6(GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4GN?,GNb2Ma6(Ab4GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4GN?
148,B4GALT,56,123,GNb2Ma6(GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb2Ma6(GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4GN?
149,GNTV,56,127,GNb2Ma6(GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4GN?,GNb6(GNb2)Ma6(GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4GN?
150,B4GALT,57,122,GNb2Ma6(NNa6Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb2Ma6(NNa6Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
