,enzyme,index_source,index_target,node_source_linear,node_target_linear
0,A6FUCT,0,2,Ma6(GNb2Ma3)Mb4GNb4GN?,Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?
1,B4GALT,0,3,Ma6(GNb2Ma3)Mb4GNb4GN?,Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
2,GNTIV,0,4,Ma6(GNb2Ma3)Mb4GNb4GN?,Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
3,GNTII,0,5,Ma6(GNb2Ma3)Mb4GNb4GN?,GNb2Ma6(GNb2Ma3)Mb4GNb4GN?
4,B4GALT,2,8,Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?,Ma6(Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
5,GNTIV,2,9,Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?,Ma6(GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
6,GNTII,2,10,Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?,GNb2Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?
7,A6SIAT,3,7,Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,Ma6(NNa6Ab4GNb2Ma3)Mb4GNb4GN?
8,A3SIAT,3,17,Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4GN?
9,IGNT,3,18,Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,Ma6(GNb3Ab4GNb2Ma3)Mb4GNb4GN?
10,A6FUCT,4,9,Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,Ma6(GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
11,B4GALT,4,11,Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
12,B4GALT,4,12,Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
13,GNTII,4,14,Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
14,A6FUCT,5,10,GNb2Ma6(GNb2Ma3)Mb4GNb4GN?,GNb2Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?
15,B4GALT,5,13,GNb2Ma6(GNb2Ma3)Mb4GNb4GN?,GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
16,GNTIV,5,14,GNb2Ma6(GNb2Ma3)Mb4GNb4GN?,GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
17,B4GALT,5,15,GNb2Ma6(GNb2Ma3)Mb4GNb4GN?,Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4GN?
18,GNTV,5,16,GNb2Ma6(GNb2Ma3)Mb4GNb4GN?,GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?
19,MANII,6,1,Ma6(Ma3)Ma6(Ma3)Mb4GNb4GN?,Ma6Ma6(Ma3)Mb4GNb4GN?
20,A6FUCT,6,19,Ma6(Ma3)Ma6(Ma3)Mb4GNb4GN?,Ma6(Ma3)Ma6(Ma3)Mb4GNb4(Fa6)GN?
21,A6SIAT,8,20,Ma6(Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?,Ma6(NNa6Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
22,A3SIAT,8,40,Ma6(Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?,Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
23,IGNT,8,45,Ma6(Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?,Ma6(GNb3Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
24,B4GALT,9,25,Ma6(GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
25,B4GALT,9,26,Ma6(GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
26,GNTII,9,28,Ma6(GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
27,B4GALT,10,27,GNb2Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?,GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
28,GNTIV,10,28,GNb2Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?,GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
29,B4GALT,10,29,GNb2Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?
30,GNTV,10,30,GNb2Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?,GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4(Fa6)GN?
31,A6SIAT,11,21,Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ma6(GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4GN?
32,B4GALT,11,31,Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
33,A3SIAT,11,41,Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
34,IGNT,11,49,Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ma6(GNb4(GNb3Ab4GNb2)Ma3)Mb4GNb4GN?
35,A6SIAT,12,22,Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,Ma6(NNa6Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
36,B4GALT,12,31,Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
37,A3SIAT,12,42,Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
38,A6SIAT,13,23,GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,GNb2Ma6(NNa6Ab4GNb2Ma3)Mb4GNb4GN?
39,B4GALT,13,34,GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,Ab4GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
40,GNTV,13,36,GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
41,A3SIAT,13,43,GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,GNb2Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4GN?
42,IGNT,13,47,GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,GNb2Ma6(GNb3Ab4GNb2Ma3)Mb4GNb4GN?
43,A6FUCT,14,28,GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
44,B4GALT,14,32,GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb2Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
45,B4GALT,14,33,GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb2Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
46,B4GALT,14,35,GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
47,GNTV,14,37,GNb2Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb6(GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
48,A6SIAT,15,24,Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4GN?,NNa6Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4GN?
49,B4GALT,15,34,Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4GN?,Ab4GNb2Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
50,A3SIAT,15,44,Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4GN?,NNa3Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4GN?
51,IGNT,15,48,Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4GN?,GNb3Ab4GNb2Ma6(GNb2Ma3)Mb4GNb4GN?
52,B4GALT,16,36,GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,GNb6(GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
53,B4GALT,16,38,GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,GNb6(Ab4GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?
54,B4GALT,16,39,GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?,Ab4GNb6(GNb2)Ma6(GNb2Ma3)Mb4GNb4GN?
55,B4GALT,18,46,Ma6(GNb3Ab4GNb2Ma3)Mb4GNb4GN?,Ma6(Ab4GNb3Ab4GNb2Ma3)Mb4GNb4GN?
56,B4GALT,21,54,Ma6(GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4GN?,Ma6(Ab4GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4GN?
