,enzyme,index_source,index_target
0,B4GALT,0,3
1,GNTII,0,5
2,A6FUCT,0,2
3,GNTIV,0,4
4,GNTII,2,10
5,GNTIV,2,9
6,B4GALT,2,8
7,A3SIAT,3,7
8,A6SIAT,3,7
9,IGNT,3,14
10,B4GALT,4,11
11,B4GALT,4,11
12,GNTII,4,13
13,A6FUCT,4,9
14,B4GALT,5,12
15,GNTV,5,13
16,GNTIV,5,13
17,A6FUCT,5,10
18,B4GALT,5,12
19,A6FUCT,6,15
20,MANII,6,1
21,IGNT,8,27
22,A6SIAT,8,16
23,A3SIAT,8,16
24,GNTII,9,21
25,B4GALT,9,19
26,B4GALT,9,19
27,GNTIV,10,21
28,B4GALT,10,20
29,B4GALT,10,20
30,GNTV,10,21
31,A6SIAT,11,17
32,A3SIAT,11,17
33,B4GALT,11,22
34,IGNT,11,29
35,B4GALT,11,22
36,A6SIAT,11,17
37,A3SIAT,11,17
38,GNTV,12,25
39,B4GALT,12,24
40,A6SIAT,12,18
41,A3SIAT,12,18
42,B4GALT,13,23
43,B4GALT,13,23
44,A6FUCT,13,21
45,GNTV,13,26
46,B4GALT,13,25
47,B4GALT,12,24
48,A6SIAT,12,18
49,IGNT,12,30
50,A3SIAT,12,18
51,B4GALT,13,23
52,B4GALT,13,25
53,B4GALT,13,23
54,B4GALT,14,28
55,B4GALT,17,33
56,B4GALT,17,33
57,GNTV,18,36
58,B4GALT,18,35
59,B4GALT,18,35
60,B4GALT,19,37
61,A6SIAT,19,31
62,A3SIAT,19,31
63,IGNT,19,48
64,B4GALT,19,37
65,A6SIAT,19,31
66,A3SIAT,19,31
67,A6SIAT,20,32
68,GNTV,20,40
69,B4GALT,20,39
70,A3SIAT,20,32
71,B4GALT,21,38
72,GNTV,21,41
73,B4GALT,21,40
74,B4GALT,21,38
75,IGNT,20,51
76,A6SIAT,20,32
77,A3SIAT,20,32
78,B4GALT,20,39
79,B4GALT,21,38
80,B4GALT,21,40
81,B4GALT,21,38
82,A6SIAT,22,33
83,A3SIAT,22,33
84,A3SIAT,22,33
85,IGNT,22,50
86,A6SIAT,22,33
87,B4GALT,23,43
88,A6SIAT,23,34
89,B4GALT,23,42
90,A3SIAT,23,34
91,GNTV,23,44
92,A6SIAT,23,34
93,GNTV,23,44
94,B4GALT,23,42
95,B4GALT,23,43
96,A3SIAT,23,34
97,IGNT,24,52
98,A3SIAT,24,35
99,A3SIAT,24,35
100,A6SIAT,24,35
101,A6SIAT,24,35
102,A6SIAT,25,36
103,A3SIAT,25,36
104,B4GALT,25,43
105,B4GALT,25,43
106,A3SIAT,25,36
107,B4GALT,25,43
108,A6SIAT,25,36
109,B4GALT,25,43
110,B4GALT,26,44
111,B4GALT,26,44
112,B4GALT,26,44
113,B4GALT,26,44
114,B4GALT,23,43
115,B4GALT,23,42
116,A3SIAT,23,34
117,A6SIAT,23,34
118,IGNT,23,45
119,A6SIAT,23,34
120,A3SIAT,23,34
