,ratio,name
0,0.0,st3gal4.st3gal6
1,0.0,st3gal4.st3gal6
2,0.0,st3gal4.st3gal6
3,0.0,st3gal4.st3gal6
4,0.0,st3gal4.st3gal6
5,0.0,st3gal4.st3gal6
6,0.0,st3gal4.st3gal6
7,0.0,st3gal4.st3gal6
8,0.0,st3gal4.st3gal6
9,0.0,st3gal4.st3gal6
10,0.7950030102347984,EPO266.fut8.
11,0.7950030102347984,EPO266.fut8.
12,1.0,EPO266.fut8.
13,0.7950030102347984,EPO266.fut8.
14,1.0,EPO266.fut8.
15,1.0,EPO266.fut8.
16,1.0,EPO266.fut8.
17,0.7950030102347984,EPO266.fut8.
18,0.7950030102347984,EPO266.fut8.
19,1.0,EPO266.fut8.
20,0.8708189158016145,WT
21,0.8708189158016145,WT
22,1.0,WT
23,0.8708189158016145,WT
24,1.0,WT
25,1.0,WT
26,1.0,WT
27,0.8708189158016145,WT
28,0.8708189158016145,WT
29,1.0,WT
