,EPO127.mgat1.,EPO174.mgat2.,EPO266.fut8.,KI_ST6GalNAc1.st3gal4.st3gal6.mgat4a.mgat4b.mgat5,st3gal4.st3gal6.mgat4a.mgat4b.mgat5,B3gnt2.mgat4a.mgat4b.mgat5,mgat4A.mgat4B.mgat5,mgat5,mgat4A.mgat4B,EPO78.mgat4B.,st3gal4.st3gal6,B4GalT1,B4GalT2,B4GalT3,B4GalT4,WT
1,0.0,1.0,1.0,0.9928,0.99476,0.99319,1.0,1.0,1.0,1.0,1.0,0.70273,1.0,1.0,1.0,1.0
2,0.0,1.0,1.0,0.98561,0.0,0.95227,0.97343,0.96835,0.97334,1.0,0.0,0.34659,0.98472,1.0,1.0,0.98357
4,0.0,0.0,1.0,0.9804,0.97687,0.99092,1.0,1.0,1.0,1.0,0.99622,0.53808,1.0,1.0,1.0,1.0
5,0.0,1.0,0.0,0.98561,0.0,0.95227,0.97343,0.96835,0.97334,1.0,0.0,0.34659,0.98472,1.0,1.0,0.98357
6,0.0,0.4,0.0,0.98536,0.98402,0.99183,1.0,1.0,1.0,1.0,0.99773,0.60394,1.0,1.0,1.0,1.0
7,0.0,0.48765,0.08909,0.0,0.10578,0.0,0.02281,0.0111,0.06748,0.15529,0.1851,0.01186,0.04726,0.08522,0.05196,0.05443
8,0.0,0.0,1.0,0.9586,0.0,0.85737,0.88961,0.94552,0.79729,1.0,0.0,0.25471,0.92038,0.93189,1.0,0.9126
9,0.0,0.27448,0.835,0.0,0.0,0.0,0.0,0.51626,0.73358,0.55166,0.0,0.2563,0.66096,0.69573,0.90379,0.80218
10,0.0,0.98746,0.45944,0.0,0.0,0.0,0.0,0.66784,0.97334,1.0,0.55866,0.42774,0.81962,0.87857,0.93554,0.8935
11,0.0,0.48765,0.0,0.0,0.10578,0.0,0.02281,0.0111,0.06748,0.15529,0.1851,0.01186,0.04726,0.08522,0.05196,0.05443
12,0.0,0.0,0.45944,0.0,0.0,0.0,0.0,0.66784,0.97334,1.0,0.9311,0.38666,0.81962,0.87857,0.93554,0.8935
13,0.0,0.0,0.0,0.9586,0.0,0.85737,0.88961,0.94552,0.79729,1.0,0.0,0.25471,0.92038,0.93189,1.0,0.9126
14,0.0,0.27448,0.0,0.0,0.0,0.0,0.0,0.51626,0.73358,0.55166,0.0,0.2563,0.66096,0.69573,0.90379,0.80218
15,0.0,0.0,0.59524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73256,0.25264,0.55214,0.64487,0.75204,0.80218
16,0.0,0.0,0.05001,0.0,0.07605,0.0,0.00913,0.00444,0.03187,0.06212,0.14749,0.00475,0.01996,0.03649,0.02462,0.02716
17,0.0,0.0,0.08387,0.0,0.0,0.0,0.02281,0.0111,0.06571,0.15529,0.0,0.01186,0.04688,0.08435,0.05056,0.05247
18,0.0,0.48765,0.08909,0.0,0.0,0.0,0.0,0.0111,0.06748,0.15529,0.1234,0.01186,0.04726,0.08522,0.05196,0.05443
19,0.0,0.0,0.89791,0.0,0.0,0.0,0.0,0.62994,0.6635,0.88792,0.0,0.2429,0.74939,0.7929,0.9276,0.82711
20,0.0,0.0,0.0,0.0,0.07605,0.0,0.00913,0.00444,0.03187,0.06212,0.14749,0.00475,0.01996,0.03649,0.02462,0.02716
21,0.0,0.0,0.0,0.0,0.0,0.0,0.02281,0.0111,0.06571,0.15529,0.0,0.01186,0.04688,0.08435,0.05056,0.05247
22,0.0,0.48765,0.0,0.0,0.0,0.0,0.0,0.0111,0.06748,0.15529,0.1234,0.01186,0.04726,0.08522,0.05196,0.05443
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62994,0.6635,0.88792,0.0,0.2429,0.74939,0.7929,0.9276,0.82711
24,0.0,0.0,0.05001,0.0,0.0,0.0,0.0,0.00444,0.03187,0.06212,0.14749,0.00475,0.01996,0.03649,0.02462,0.02716
25,0.0,0.0,0.08634,0.0,0.0,0.0,0.0,0.0111,0.06654,0.15529,0.0,0.01186,0.04706,0.08476,0.05122,0.0534
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00444,0.03187,0.06212,0.14749,0.00475,0.01996,0.03649,0.02462,0.02716
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111,0.06654,0.15529,0.0,0.01186,0.04706,0.08476,0.05122,0.0534
28,0.0,0.0,0.05762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16918,0.00593,0.02459,0.0448,0.02947,0.03211
29,0.0,0.0,0.0,0.0,0.03158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
