,EPO127.mgat1.,EPO174.mgat2.,EPO266.fut8.,st3gal4.st3gal6.mgat4a.mgat4b.mgat5,KI_ST6GalNAc1.st3gal4.st3gal6.mgat4a.mgat4b.mgat5,mgat4A.mgat4B.mgat5,B3gnt2.mgat4a.mgat4b.mgat5,st3gal4.st3gal6,EPO78.mgat4B.,mgat5,mgat4A.mgat4B,B4GalT1,B4GalT4,B4GalT2,B4GalT3,WT
3,4.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-4.04,0.0,0.0,-0.029000000000000026,-0.02100000000000002,-0.027000000000000024,0.0,0.0,0.0,0.0,0.0,-1.201,0.0,0.0,0.0,0.0
10,-2.23,0.235,-1.083,-2.23,-2.23,-2.23,-2.23,-0.563,0.20000000000000007,0.2659999999999999,-0.835,-1.162,-0.18400000000000005,-0.03700000000000003,0.10499999999999998,0.0
4,-2.967,-2.967,0.0,-0.05800000000000005,-0.069,-0.027000000000000024,0.0,0.0,0.0,0.0,-0.01100000000000001,-1.37,0.0,0.0,0.0,0.0
6,-2.871,-1.7229999999999999,-2.871,-0.04200000000000004,-0.04600000000000004,-0.02300000000000002,0.0,0.0,0.0,0.0,-0.007000000000000006,-1.137,0.0,0.0,0.0,0.0
7,-0.46699999999999997,3.714,0.29700000000000004,-0.46699999999999997,0.44000000000000006,-0.46699999999999997,-0.271,-0.372,0.11200000000000002,0.865,1.12,-0.365,-0.062,0.264,-0.020999999999999963,0.0
11,-0.4590000000000001,3.657,-0.4590000000000001,-0.4590000000000001,0.434,-0.4590000000000001,-0.267,-0.366,0.11,0.851,1.103,-0.359,-0.061000000000000026,0.26,-0.02099999999999999,0.0
2,-2.481,0.041000000000000036,0.041000000000000036,0.0050000000000000044,-2.481,-0.07899999999999996,-0.025999999999999912,-0.038999999999999924,-0.025999999999999912,0.041000000000000036,-2.481,-1.607,0.0030000000000000027,0.041000000000000036,0.041000000000000036,0.0
5,-2.281,0.038999999999999924,-2.281,0.0050000000000000044,-2.281,-0.07200000000000006,-0.02300000000000002,-0.03500000000000003,-0.02300000000000002,0.038999999999999924,-2.281,-1.4769999999999999,0.0030000000000000027,0.038999999999999924,0.038999999999999924,0.0
16,-0.719,-0.719,0.604,-0.719,1.2930000000000001,-0.719,-0.478,-0.602,0.124,0.9249999999999999,3.183,-0.594,-0.19099999999999998,0.247,-0.068,0.0
