,EPO127.mgat1.,EPO174.mgat2.,EPO266.fut8.,st3gal4.st3gal6.mgat4a.mgat4b.mgat5,KI_ST6GalNAc1.st3gal4.st3gal6.mgat4a.mgat4b.mgat5,mgat4A.mgat4B.mgat5,B3gnt2.mgat4a.mgat4b.mgat5,st3gal4.st3gal6,B4GalT1,B4GalT2,B4GalT3,WT,B4GalT4,EPO78.mgat4B.,mgat4A.mgat4B,mgat5
G75308SV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20992024739583334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G60415BS,0.05173659617515295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5312.1,0.0,0.0,0.019603327672068856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G17689DH,0.0,0.0,0.0,0.0,0.9345794392523364,0.7219695328857123,0.6675567423230976,0.0,0.0,0.09433579668348954,0.07691907228570685,0.05139895693246302,0.06446297014346647,0.0,0.0,0.23200826019617962
G39764AC,0.0,0.0,0.08111920320101328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4587.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06253731730744269,0.15683579668348954,0.13842829997136685,0.24305441663659919,0.48468398604110124,0.0,0.0,0.0
3416.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3580789305696369,0.0
G80858MF,0.0,0.0,0.0,0.010484312651592208,0.014392523364485982,0.0,0.01361815754339119,0.0,0.2036032294073363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G49721VX,0.46654463124427964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G99891PR,0.0,0.0,0.21175048216701692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G23295TF,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4675.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006646389546017799,0.0
5486.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014419610670511898,0.003279798006091054,0.00734739397120084,0.005234587049243893,0.0,0.0,0.0
G86696LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041951143532099375,0.2253064167267484,0.26030142905484555,0.3280086594286089,0.2136487010469174,0.0,0.0,0.0
