Sample,G0F,G1F,G2F,G0FN,G1FN,G2FN,G1FS,G2FS,G1FNS,G2FNS,G0,G1,G2,G0N,G1N,G2N,G1S,G2S,G1NS,G2NS
sample_01,5.84,5.78,5.3,5.21,5.0,4.29,5.11,5.28,3.72,3.77,4.33,4.35,4.01,3.74,3.77,3.43,4.32,4.09,3.31,3.15
sample_02,5.95,5.77,5.28,5.32,4.99,4.34,5.12,5.29,3.82,3.81,4.07,4.21,3.9,3.45,3.66,3.41,4.38,4.01,3.38,3.39
sample_03,6.11,5.84,5.39,5.43,5.07,4.41,5.15,5.37,3.78,3.73,3.81,4.03,3.78,3.28,3.39,3.2,4.4,4.02,3.24,3.27
sample_04,5.75,5.81,5.39,5.23,5.09,4.42,5.1,5.31,3.65,3.75,4.37,4.35,3.93,3.84,3.76,3.23,4.29,4.03,3.12,3.2
sample_05,5.8,5.79,5.32,5.08,4.89,4.22,5.16,5.36,3.6,3.69,4.32,4.5,4.27,3.72,3.84,3.4,4.47,4.39,3.13,3.06
sample_06,5.66,5.76,5.39,5.11,5.06,4.5,5.11,5.39,3.69,3.85,3.81,4.25,4.18,3.32,3.8,3.56,4.32,4.3,3.14,3.14
sample_07,5.63,5.81,5.49,4.95,4.98,4.47,5.17,5.54,3.67,3.86,3.61,3.81,3.61,2.95,3.42,3.39,4.51,4.43,3.32,3.29
sample_08,5.63,5.69,5.36,5.01,5.01,4.48,5.05,5.39,3.66,3.85,4.38,4.3,3.92,3.47,3.52,3.37,4.38,4.29,3.26,3.22
sample_09,5.86,5.8,5.29,5.31,5.11,4.4,5.02,5.17,3.7,3.74,4.42,4.27,3.86,3.87,3.68,3.27,4.26,3.88,3.25,3.23
sample_10,5.82,5.73,5.31,5.29,5.08,4.45,4.97,5.17,3.61,3.67,4.31,4.29,4.01,3.63,3.74,3.4,4.07,3.91,3.33,3.13
sample_11,5.66,5.77,5.43,4.97,5.01,4.48,5.03,5.4,3.63,3.81,4.07,4.24,3.97,3.43,3.59,3.39,4.33,4.21,3.27,3.22
sample_12,5.73,5.72,5.22,5.2,5.03,4.33,5.15,5.33,3.75,3.8,4.49,4.39,3.97,3.93,3.82,3.42,4.44,4.18,3.15,2.99
sample_13,5.78,5.76,5.3,5.32,5.18,4.53,5.11,5.37,3.79,3.95,4.15,4.18,3.92,3.66,3.71,3.35,4.41,4.16,3.16,3.05
sample_14,5.63,5.77,5.44,5.05,4.96,4.41,5.03,5.37,3.58,3.74,4.22,4.35,4.05,3.56,3.7,3.45,4.33,4.29,3.22,3.2
sample_15,5.98,5.86,5.3,5.2,4.96,4.3,5.17,5.3,3.74,3.8,4.24,4.21,3.85,3.6,3.65,3.4,4.51,4.07,3.24,3.3
sample_16,5.78,5.65,5.28,5.21,4.99,4.4,4.98,5.28,3.66,3.84,4.17,4.42,4.2,3.64,3.79,3.45,4.21,4.2,3.32,3.25
sample_17,5.64,5.72,5.34,5.1,5.06,4.47,5.15,5.49,3.77,3.98,3.68,3.79,3.58,2.99,3.33,3.37,4.49,4.31,3.27,3.22
sample_18,5.91,5.89,5.41,5.17,5.05,4.42,5.28,5.47,3.76,3.86,3.55,3.95,3.88,3.03,3.55,3.37,4.48,4.17,3.13,3.0
sample_19,5.42,5.63,5.41,4.92,5.03,4.58,5.02,5.45,3.66,3.94,3.99,4.26,3.95,3.38,3.65,3.42,4.31,4.39,3.27,3.3
sample_20,5.68,5.73,5.33,5.22,5.14,4.52,5.05,5.29,3.76,3.83,4.33,4.38,4.03,3.87,3.81,3.37,4.19,4.03,3.37,3.19
sample_21,6.05,5.91,5.38,5.47,5.2,4.46,5.21,5.31,3.67,3.79,4.07,4.04,3.89,3.53,3.66,3.26,4.23,3.75,2.76,3.22
sample_22,6.09,5.89,5.34,5.52,5.19,4.43,5.28,5.35,3.84,3.85,3.73,4.01,3.9,3.57,3.55,3.49,4.13,3.8,3.14,2.94
sample_23,5.75,5.87,5.58,5.03,5.0,4.51,5.14,5.55,3.65,3.82,3.99,4.21,4.03,3.22,3.53,3.39,4.37,4.34,3.26,3.13
sample_24,5.96,5.72,5.14,5.4,5.06,4.25,5.14,5.24,3.74,3.73,4.34,4.45,4.13,3.75,3.71,3.23,4.34,4.05,3.26,3.11
sample_25,6.1,5.81,5.16,5.41,5.01,4.23,5.14,5.16,3.68,3.52,4.12,4.19,3.94,3.68,3.74,3.4,4.32,3.78,3.18,3.52
sample_26,5.71,5.77,5.34,5.22,5.14,4.48,5.0,5.24,3.65,3.77,4.24,4.34,3.99,3.73,3.84,3.45,4.25,4.03,3.0,3.02
sample_27,5.75,5.72,5.3,5.25,5.1,4.46,4.96,5.24,3.67,3.84,4.33,4.37,3.99,3.83,3.82,3.39,4.37,4.14,3.12,3.23
sample_28,5.8,5.9,5.55,4.97,4.92,4.38,5.07,5.43,3.54,3.73,4.05,4.2,3.97,3.37,3.58,3.44,4.46,4.38,3.3,3.25
sample_29,5.78,5.85,5.48,5.09,5.02,4.44,5.15,5.45,3.66,3.8,4.2,4.17,3.95,3.56,3.65,3.38,4.38,4.25,3.2,3.17
sample_30,5.65,5.74,5.35,5.14,5.06,4.48,5.07,5.33,3.66,3.85,4.27,4.38,4.03,3.65,3.71,3.35,4.34,4.18,3.27,3.1
