,20,21,19,22,17,15,16,18,12,0,13,11,1,2,14,6,7,9,10,4,3,8,23,5
EPO127.mgat1.,-3.71,-2.34,-2.5,-2.0,-1.49,-1.19,-1.38,-1.58,-0.93,-0.61,-1.14,-1.03,-0.58,-0.44,-0.59,-0.78,-0.7,-0.59,-0.68,-0.5,-0.56,-0.61,-0.26,3.87
EPO174.mgat2.,0.33,0.42,-2.5,-2.0,-0.75,1.21,0.95,-1.58,-0.89,2.41,-1.14,-0.81,-0.58,-0.44,-0.59,-0.78,-0.7,-0.59,-0.68,-0.5,-0.56,-0.61,-0.26,-0.26
EPO266.fut8.,0.33,-2.87,0.47,-2.0,-1.49,-1.19,0.83,0.84,-0.93,-0.33,-0.17,1.54,-0.23,-0.11,-0.59,-0.28,1.39,-0.59,1.94,0.2,3.19,-0.61,-0.26,-0.26
KI_ST6GalNAc1.st3gal4.st3gal6.mgat4a.mgat4b.mgat5,0.3,0.41,0.41,0.51,0.83,-1.19,-1.38,0.74,-0.93,-0.61,-1.14,-1.03,-0.58,-0.44,-0.59,-0.78,-0.7,-0.59,-0.68,-0.5,-0.56,-0.61,-0.26,-0.26
st3gal4.st3gal6.mgat4a.mgat4b.mgat5,0.31,0.41,0.4,0.5,-1.49,-1.19,-1.38,-1.58,-0.93,-0.44,-1.14,-1.03,-0.19,-0.44,-0.59,-0.78,-0.7,-0.59,-0.68,-0.43,-0.56,-0.61,3.87,-0.26
B3gnt2.mgat4a.mgat4b.mgat5,0.3,0.41,0.44,0.54,0.64,-1.19,-1.38,0.51,-0.93,-0.61,-1.14,-1.03,-0.58,-0.44,-0.59,-0.78,-0.7,-0.59,-0.68,-0.5,-0.56,-0.61,-0.26,-0.26
mgat4A.mgat4B.mgat5,0.33,0.42,0.47,0.56,0.71,-1.19,-1.38,0.59,-0.93,-0.57,-1.14,-1.03,-0.52,-0.41,-0.59,-0.78,-0.7,-0.59,-0.68,-0.5,-0.56,-0.61,-0.26,-0.26
st3gal4.st3gal6,0.33,0.42,0.46,0.55,-1.49,-0.2,0.8,-1.58,-0.93,0.25,1.08,-1.03,1.46,-0.44,-0.59,1.52,-0.7,-0.59,-0.68,3.66,-0.56,-0.61,-0.26,-0.26
mgat5,0.33,0.42,0.47,0.56,0.8,0.43,0.23,0.71,0.8,-0.54,0.46,0.63,-0.5,-0.36,-0.59,-0.78,-0.7,-0.59,-0.68,-0.5,-0.56,-0.61,-0.26,-0.26
mgat4A.mgat4B,0.33,0.42,0.47,0.56,0.45,1.11,0.96,0.28,0.7,-0.21,1.19,0.36,-0.09,0.05,1.94,-0.78,-0.7,-0.59,-0.68,-0.44,-0.35,-0.61,-0.26,-0.26
EPO78.mgat4B.,0.33,0.42,0.47,0.56,0.87,0.94,0.82,0.78,0.73,2.74,1.05,-0.03,3.4,3.78,-0.59,-0.78,-0.7,-0.59,-0.68,-0.5,-0.56,-0.61,-0.26,-0.26
B4GalT1,-0.87,-0.23,-0.9,-0.62,-0.81,-0.17,-0.67,-0.95,-0.23,-0.53,-0.64,-0.27,-0.49,-0.35,-0.59,0.14,-0.13,-0.14,-0.27,-0.38,-0.31,-0.03,-0.26,-0.26
B4GalT2,0.33,0.42,0.47,0.56,0.77,0.8,0.59,0.66,1.12,-0.31,0.82,0.89,-0.23,-0.08,-0.01,0.97,0.92,1.19,0.91,0.03,-0.12,1.13,-0.26,-0.26
B4GalT3,0.33,0.42,0.47,0.56,0.8,0.95,0.73,0.69,1.23,-0.08,0.96,0.95,0.06,0.22,0.73,1.26,1.11,2.62,2.18,0.47,0.26,1.39,-0.26,-0.26
B4GalT4,0.33,0.42,0.47,0.56,0.91,1.09,0.87,0.84,1.69,-0.29,1.1,1.71,-0.18,-0.05,1.51,1.6,1.97,1.36,0.99,0.17,1.04,2.11,-0.26,-0.26
WT,0.33,0.42,0.47,0.56,0.76,0.98,0.77,0.64,1.36,-0.27,1.0,1.19,-0.16,-0.03,2.36,1.76,1.77,1.44,1.02,0.24,1.29,2.07,-0.26,-0.26
