,20,21,19,22,17,15,16,18,12,0,13,11,1,2,14,6,7,9,10,4,3,8,23,5
EPO127.mgat1.,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73
EPO174.mgat2.,1.0,1.0,0.0,0.0,0.31,0.99,0.97,0.0,0.02,0.49,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPO266.fut8.,1.0,0.0,1.0,0.0,0.0,0.0,0.92,1.0,0.0,0.04,0.41,0.85,0.05,0.04,0.0,0.16,0.58,0.0,0.08,0.02,0.03,0.0,0.0,0.0
KI_ST6GalNAc1.st3gal4.st3gal6.mgat4a.mgat4b.mgat5,0.99,1.0,0.98,0.98,0.97,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st3gal4.st3gal6.mgat4a.mgat4b.mgat5,0.99,1.0,0.98,0.98,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
B3gnt2.mgat4a.mgat4b.mgat5,0.99,1.0,0.99,0.99,0.89,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgat4A.mgat4B.mgat5,1.0,1.0,1.0,1.0,0.92,0.0,0.0,0.9,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgat5,1.0,1.0,1.0,1.0,0.95,0.67,0.67,0.95,0.61,0.01,0.67,0.55,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgat4A.mgat4B,1.0,1.0,1.0,1.0,0.81,0.95,0.97,0.77,0.57,0.06,0.97,0.46,0.07,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPO78.mgat4B.,1.0,1.0,1.0,1.0,0.98,0.88,0.92,0.98,0.58,0.54,0.92,0.33,0.54,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st3gal4.st3gal6,1.0,1.0,1.0,1.0,0.0,0.41,0.91,0.0,0.0,0.14,0.93,0.0,0.28,0.0,0.0,0.73,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0
B4GalT1,0.7,0.8,0.54,0.54,0.28,0.42,0.3,0.26,0.25,0.01,0.21,0.25,0.01,0.01,0.0,0.29,0.16,0.01,0.01,0.0,0.0,0.04,0.0,0.0
B4GalT2,1.0,1.0,1.0,1.0,0.94,0.82,0.82,0.93,0.72,0.05,0.82,0.64,0.05,0.05,0.0,0.55,0.45,0.05,0.05,0.02,0.0,0.14,0.0,0.0
B4GalT3,1.0,1.0,1.0,1.0,0.95,0.88,0.88,0.94,0.76,0.09,0.88,0.66,0.09,0.08,0.0,0.64,0.5,0.08,0.08,0.03,0.01,0.16,0.0,0.0
B4GalT4,1.0,1.0,1.0,1.0,1.0,0.94,0.94,1.0,0.92,0.05,0.94,0.91,0.05,0.05,0.01,0.75,0.74,0.05,0.05,0.02,0.01,0.21,0.0,0.0
WT,1.0,1.0,1.0,1.0,0.93,0.89,0.89,0.92,0.81,0.05,0.89,0.74,0.06,0.05,0.01,0.8,0.68,0.05,0.05,0.02,0.02,0.21,0.0,0.0
