,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
EPO127(mgat1),-3.633,-5.9190000000000005,-3.742,-2.726,-2.225,-2.372,-2.314,-2.604,-2.303,-2.466,-2.43,-2.184,-3.351,-0.628,-1.597,-0.358,-0.265,-1.488,-1.9209999999999998,5.9190000000000005,0.0,-0.5700000000000001,-0.511,-0.44799999999999995
EPO174(mgat2),0.0,0.0,0.0,-2.726,-1.729,-1.045,-1.478,-2.604,-1.737,-2.4210000000000003,-2.43,-2.184,-3.351,-0.628,-1.597,2.7089999999999996,-0.265,-1.488,-1.9209999999999998,0.0,0.0,-0.5700000000000001,-0.511,3.686
EPO263(mgat2/st3gal4/st3gal6/magt4A/mgat4B/mgat5),0.0,0.0,0.0,-2.726,-2.225,-2.372,-2.314,-2.604,-2.303,-2.466,-2.43,-2.184,-3.351,-0.628,-0.748,3.524,3.6910000000000003,-0.6970000000000001,-1.9209999999999998,0.0,0.0,-0.5700000000000001,-0.511,-0.384
EPO259(mgat2/st3gal4/st3gal6),0.0,0.0,0.0,-2.726,-2.121,-2.022,-2.0869999999999997,-2.604,-2.238,-2.4610000000000003,-2.43,-2.184,-3.351,-0.628,-1.597,-0.25,-0.265,-1.488,-1.9209999999999998,0.0,0.0,-0.5700000000000001,-0.511,-0.40800000000000003
EPO261(mgat2/mgat4A/mgat4B/mgat5),0.0,0.0,0.0,-2.726,-1.784,-2.372,-2.314,-2.604,-2.303,-2.466,-2.43,-2.184,-3.351,-0.628,-1.597,-0.07400000000000001,-0.265,-1.488,-1.9209999999999998,0.0,0.0,-0.5700000000000001,-0.511,-0.378
EPO266(fut8),-4.785,0.0,-1.871,-1.363,-1.729,-2.372,-1.521,-1.96,-2.303,-1.4220000000000002,-2.43,1.24,-3.351,-0.177,-1.597,-0.056999999999999995,0.08900000000000001,2.483,3.2030000000000003,0.0,0.0,-0.152,-0.225,-0.125
st3gal4,0.0,0.0,0.0,0.0,-2.148,-0.05600000000000005,-0.09699999999999998,-0.5429999999999999,-2.225,-2.4160000000000004,-2.294,-2.008,-3.351,0.6,-0.41300000000000003,0.454,-0.06899999999999999,-0.385,-1.9209999999999998,0.0,0.0,-0.509,0.648,-0.086
st3gal3/st3gal4,0.0,0.0,0.0,-0.008000000000000007,-2.178,0.0010000000000000009,-0.029999999999999916,-0.31099999999999994,-2.2560000000000002,-2.435,-2.15,-1.82,-3.351,4.309,3.768,1.798,3.912,2.568,-1.9209999999999998,0.0,0.0,-0.445,2.567,0.476
st3gal4/st3gal6,0.0,0.0,0.0,-0.010000000000000009,-2.225,0.131,0.06800000000000006,-0.252,-2.303,-2.466,-2.43,-2.184,-3.351,2.893,-1.597,1.388,1.927,-1.488,-1.9209999999999998,0.0,0.0,-0.5700000000000001,2.003,0.199
st3gal6,0.0,0.0,-0.992,-0.645,-1.944,-0.722,-1.345,-2.004,-2.0380000000000003,-2.289,-2.149,-1.947,-3.351,-0.41300000000000003,-1.597,-0.203,-0.265,-1.488,-1.9209999999999998,0.0,0.0,-0.49,-0.29000000000000004,-0.32399999999999995
B3gnt1,0.0,0.0,-0.14799999999999996,-0.10899999999999999,-0.851,-0.505,-0.6299999999999999,-1.537,-1.222,-1.748,-1.763,-1.5510000000000002,-3.351,-0.305,-1.597,-0.126,-0.265,-1.488,-1.9209999999999998,0.0,0.0,-0.384,-0.181,-0.18
KI_ST6GalNAc1/st3gal4/st3gal6,0.0,0.0,-0.306,-0.14800000000000002,-0.389,-0.697,-0.776,-1.45,-1.295,-1.7690000000000001,-1.307,-1.3090000000000002,-1.0030000000000001,-0.238,-0.478,-0.14300000000000002,-0.079,-0.44499999999999995,-0.5759999999999998,0.0,0.0,-0.23299999999999998,-0.205,-0.182
B4GalT1/B4GalT3,0.0,0.0,-3.463,-1.896,-2.145,-0.817,-2.27,-2.243,-2.233,-2.435,-2.43,-2.184,-3.351,-0.628,-1.597,-0.358,-0.265,-1.488,-1.9209999999999998,0.0,0.0,-0.5700000000000001,-0.511,-0.44799999999999995
EPO200(B4galt1/B4galt2/B4galt3),0.0,0.0,-1.96,-1.384,-1.7530000000000001,0.28300000000000003,-2.197,-1.596,-1.994,-2.378,-2.43,-2.184,-3.351,-0.628,-1.597,-0.358,-0.265,-1.488,-1.9209999999999998,0.0,0.0,-0.5700000000000001,-0.511,-0.44799999999999995
B4GalT1,0.0,0.0,-2.225,-1.259,-1.5710000000000002,-0.258,-1.6139999999999999,-1.629,-1.573,-1.875,-1.883,-1.6760000000000002,-3.351,-0.524,-1.597,-0.28300000000000003,-0.265,-1.488,-1.9209999999999998,0.0,0.0,-0.44,-0.405,-0.347
B4GalT1/B4GalT2,0.0,0.0,-1.601,-1.1720000000000002,-1.635,-0.05900000000000005,-1.553,-1.268,-1.6179999999999999,-2.003,-2.395,-2.152,-3.351,-0.621,-1.597,-0.353,-0.265,-1.488,-1.9209999999999998,0.0,0.0,-0.5609999999999999,-0.504,-0.44099999999999995
st3gal4/st3gal6/mgat4a/mgat4b/mgat5,0.0,0.0,-0.03899999999999998,-0.06300000000000006,-2.225,-2.372,-2.314,-2.604,-2.303,-2.466,-2.43,-2.184,-3.351,-0.506,-1.597,0.64,0.492,-1.488,-1.9209999999999998,0.0,5.9190000000000005,-0.5700000000000001,0.201,-0.44799999999999995
KI_ST6GalNAc1/st3gal4/st3gal6/mgat4a/mgat4b/mgat5,0.0,0.0,-0.05399999999999999,-0.05300000000000005,0.1509999999999999,-2.372,-2.314,-2.604,-2.303,-2.466,-2.43,-2.184,-3.351,-0.628,-1.597,-0.358,-0.265,-1.488,-1.9209999999999998,0.0,0.0,-0.5700000000000001,-0.511,-0.44799999999999995
mgat4A/mgat4B/mgat5,0.0,0.0,0.0,0.0,-0.06300000000000006,-2.372,-2.314,-2.604,-2.303,-2.466,-2.43,-2.184,-3.351,-0.628,-1.597,-0.21399999999999997,-0.265,-1.488,-1.9209999999999998,0.0,0.0,-0.47,-0.40900000000000003,-0.41300000000000003
B3gnt2/mgat4a/mgat4b/mgat5,0.0,0.0,-0.05099999999999999,-0.025000000000000022,-0.14800000000000002,-2.372,-2.314,-2.604,-2.303,-2.466,-2.43,-2.184,-3.351,-0.628,-1.597,-0.358,-0.265,-1.488,-1.9209999999999998,0.0,0.0,-0.5700000000000001,-0.511,-0.44799999999999995
EPO78(mgat4B),0.0,0.0,0.0,0.0,0.18200000000000005,0.05800000000000005,0.05600000000000005,-2.604,-0.601,-2.2680000000000002,-2.43,-2.184,-3.351,-0.628,-1.597,3.043,-0.265,-1.488,-1.9209999999999998,0.0,0.0,5.361,4.345,4.1370000000000005
mgat4A/mgat4B,0.0,0.0,0.0,0.0,-0.437,0.21599999999999997,0.21100000000000008,-2.604,-0.561,-2.2270000000000003,-2.43,-2.184,-1.915,-0.555,-0.684,0.057999999999999996,-0.03799999999999999,-0.638,-1.0979999999999999,0.0,0.0,0.10799999999999998,0.082,0.083
mgat5,0.0,0.0,0.0,0.0,0.10599999999999998,-0.599,-0.584,-2.604,-0.6,-2.19,-2.43,-2.184,-3.351,-0.628,-1.597,-0.28800000000000003,-0.265,-1.488,-1.9209999999999998,0.0,0.0,-0.448,-0.41100000000000003,-0.354
WT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4GalT4,0.0,0.0,0.0,0.0,0.2519999999999999,0.11199999999999999,0.10899999999999999,-0.16300000000000003,0.2649999999999999,0.20499999999999985,-0.09099999999999997,-0.06300000000000017,-0.9630000000000001,-0.065,-0.4590000000000001,-0.020000000000000018,-0.076,-0.42799999999999994,-0.5529999999999999,0.0,0.0,-0.01899999999999999,-0.028999999999999998,-0.016999999999999994
mgat4A,0.0,0.0,0.0,0.0,-0.05400000000000005,-0.124,-0.121,-0.20399999999999996,-0.15500000000000003,-0.2270000000000001,-1.173,-1.0170000000000001,-3.351,-0.389,-1.597,-0.186,-0.265,-1.488,-1.9209999999999998,0.0,0.0,-0.271,-0.266,-0.217
B3gnt2,0.0,0.0,0.0,0.0,0.10799999999999998,0.21899999999999997,0.21399999999999997,-0.254,0.21100000000000008,-0.026000000000000023,-2.43,-2.184,-3.351,-0.628,-1.597,-0.358,-0.265,-1.488,-1.9209999999999998,0.0,0.0,-0.5700000000000001,-0.511,-0.44799999999999995
EPO275(B3gnt8),0.0,0.0,0.0,0.0,0.16000000000000003,-0.04500000000000004,-0.04399999999999993,-0.45300000000000007,0.02499999999999991,-0.15900000000000003,-2.43,-2.184,-3.351,-0.628,-1.597,-0.358,-0.265,-1.488,-1.9209999999999998,0.0,0.0,-0.5700000000000001,-0.511,-0.44799999999999995
EPO104(mgat5B),0.0,0.0,0.0,0.0,0.2519999999999999,0.123,0.121,-0.2509999999999999,0.20100000000000007,0.04299999999999993,0.238,0.2929999999999999,-3.351,-0.121,-1.597,0.006000000000000005,-0.265,-1.488,-1.9209999999999998,0.0,0.0,0.065,0.008000000000000004,0.043000000000000003
EPO48(mgat3),0.0,0.0,0.0,0.0,0.16499999999999992,-0.028000000000000025,-0.026999999999999913,-0.393,0.050000000000000044,-0.10899999999999999,0.07699999999999996,0.1429999999999998,-3.351,-0.151,-1.597,-0.016000000000000014,-0.265,-1.488,-1.9209999999999998,0.0,0.0,0.025999999999999995,-0.023,0.013000000000000005
EPO143(mgat4C),0.0,0.0,0.0,0.0,0.20899999999999996,0.018000000000000016,0.017000000000000015,-0.345,0.09600000000000009,-0.05900000000000016,0.2629999999999999,0.23699999999999988,0.363,0.068,0.17300000000000004,0.03900000000000001,0.029000000000000012,0.16200000000000003,0.20700000000000007,0.0,0.0,0.062,0.05500000000000001,0.049
st3gal3,0.0,0.0,0.0,0.0,-0.33699999999999997,-0.368,-0.359,-0.824,-0.5760000000000001,-0.812,-1.498,-1.3190000000000002,-3.351,-0.45099999999999996,-1.597,-0.23099999999999998,-0.265,-1.488,-1.9209999999999998,0.0,0.0,-0.348,-0.32999999999999996,-0.277
B4GalT2,0.0,0.0,0.0,0.0,0.02300000000000002,-0.19599999999999995,-0.19099999999999995,-0.8119999999999999,-0.248,-0.7550000000000001,-0.6990000000000001,-0.7520000000000001,-2.693,-0.184,-1.284,-0.056999999999999995,-0.21300000000000002,-1.196,-1.5439999999999998,0.0,0.0,-0.056999999999999995,-0.082,-0.05
B4GalT3,0.0,0.0,0.0,0.0,0.04899999999999993,-0.040000000000000036,-0.038999999999999924,-0.51,-0.127,-0.5750000000000002,0.6539999999999999,0.347,-1.8550000000000002,0.18699999999999997,-0.884,0.185,-0.14700000000000002,-0.824,-1.0639999999999998,0.0,0.0,0.35300000000000004,0.264,0.269
