,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
51,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999997,1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999999
77,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999997,1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,0.0,1.0,1.0,1.0,0.9999999999999999
84,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999997,1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,0.4817187725805675,1.0,1.0,1.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9482634038248471,0.0,0.0,0.0,0.0
104,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,0.4054671477895174,1.0000000000000002,1.0000000000000002,1.0,0.5721793867839288,0.07452487170891461,0.9605438826167547,1.0,1.0,1.0,0.7348168752897538,1.0,1.0,0.9182249105766711,0.9863818424566089,0.9895156873484077,0.9856074766355141,0.9999999999999999,1.0,1.0,0.4762532981530343,1.0,1.0,1.0000000000000002,0.0,1.0,1.0,1.0,0.9999999999999999
114,0.8934955882835308,0.846767545925577,0.9747411860969798,0.6678368611254517,0.0,0.7963967705926637,0.8196196827685653,0.8785693833459147,0.9355370298565335,0.8711975182217939,0.585703602465252,0.703197708330633,0.9761552188935718,0.7548236716018475,0.8722569209993248,0.6213877298717351,0.8940253777976153,0.9426676432291666,0.630994271090819,0.0,0.0,0.0,0.883142589793421,0.9001781235232106,1.0,1.0,0.8764271578626883,0.9088211334807401,0.9399754845629358,0.0,0.263512213887286,0.0,0.0,0.9188807967989866
115,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0,1.0,0.8348332860568866,1.0,1.0,1.0,1.0,0.988272463469496,1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,0.0,1.0,1.0,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.9999999999999999
120,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0,1.0,0.8348332860568866,1.0,1.0,1.0,1.0,0.988272463469496,1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,0.0,1.0,1.0,1.0,0.0
149,0.9835667661626268,0.9713259538389072,0.9221601622256218,0.9683531233866803,0.9734315211898058,0.3465901715947146,0.9847242249459266,1.0000000000000002,1.0,0.45608698271188475,0.07452487170891461,0.7391670663262,1.0,0.9263607717874565,0.05156988521269413,0.1641855114270505,0.031116495568449917,0.0,0.9182249105766711,0.9522696929238985,0.0,0.9856074766355141,0.9819693370762254,1.0,1.0,0.4762532981530343,0.9809331709544832,1.0,1.0000000000000002,0.0,0.20856574982368403,0.8891259891526629,0.0,0.9999999999999999
150,0.8934955882835308,0.846767545925577,0.9747411860969798,0.6678368611254517,0.0,0.4054671477895174,0.8196196827685653,0.8785693833459147,0.9355370298565335,0.5721793867839288,0.07452487170891461,0.6610714332006896,0.9761552188935718,0.7548236716018475,0.8722569209993248,0.3954051408849738,0.8940253777976153,0.9426676432291666,0.593974467095123,0.0,0.0,0.0,0.883142589793421,0.9001781235232106,1.0,0.4762532981530343,0.8764271578626883,0.9088211334807401,0.9399754845629358,0.0,0.263512213887286,0.0,0.0,0.9188807967989866
