"","176_","182_","189_","190_","195_","197_","199_","200_","201_"
"176_",1,-0.610678896898115,0.536040049379417,0.519607926429311,0.634712830727841,-0.254409038773156,-0.0509299805628007,-0.30222629386066,-0.0120378575571045
"182_",-0.610678896898115,1,-0.0608724674400748,-0.0496273481121765,0.751001548387951,0.124972711042797,0.139415044115678,-0.00227337142570934,-0.17325540516462
"189_",0.536040049379416,-0.060872467440075,1,-0.549727253535294,-0.148675806809193,0.764233056802753,0.489103476320016,0.224588217125561,-0.474544598719953
"190_",0.519607926429311,-0.0496273481121765,-0.549727253535294,1,-0.144046709476319,0.681805954743151,0.0653166241518829,0.653269157177724,-0.371949670801984
"195_",0.634712830727841,0.751001548387951,-0.148675806809193,-0.144046709476319,1,-0.103609926670912,0.415571697969704,0.472785144982708,-0.149903692188368
"197_",-0.254409038773156,0.124972711042797,0.764233056802753,0.681805954743152,-0.103609926670912,1,-0.15818069946647,-0.287951890810497,0.617610971254577
"199_",-0.0509299805628007,0.139415044115678,0.489103476320016,0.0653166241518829,0.415571697969704,-0.15818069946647,1,-0.396936817642191,0.630868046102338
"200_",-0.30222629386066,-0.00227337142570916,0.224588217125561,0.653269157177724,0.472785144982708,-0.287951890810497,-0.396936817642191,1,0.615141159241015
"201_",-0.012037857557104,-0.17325540516462,-0.474544598719953,-0.371949670801984,-0.149903692188368,0.617610971254577,0.630868046102338,0.615141159241015,1
