"","154_","176_","189_","182_","195_","199_","190_","197_","200_","201_","108_","139_","164_","148_","173_","187_","165_","184_","188_","196_"
"154_",1,0.361988763885457,-0.0789737596197361,0.777969980838942,-0.310673093776089,0.0280797382413228,0.207264612540092,-0.0586422169714487,-0.0852649401208847,0.00729016410525325,0.142120410007338,-0.0290511926007347,0.125658990695667,-0.213985730114683,-0.0572628256886269,0.0759138286402552,-0.0042408776582717,-0.149340295837612,-0.105079685362788,0.0370288967700025
"176_",0.361988763885457,1,0.626978416949921,-0.291813288758793,0.329510750064806,-0.11944878991697,0.470983889297321,-0.318644255923207,-0.0228422106154054,-0.108063726946962,-0.0253027512942505,0.0706270679964591,-0.0267729969131951,0.0411281379898427,-0.105123182082347,0.011108948542103,0.319908587443718,-0.0870622717309549,-0.153780984928917,-0.0368436545897655
"189_",-0.0789737596197363,0.62697841694992,1,0.0374567560214298,-0.0936850172203405,0.398289459511049,-0.269795839310159,0.608005249729712,-0.237810088951225,-0.0877977694422079,-0.0508051768584402,0.0453142457581365,0.130830866516348,0.0749823653967309,-0.187964642732469,0.144882864850611,-0.0829163219769199,-0.0211245730345897,0.0302555358945144,-0.0215778727136976
"182_",0.777969980838942,-0.291813288758793,0.0374567560214297,1,0.439112271430592,-0.0818717603022001,-0.153261864157353,0.0534198007202375,0.089470529623876,-0.0689182775903968,-0.067618926119634,-0.0906025444425695,-0.0194888384179522,0.28784052731982,-0.0140254735807227,-0.0612245328626142,0.0372089507206451,-0.000480765798534118,-0.00654879855444287,-0.0434521376764832
"195_",-0.310673093776089,0.329510750064806,-0.0936850172203403,0.439112271430591,1,0.560596784090525,0.150352795966982,-0.196496496987099,0.108338989365342,0.0460369128891663,0.0247783636948574,-0.0973349125594057,0.019154164578598,-0.0914202228733914,0.22547068922661,-0.138416811381473,-0.0514799024897257,-0.1863428611967,0.129342805609314,-0.185909203207679
"199_",0.0280797382413228,-0.11944878991697,0.398289459511048,-0.0818717603022001,0.560596784090525,1,-0.322766178595989,0.0389991131288024,0.197010615857374,0.223777175044857,-0.0501924070760251,0.0350807257096917,0.024908874093323,-0.139409155743314,0.059334401983437,0.0221405667073687,-0.259326267123831,0.000178774640715645,-0.0882284367702663,0.0870727016686719
"190_",0.207264612540092,0.47098388929732,-0.269795839310159,-0.153261864157353,0.150352795966982,-0.322766178595989,1,0.464461595503627,0.429777636937961,-0.0717159208727631,-0.0122095872043169,0.147146838545362,-0.0164922509986715,-0.000299791455429771,-0.107117771136393,-0.0973791176041122,-0.182482121642881,-0.0504919157437296,0.0431308539197183,0.0117587968815278
"197_",-0.0586422169714489,-0.318644255923207,0.608005249729712,0.0534198007202372,-0.196496496987099,0.0389991131288025,0.464461595503627,1,-0.0179012758126552,0.324994689154815,0.0794136804484471,-0.139331681529621,-0.0556266205213675,-0.12062957109219,0.0156542824656792,-0.268979385606545,0.0724637932775959,0.31315328996996,-0.0666245712270309,-0.0695867717560416
"200_",-0.0852649401208846,-0.0228422106154053,-0.237810088951225,0.089470529623876,0.108338989365342,0.197010615857374,0.429777636937961,-0.0179012758126552,1,0.480361259499544,-0.0190303378087104,-0.108260161096715,-0.113322267314361,0.0628078009322578,-0.0184322799326331,0.129214696406041,0.200324071647083,0.0963162950980057,-0.0344519518508138,0.0310898733896114
"201_",0.00729016410525331,-0.108063726946963,-0.0877977694422081,-0.0689182775903971,0.0460369128891662,0.223777175044857,-0.0717159208727632,0.324994689154815,0.480361259499544,1,-0.0453052618076271,0.0503346259241166,-0.0752794601813999,0.0960464785980529,-0.0354314824762537,0.190442907652511,-0.0442995511614899,-0.0234698328212175,-0.00692055013390579,0.0756651399946051
"108_",0.142120410007338,-0.0253027512942505,-0.0508051768584402,-0.0676189261196342,0.0247783636948574,-0.0501924070760254,-0.0122095872043168,0.0794136804484471,-0.0190303378087107,-0.0453052618076271,1,0.506960621397274,0.028395000343774,0.602527850712373,-0.0650793243802848,-0.344798237156861,0.0962354405886631,-0.150266590368068,0.0217069617219918,0.0503249930639864
"139_",-0.0290511926007347,0.0706270679964589,0.0453142457581366,-0.0906025444425696,-0.0973349125594056,0.0350807257096916,0.147146838545362,-0.139331681529621,-0.108260161096715,0.0503346259241165,0.506960621397274,1,0.337427032689166,-0.0780329628023573,0.383657412050623,0.0668675840514447,-0.0359014304109068,0.126824228905735,-0.0859420174120928,-0.098791416387657
