"type","reaction","group","ppcor","igg","truth","enzyme"
"5999","motif","G1FS_G2FS","split_group_1",0.335486490374261,"1","T","B4GALT"
"6055","motif","G1FN_G1FNS","split_group_1",0.330066402494318,"1","T","ST6GAL1"
"6198","motif","G2FN_G2FNS","split_group_1",0.489004754734818,"1","T","ST6GAL1"
"6248","motif","G1FNS_G2FNS","split_group_1",0.469073539469178,"1","T","B4GALT"
"6352","motif","G1_G1S","split_group_2",0.465641952874104,"2","T","ST6GAL1"
"6490","motif","G2_G2S","split_group_2",0.680505336790664,"2","T","ST6GAL1"
"6530","motif","G1S_G2S","split_group_2",0.584703542962116,"2","T","B4GALT"
"6574","motif","G1N_G1NS","split_group_2",0.600036608100174,"2","T","ST6GAL1"
"6622","motif","G1F_G1FS","split_group_2",0.402691672102289,"2","T","ST6GAL1"
"6762","motif","G2N_G2NS","split_group_2",0.677809275674773,"2","T","ST6GAL1"
"6802","motif","G1NS_G2NS","split_group_2",0.604619908532655,"2","T","B4GALT"
"6850","motif","G2F_G2FS","split_group_2",0.487815332523049,"2","T","ST6GAL1"
"6900","motif","G1FS_G2FS","split_group_2",0.520118305570558,"2","T","B4GALT"
"6956","motif","G1FN_G1FNS","split_group_2",0.469454514649671,"2","T","ST6GAL1"
"7099","motif","G2FN_G2FNS","split_group_2",0.441981779522122,"2","T","ST6GAL1"
"7149","motif","G1FNS_G2FNS","split_group_2",0.506280090520532,"2","T","B4GALT"
"7523","motif","G1F_G1FS","split_group_4",0.447733993218296,"4","T","ST6GAL1"
"7751","motif","G2F_G2FS","split_group_4",0.724593958263122,"4","T","ST6GAL1"
"7801","motif","G1FS_G2FS","split_group_4",0.668283011039558,"4","T","B4GALT"
"7857","motif","G1FN_G1FNS","split_group_4",0.373443110620409,"4","T","ST6GAL1"
"8000","motif","G2FN_G2FNS","split_group_4",0.66233283895056,"4","T","ST6GAL1"
"8050","motif","G1FNS_G2FNS","split_group_4",0.534142228745594,"4","T","B4GALT"
"8151","motif","G1_G1S","vis_group_1",0.277325273414876,"1","T","ST6GAL1"
"8289","motif","G2_G2S","vis_group_1",0.455946014273912,"1","T","ST6GAL1"
"8329","motif","G1S_G2S","vis_group_1",0.408771190477044,"1","T","B4GALT"
"8373","motif","G1N_G1NS","vis_group_1",0.557400707199083,"1","T","ST6GAL1"
"8421","motif","G1F_G1FS","vis_group_1",0.323578957279914,"1","T","ST6GAL1"
"8561","motif","G2N_G2NS","vis_group_1",0.750258694703359,"1","T","ST6GAL1"
"8601","motif","G1NS_G2NS","vis_group_1",0.592800920431483,"1","T","B4GALT"
"8649","motif","G2F_G2FS","vis_group_1",0.375927550390469,"1","T","ST6GAL1"
"8699","motif","G1FS_G2FS","vis_group_1",0.296169033590256,"1","T","B4GALT"
"8755","motif","G1FN_G1FNS","vis_group_1",0.263160418754392,"1","T","ST6GAL1"
"8898","motif","G2FN_G2FNS","vis_group_1",0.353671043896648,"1","T","ST6GAL1"
"8948","motif","G1FNS_G2FNS","vis_group_1",0.436185359127464,"1","T","B4GALT"
"9052","motif","G1_G1S","vis_group_2",0.231191081635599,"2","T","ST6GAL1"
"9190","motif","G2_G2S","vis_group_2",0.363999030342412,"2","T","ST6GAL1"
"9230","motif","G1S_G2S","vis_group_2",0.65620074273858,"2","T","B4GALT"
"9274","motif","G1N_G1NS","vis_group_2",0.485809763575074,"2","T","ST6GAL1"
"9322","motif","G1F_G1FS","vis_group_2",0.312478442900925,"2","T","ST6GAL1"
"9462","motif","G2N_G2NS","vis_group_2",0.598721205027298,"2","T","ST6GAL1"
"9502","motif","G1NS_G2NS","vis_group_2",0.70997474814529,"2","T","B4GALT"
"9550","motif","G2F_G2FS","vis_group_2",0.335263833701874,"2","T","ST6GAL1"
"9600","motif","G1FS_G2FS","vis_group_2",0.443553679449356,"2","T","B4GALT"
"9656","motif","G1FN_G1FNS","vis_group_2",0.236384365026649,"2","T","ST6GAL1"
"9799","motif","G2FN_G2FNS","vis_group_2",0.3836504036456,"2","T","ST6GAL1"
"9849","motif","G1FNS_G2FNS","vis_group_2",0.448918725962065,"2","T","B4GALT"
"10223","motif","G1F_G1FS","vis_group_4",0.381363024674787,"4","T","ST6GAL1"
"10451","motif","G2F_G2FS","vis_group_4",0.57883498765466,"4","T","ST6GAL1"
"10501","motif","G1FS_G2FS","vis_group_4",0.56515812915452,"4","T","B4GALT"
"10557","motif","G1FN_G1FNS","vis_group_4",0.338450321622876,"4","T","ST6GAL1"
"10700","motif","G2FN_G2FNS","vis_group_4",0.503298432285046,"4","T","ST6GAL1"
"10750","motif","G1FNS_G2FNS","vis_group_4",0.466846152497635,"4","T","B4GALT"
"10851","glycan","G1_G1S","k_2010_group_1",-0.0359014304109068,"1","T","ST6GAL1"
"10989","glycan","G2_G2S","k_2010_group_1",0.427260336274358,"1","T","ST6GAL1"
"11029","glycan","G1S_G2S","k_2010_group_1",0.384432867165995,"1","T","B4GALT"
"11073","glycan","G1N_G1NS","k_2010_group_1",-0.0424690646102324,"1","T","ST6GAL1"
"11121","glycan","G1F_G1FS","k_2010_group_1",0.470983889297321,"1","T","ST6GAL1"
"11261","glycan","G2N_G2NS","k_2010_group_1",0.0140156385695778,"1","T","ST6GAL1"
"11301","glycan","G1NS_G2NS","k_2010_group_1",0.252826728662694,"1","T","B4GALT"
"11349","glycan","G2F_G2FS","k_2010_group_1",0.608005249729712,"1","T","ST6GAL1"
"11399","glycan","G1FS_G2FS","k_2010_group_1",0.464461595503627,"1","T","B4GALT"
"11455","glycan","G1FN_G1FNS","k_2010_group_1",0.108338989365342,"1","T","ST6GAL1"
"11598","glycan","G2FN_G2FNS","k_2010_group_1",0.223777175044857,"1","T","ST6GAL1"
"11648","glycan","G1FNS_G2FNS","k_2010_group_1",0.480361259499544,"1","T","B4GALT"
"11752","glycan","G1_G1S","k_2010_group_2",0.0633234767020245,"2","T","ST6GAL1"
"11890","glycan","G2_G2S","k_2010_group_2",0.267963960131967,"2","T","ST6GAL1"
"11930","glycan","G1S_G2S","k_2010_group_2",0.550057194854103,"2","T","B4GALT"
"11974","glycan","G1N_G1NS","k_2010_group_2",-0.0475595639652252,"2","T","ST6GAL1"
"12022","glycan","G1F_G1FS","k_2010_group_2",0.475812814575773,"2","T","ST6GAL1"
"12162","glycan","G2N_G2NS","k_2010_group_2",0.252889156877547,"2","T","ST6GAL1"
"12202","glycan","G1NS_G2NS","k_2010_group_2",0.190047559277167,"2","T","B4GALT"
"12250","glycan","G2F_G2FS","k_2010_group_2",0.588649922052197,"2","T","ST6GAL1"
"12300","glycan","G1FS_G2FS","k_2010_group_2",0.651274417738293,"2","T","B4GALT"
"12356","glycan","G1FN_G1FNS","k_2010_group_2",0.109980897487128,"2","T","ST6GAL1"
"12499","glycan","G2FN_G2FNS","k_2010_group_2",0.296974857462732,"2","T","ST6GAL1"
"12549","glycan","G1FNS_G2FNS","k_2010_group_2",0.246136079484143,"2","T","B4GALT"
"12923","glycan","G1F_G1FS","k_2010_group_4",0.635209497445285,"4","T","ST6GAL1"
"13151","glycan","G2F_G2FS","k_2010_group_4",0.731529237892391,"4","T","ST6GAL1"
"13201","glycan","G1FS_G2FS","k_2010_group_4",0.581309127880482,"4","T","B4GALT"
"13257","glycan","G1FN_G1FNS","k_2010_group_4",-0.128775809941557,"4","T","ST6GAL1"
"13400","glycan","G2FN_G2FNS","k_2010_group_4",-0.216698385224202,"4","T","ST6GAL1"
"13450","glycan","G1FNS_G2FNS","k_2010_group_4",-0.130903909463964,"4","T","B4GALT"
"13551","glycan","G1_G1S","k_2013_group_1",0.116346177594473,"1","T","ST6GAL1"
"13689","glycan","G2_G2S","k_2013_group_1",0.633030306741883,"1","T","ST6GAL1"
"13729","glycan","G1S_G2S","k_2013_group_1",0.0737113838929328,"1","T","B4GALT"
"13773","glycan","G1N_G1NS","k_2013_group_1",-0.0633821911761689,"1","T","ST6GAL1"
"13821","glycan","G1F_G1FS","k_2013_group_1",0.515161137257617,"1","T","ST6GAL1"
"13961","glycan","G2N_G2NS","k_2013_group_1",0.313760743521024,"1","T","ST6GAL1"
"14001","glycan","G1NS_G2NS","k_2013_group_1",0.238342927330597,"1","T","B4GALT"
"14049","glycan","G2F_G2FS","k_2013_group_1",0.595347376624276,"1","T","ST6GAL1"
"14099","glycan","G1FS_G2FS","k_2013_group_1",0.424051638701547,"1","T","B4GALT"
"14155","glycan","G1FN_G1FNS","k_2013_group_1",0.211896347148505,"1","T","ST6GAL1"
"14298","glycan","G2FN_G2FNS","k_2013_group_1",0.226706559933446,"1","T","ST6GAL1"
"14348","glycan","G1FNS_G2FNS","k_2013_group_1",0.37702174732383,"1","T","B4GALT"
"14452","glycan","G1_G1S","k_2013_group_2",0.165862806170396,"2","T","ST6GAL1"
"14590","glycan","G2_G2S","k_2013_group_2",0.516653154234147,"2","T","ST6GAL1"
"14630","glycan","G1S_G2S","k_2013_group_2",0.213602206936176,"2","T","B4GALT"
"14674","glycan","G1N_G1NS","k_2013_group_2",-0.30306887545154,"2","T","ST6GAL1"
"14722","glycan","G1F_G1FS","k_2013_group_2",0.579437544966711,"2","T","ST6GAL1"
"14862","glycan","G2N_G2NS","k_2013_group_2",0.273380360884711,"2","T","ST6GAL1"
"14902","glycan","G1NS_G2NS","k_2013_group_2",0.119232124154068,"2","T","B4GALT"
"14950","glycan","G2F_G2FS","k_2013_group_2",0.646719664661472,"2","T","ST6GAL1"
"15000","glycan","G1FS_G2FS","k_2013_group_2",0.656968700275018,"2","T","B4GALT"
"15056","glycan","G1FN_G1FNS","k_2013_group_2",-0.00371307843388499,"2","T","ST6GAL1"
