"","Coef","naiveSE","naiveZ","robustSE","robustZ","vars","response","robustPr","data"
"smallest_motif_abundance_dropped_more.scale(X74)",-0.00779333452235157,0.0852827906629652,-0.0913822643673865,0.00419890998020448,-1.85603753333432,"X74","secretor",0.0634482083843038,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X75)",-0.009939674036777,0.0926673000151798,-0.107261936358875,0.00607562410846669,-1.63599226339983,"X75","secretor",0.10184120659142,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X76)",-0.00851327862134213,0.0870759738030137,-0.0977683998183145,0.00480822402892812,-1.77056613213589,"X76","secretor",0.0766328780681431,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X77)",-0.00227262869297703,0.0754400802334328,-0.030124950635589,0.00297977994531477,-0.762683397661757,"X77","secretor",0.445652234227592,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X78)",-0.00139583092686018,0.0874874971470313,-0.0159546332033519,0.00308611866198858,-0.452293343108447,"X78","secretor",0.651057670954889,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X79)",-0.00227262869297703,0.0754400802334328,-0.030124950635589,0.00297977994531477,-0.762683397661757,"X79","secretor",0.445652234227592,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X80)",-0.0139859617721299,0.0935930123793879,-0.149433824348302,0.0049223255395162,-2.84133214267346,"X80","secretor",0.00449254954009616,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X81)",-0.00139583092686018,0.0874874971470313,-0.0159546332033519,0.00308611866198858,-0.452293343108447,"X81","secretor",0.651057670954889,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X82)",-0.00139583092686018,0.0874874971470313,-0.0159546332033519,0.00308611866198858,-0.452293343108447,"X82","secretor",0.651057670954889,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X83)",-0.00139583092686018,0.0874874971470313,-0.0159546332033519,0.00308611866198858,-0.452293343108447,"X83","secretor",0.651057670954889,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X84)",-0.00963871359580955,0.0964287718093068,-0.0999568221699498,0.00520650744036403,-1.85128201701669,"X84","secretor",0.0641289917986796,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X85)",-0.00963871359580955,0.0964287718093068,-0.0999568221699498,0.00520650744036403,-1.85128201701669,"X85","secretor",0.0641289917986796,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X87)",-0.0155962377631134,0.105537676840239,-0.147778861825078,0.00835734425755635,-1.86617151124437,"X87","secretor",0.0620173735194926,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X88)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X88","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
