Sample,G0F,G1F,G2F,G0FN,G1FN,G2FN,G1FS,G2FS,G1FNS,G2FNS,G0,G1,G2,G0N,G1N,G2N,G1S,G2S,G1NS,G2NS
sample_01,226.3988142845844,263.84761510083905,172.42920406305095,136.46750277453486,161.59594681647343,66.95837385999891,79.06916585201694,145.75222390148835,37.96430404644502,35.2211710285595,104.63451701660759,109.573125376624,73.29880679968743,57.460797481405436,62.46344232785375,29.876605272892206,45.98256292850206,58.410675232189554,23.574044932715708,15.40853961080401
sample_02,268.15415348112776,252.60008894430868,161.60632335560803,153.6002040992893,144.48064678215775,62.802566057457156,86.51048667583501,164.49445908084937,43.22733246481157,38.85014728624245,75.1194295312098,78.67939938290417,59.0539729304375,42.32124686602638,48.852646553719126,29.524357623415106,54.11435172737512,57.44611744184308,28.61394093210007,21.937083993978096
sample_03,224.84864207434129,252.82503279357815,190.9199322271424,136.8450009520675,154.42896034566016,74.66155218583503,77.64541345220164,189.51035896411832,41.23991473487298,40.54470481781067,62.36481717020211,83.1226018066149,66.0834593808823,34.403752015417005,51.49144009031112,29.95545408326187,57.74465144267542,71.35645303744198,20.435598628229386,20.196923412366406
sample_04,187.2766407893569,233.1210949243247,168.32753981517607,131.50674594036846,165.34192795891093,75.89698835658106,74.96674029490872,151.8551209703496,40.40488963637482,39.40830593401225,88.9794838698312,106.54220178573911,76.76780040339627,56.96215123966844,67.20229660334354,35.24852699974557,44.964604206312146,62.355982012202965,26.666380643930115,16.75831149192578
sample_05,196.05066660369954,243.37907275227255,162.75689409888048,116.9053847296101,136.3927594784422,61.37496100322856,82.43510797145339,165.46002119899066,38.695432128926264,35.48582936805316,76.35325524722032,94.95895553230879,73.84635466070657,45.84913796496823,55.53781848388998,30.889320288198384,53.9115248440829,71.03679353260331,23.74136285500155,19.383255239002875
sample_06,174.87682328717568,249.28447967999278,202.83519828923679,131.3985726326221,179.4041908875364,91.89472022404776,76.53610959201401,183.16434676449393,45.73479623419988,46.10831883713018,43.58983598743782,68.80648078220857,66.45520590775982,27.365287730351866,44.91636229841629,30.95305996850432,40.38309251033123,60.818102786331174,24.402547612761786,20.6331796138873
sample_07,193.93939848188813,250.8494913035829,198.60163379279817,132.9913175669259,158.5911035823378,78.13603180560403,73.61973781665995,180.78634944905681,37.998230649946585,38.3464307481595,60.32246617732821,82.86269227525453,72.3212992916986,41.5352508371073,49.301721287815774,30.893113350789164,46.26032953362366,68.92324267109133,22.90062215371677,17.691375909904096
sample_08,177.49701028092156,230.4262359482054,179.1133256983842,110.23739237345453,139.21953714859262,72.00270761825261,71.0069256145961,170.6444521285061,38.69212146528888,37.85868806783809,80.8004732930266,93.93362465352143,73.84971421938214,40.81560955370824,53.58705863767297,31.745300354472395,50.64050055618669,71.6574069549895,20.474960762447736,19.171660889137446
sample_09,212.08174522385542,238.7212167119193,151.51608488522774,155.2536535175382,170.2146616376565,71.31314201985106,73.95635663599856,135.30572182144257,43.30329859304766,39.18242021477392,79.92937164499476,80.00366048202469,53.21915716232558,56.5228431513428,56.061061963681695,29.06667781685274,46.215804977146014,48.09054739364354,30.50561273302031,19.76785494311095
sample_10,241.45632200632747,243.24997685934423,170.8661516107238,164.10101246558872,160.05757329413584,70.62879788955632,73.51642222234018,147.91983380057542,39.51329230079638,35.23362758549584,108.47901083832528,105.42891555369441,78.0415931895763,59.57206515603838,61.1545337070359,31.238005794636088,49.02991952812295,61.91537797373152,22.705653766751013,16.953146602221643
sample_11,187.37356697577957,256.6529927817022,192.3082428513727,107.68812373739162,153.49371340567424,76.53998471678993,77.43868830316505,179.9723798591846,40.03114986895904,41.63742469802105,57.63439055412544,80.24708633089914,67.64058803934458,35.561058435131784,49.690556398274644,31.74903861547463,47.58261377261407,65.35902249136889,25.740669827537705,18.534801838717705
sample_12,182.2481473943332,218.5747426958367,146.2142219239192,133.93457809459323,151.87545055280347,65.95685389702544,76.25036934210459,150.30611016128213,42.31212767641103,37.88464825188045,101.47399489683546,106.96489040547186,73.66694070049485,70.42367671305084,69.95835879148068,33.61904965540166,49.31937389654471,66.38997048043095,23.027141418993306,19.15051192732529
sample_13,193.7542016840291,239.62544253350583,170.62672171603825,142.14905826741668,164.4339743647287,75.85450655681339,78.84382724111725,169.91029956529945,43.84966062065069,43.28759890606763,61.12458842317521,73.50695501561428,60.43463886237296,45.18608837181766,51.583191962114476,29.844780737017405,48.775701782617304,59.40450512217948,21.69225515919785,20.151325095174457
sample_14,176.55965428558537,250.07621278608076,197.03612315112082,121.08900271639531,152.6220305732224,72.71451507133686,70.67343303745807,169.49456134605532,36.250442336470186,37.63762433616062,77.31991233146736,103.9831702861093,80.9915348826531,46.595439565053226,54.80796364138173,31.531427911378977,45.15070052145103,66.78088587160055,22.1721519399825,17.355570626090586
sample_15,225.73646460716452,260.42209323040447,166.57676196710491,124.8425805537131,153.46087788763728,68.0591188598201,80.312185988225,151.81841498848567,40.93307253021753,38.53376981901587,76.1964548649967,97.84865151261975,73.90708461075687,46.6138586852129,57.92225460631513,29.848708334210883,44.8737470840085,61.68475583275566,33.991563611639044,15.753524925074489
sample_16,185.92190698738878,249.16573215306516,196.01085517237502,130.6987588578024,171.78577926923214,85.9079088133011,73.42379747759047,172.41636248247977,43.63273482305421,46.51632608667492,55.34100116527395,84.75720002803888,69.0569403243739,36.068441423780655,49.995426778620896,30.327947832312553,42.621654954192124,59.06324684287955,26.00931312102414,18.193363479489125
sample_17,173.29280005800484,216.12584990265432,159.65496896382092,120.36949414019213,160.01035782030735,75.25545535994102,72.62875448158137,166.99231751016202,44.533686067306455,45.536661303707554,78.05784176678354,89.48160100886822,70.54525684032743,47.5778641505935,58.17951079869773,30.265392879793342,45.36318990223948,67.491245560887,28.36077517637464,18.25289872480595
