Sample,G0F,G1F,G2F,G0FN,G1FN,G2FN,G1FS,G2FS,G1FNS,G2FNS
sample_01,196.05984510965084,196.43619050292136,125.42226554883764,109.1601796894563,98.64225477692595,44.11051704600827,90.24056753907952,131.38776989866417,26.679747870162494,24.079176309185847
sample_02,219.43107512880158,165.71663902713584,97.51833056055837,131.32765529805192,97.70233670497217,43.594591211420656,88.17913935506493,122.26209238024276,32.193897492338074,29.48652551707831
sample_03,173.7229102815439,151.83274105197927,106.30016532883056,120.68266644687272,98.01413647691709,52.924411006873044,77.28187182161503,127.69188265764475,30.793310741507476,37.15503208663603
sample_04,182.74032605091952,164.74567507107284,109.50446832745932,152.00985746470883,108.95403494209567,43.41228840263245,89.56981826806899,128.19184286488908,26.85004903525043,31.113951982876422
sample_05,171.0355007378338,179.2767756688733,120.66482730982511,103.78524458331479,98.84031363511644,45.82504858723124,99.12528720539966,146.6590140311284,28.003356237297936,31.77537779746594
sample_06,128.34359699248168,155.89626557118592,119.13615983981936,88.65960894964235,98.15810170887976,55.81969760202265,81.57119700234927,142.62781049700186,30.819505503126468,32.66616530766091
sample_07,173.065563579585,154.3097110251236,111.96341304142722,115.99051375041022,86.87154786057772,42.90213430497782,84.54484989590378,141.57041232053302,30.499372427458958,29.92614006389812
sample_08,168.67120275167352,168.8063938922557,125.80907554520607,95.13014243166833,96.20598907305919,48.995009636980775,87.86269466659223,149.52423268561952,28.445084065068663,23.203656907860747
sample_09,202.50870720558999,173.84632827119503,104.66918371768384,142.1321273744601,115.87189064481436,44.63575560837967,81.61476546255655,111.67536796009308,28.033361292331623,33.34535528081398
sample_10,217.12150430504548,165.76349105526705,104.48249864367348,142.19940259832282,99.24990796941236,45.69544534704683,85.50702438237514,120.61107872973477,31.48496809936395,28.4164812434731
sample_11,170.37060541028083,176.26773676116872,124.60379608543202,106.28600529702726,90.83353530538287,41.11000193559653,84.46800330335445,134.55288415741347,28.317130105522555,44.762398783002425
sample_12,167.155154502066,160.68946189219935,98.06032773933282,117.03393710550196,101.25482978223977,46.06436371391509,93.62682441410323,131.4676272680364,35.747556166155505,31.30878695139506
