Sample,G0F,G1F,G2F,G0FN,G1FN,G2FN,G1FS,G2FS,G1FNS,G2FNS,G0,G1,G2,G0N,G1N,G2N,G1S,G2S,G1NS,G2NS
sample_01,166.6297041591928,237.59477320102442,183.7554692672766,102.39386674143736,160.2350732202072,81.85194991533938,68.17830986607706,163.32231677198763,41.717628635008786,40.316228900572916,62.59601899452073,92.22235290030973,86.00214056272337,35.840822193422255,62.16011750493862,36.10045103595547,31.907455968584355,64.8357036575143,23.707616864509532,23.818998141074687
sample_02,213.09569990888414,259.0439356420509,180.93573558772448,140.88216329977482,171.2141652865086,76.49157281773229,77.99544538699152,161.30232993354002,43.14444246236996,42.08136879297707,52.457764097505155,78.34720186809777,64.8587948786379,36.39139552610039,52.730408427759784,31.84584427587889,34.341015023203084,53.55980837339707,29.0925747298245,25.107484732624744
sample_03,169.04820346180279,254.64131569550062,228.16620748693336,94.85956707941607,154.83450051982786,87.69455080158895,69.80139708530163,192.56436121448348,41.390403904383994,43.9032406000309,38.467095211609305,77.47506555232077,79.90400495695518,22.30924055951367,47.21901740374783,33.45153429536392,31.75103221598345,60.89233357359943,25.75158508863973,25.155295543797845
sample_04,205.35684695620407,271.29147075703776,200.2320016696984,126.70699186711067,173.83246819159106,82.65210631451386,75.6728106910651,166.72743043473542,42.10890216226738,40.132793491610315,59.16266890443311,86.96294135040019,71.30889402928308,31.189007156143703,49.42141532972548,33.305986070884735,33.34583537305864,50.97472860969955,22.252086456385584,21.187249388239447
sample_05,182.826465698387,266.80992738144124,223.42841324402295,92.89431022219486,150.264390801438,83.41203863419372,74.86475079633686,201.45962360356114,41.282488748735794,42.914487292992156,43.62708374721729,81.11764754448399,86.30955133867778,23.0014729498309,45.68157029554039,32.54548306877454,31.445933942635126,67.56262622707699,23.69531352682071,27.167538264773555
sample_06,177.0216832087159,251.72829368601012,208.57808054124268,114.65238313021594,163.34519555226322,85.52940423177058,72.38906092689072,187.07625214722196,43.47045262700695,42.59395444183294,45.45296966963647,81.27895087421541,80.10331527019609,24.23275958374271,47.05585535625014,34.800461903601196,30.341242226308005,61.10419606656134,24.72436712257558,28.753171770799703
sample_07,197.19957320185839,227.26614165848895,155.58761547608387,154.04360216985864,177.30772541441482,74.22155056212029,75.03558186629999,146.46374740227947,45.61683952016772,41.858863011003564,77.90389458082889,85.61234987796236,60.73442865058209,54.102444297933936,57.977383602496836,29.558979040540937,33.164772401424074,47.755966521632395,29.974850122965908,23.067959890932098
sample_08,176.30589941729866,233.3539837861235,176.17445476341842,146.8361980579487,207.74900955980937,95.47681370278788,68.58602603687727,150.81274382572204,52.102747268039124,48.25704283752339,52.84322085384561,70.73187522551483,59.80709520201927,43.959493404379444,59.69636728140693,35.18565555634085,29.777004348183347,47.76774424130305,30.179583251653824,26.909184335444284
sample_09,177.7970412451442,240.11335406849173,196.09317465818205,118.79574480118447,162.78593328354958,84.02338671947112,66.96691362588484,168.82345802432965,39.322155005272826,40.46130936356421,63.31178381395029,102.42820641856392,89.03684653647673,36.091097765514995,61.79629512901729,36.44361804171054,31.32546849858044,65.00374756959255,22.906670489128505,25.040994337457825
sample_10,225.28006259686487,233.60211026120245,165.8085617051061,163.95277832651496,177.55265749394692,78.6551493849433,69.73043245468335,144.95356997283645,42.68930455457476,40.20988158498693,74.195549138184,85.07137611787338,62.32328783268399,44.71278988535812,57.015575343892635,30.235284170730733,35.188497836147604,49.82830879931097,26.859345035964008,23.6650884143422
