Sample,G0F,G1F,G2F,G0FN,G1FN,G2FN,G1FS,G2FS,G1FNS,G2FNS
sample_01,5.226068461909981,5.233653912735323,4.874313032301575,4.678262459457635,4.606077958746429,3.895908832278875,4.524001065793677,4.924623960055532,3.2978639186877485,3.2916584082707265
sample_02,5.055564374418947,5.093190964084701,4.821951704413132,4.775153578437687,4.74860147420842,4.094952976476869,4.338994688992113,4.882642372992232,3.319248462040313,3.5285224362093897
sample_03,4.788040153655562,5.00381234159178,4.864048673038754,4.369202477758617,4.545891198019963,4.061521299105564,4.442727043961013,5.103498297924404,3.5206108061597394,3.6017984237443184
sample_04,5.113097377291309,5.095615822575077,4.745434707633088,5.008525309050163,4.829858041412679,4.100153420100492,4.379132002473584,4.8798579111911,3.5059623942399103,3.397194812480082
sample_05,5.0952124324673145,5.249946668790594,4.8211791524659455,4.743083935248417,4.635002155657481,3.915362151999521,4.792337376542247,5.138550632043801,3.5282076754715908,3.414498151970527
sample_06,5.317471071242406,5.077474243090501,4.575087493760637,5.066760558819018,4.782253558665422,3.930501518367,4.450354154722687,4.676032023854505,3.6366892760946987,3.400338895514899
sample_07,5.2843784722528815,5.111963787625696,4.58199329056505,5.082747216249221,4.808233326147379,3.940401159320989,4.440235077783176,4.655907862310897,3.594600116005919,3.4330064085349052
sample_08,5.002548877881486,5.053916752257027,4.668411284090273,4.716155393829467,4.746701003183697,4.028407725239088,4.461548831480128,4.811242535473347,3.6154915100887184,3.545758145058316
sample_09,5.143024992534446,5.115257191250365,4.637289220246666,4.900277847783897,4.793636191025392,3.9592554506197906,4.4551958488248244,4.76911566917477,3.5972399695621644,3.4921987604746394
sample_10,5.0531563706521005,5.108623309809709,4.770929394170121,4.780100467724118,4.658124351766042,3.949683501588287,4.470329996036256,4.884052084825387,3.580345290470643,3.4392657026815434
sample_11,5.298427611012777,5.15244211496119,4.734574616372942,4.815063605364083,4.615759760598206,3.9169858702785723,4.389012221177592,4.777876663109234,3.5169165613710263,3.507371243464796
sample_12,5.1631967832723795,5.096703159274792,4.7559982082607215,4.929672369509854,4.841327115136092,3.9546965730985613,4.320037561129509,4.835281612928987,3.422139555837205,3.4846950595018464
sample_13,5.156596914020469,5.146199881135991,4.734280264563666,4.860833762786071,4.698170678849475,3.9158985389982086,4.501427549321215,4.813068176672147,3.589388983433665,3.401001879243377
sample_14,5.437860488232444,5.141449416416323,4.576606791602374,5.012044273778027,4.7636571910282575,3.879272490721612,4.488532940857139,4.65413564689988,3.499923800399604,3.4281245079745783
sample_15,5.087811748214804,4.95821259142133,4.541500145565088,4.907520951644749,4.805067206502978,3.997922795449566,4.370606081035117,4.7005747417621695,3.69429530087873,3.635471637435091
sample_16,5.29805369214436,5.128453697755025,4.707538006546828,4.903198157821121,4.736886763717683,3.9633205620954683,4.450081900749697,4.7609654640529095,3.4763632446398716,3.37114112179104
sample_17,5.204012363257629,5.117987819972117,4.628665792759021,4.864258644885218,4.724466538431751,3.8566713577345135,4.550475521429793,4.846464901352437,3.423469696283714,3.3788158771731864
sample_18,5.386369334993584,5.139711507388162,4.490486705829108,5.070690606830075,4.756469156852322,3.9191577868094267,4.334360115418496,4.566704688970728,3.474798108974606,3.546619941075882
sample_19,5.4231839571311555,5.209677867218344,4.669661142283311,5.029851200884067,4.71931663945373,3.6443375792462978,4.423581787738092,4.651763678888322,3.5579683684598438,2.4180892820586073
sample_20,5.165650527733713,5.174776661386139,4.736370190003923,4.891697273974573,4.812810334255133,4.033027269857485,4.444572627604652,4.7713792375345525,3.5151430796775465,3.3530883314165574
sample_21,5.19835482696729,5.024201752663052,4.59315654686355,5.055184953081344,4.744125154660763,3.9261626759411348,4.430295462419278,4.760004204607993,3.6529997371801475,3.51718465143951
sample_22,5.182097300898761,5.22517342462583,4.757922044095544,4.750333952834839,4.743837151470586,3.942159925864891,4.553023077732434,4.7968176703067895,3.459274972078787,3.4318877106487586
sample_23,5.232166828409946,5.14733716728573,4.747478622947904,4.799231598726535,4.658189548891608,3.9124118389877127,4.492144357512455,4.859367050358465,3.4615389264453222,3.438702184544718
sample_24,5.162194279479752,5.129627279305546,4.736964400657243,4.845700571553864,4.675864065828292,3.944591207685629,4.463685586120617,4.875418612358516,3.4917607856673865,3.3748796917287103
