Name,Composition [a],Supposed structures [a],P1TS [b],P1TI,P3TS,P2TS,P4TS,P4TI,P6TA-FS,P6TA-FG,P6TA-AS,P6TA-AG,P5TA-AS,P5TA-AG,P7TA-AS,P7TA-AG,P8H,P9H,P10H
749-2,Hex2HexNAc2,Galβ1-4GlcNAcβ1-3Galβ1-3GalNAcol,0.2,0.8,5.7,0.5,0.5,0.4,2.3,0.5,0.6,1.6,0.1,3.5,0.0,0.1,0.7,0.2,0.3
790-1,Hex1HexNAc3,Galβ1-3(GalNAcβ1-4GlcNAcβ1-6)GalNAcol [e],0.1,0.1,0.0,0.1,0.0,0.8,2.7,0.2,0.8,0.0,0.0,0.8,0.0,0.0,0.7,0.1,0.1
790-2,Hex1HexNAc3,"GlcNAcα1-4Galβ1-3(GlcNAcβ1-6)GalNAcol [d, e]",0.2,0.3,0.9,0.6,1.0,0.1,0.0,0.0,0.0,0.4,0.1,1.0,0.0,0.5,0.3,0.2,0.2
813-1,Hex1HexNAc2dHex1Sul1,Fucα1-2Galβ1-3(6SGlcNAcβ1-6)GalNAcol,0.5,0.8,4.9,2.5,8.2,0.0,0.3,0.3,1.3,0.0,0.2,0.0,13.4,0.4,0.3,0.0,0.5
813-2,Hex1HexNAc2dHex1Sul1,Fucα1-2Galβ1-4(S)GlcNAcβ1-3GalNAcol,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821,NeuAc1Hex1HexNAc1dHex1,Fucα1-2Galβ1-3(NeuAcα2-6)GalNAcol,0.4,0.6,0.0,2.2,2.1,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.4,0.3,0.1,1.0
829-1,Hex2HexNAc2Sul1,Galβ1-3[Galβ1-4(6S)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,1.3,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829-2,Hex2HexNAc2Sul1,Galβ1-3[(S)Galβ1-4GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
878-1,NeuAc1Hex1HexNAc2,HexNAc1-4Galβ1-3(NeuAcα2-6)GalNAcol,0.1,0.1,0.0,0.4,0.7,0.0,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.3
878-2,NeuAc1Hex1HexNAc2,NeuAcα2-3Galβ1-3(GlcNAcβ1-6)GalNAcol,0.3,2.4,0.0,4.7,0.2,0.3,0.5,0.1,0.1,0.4,4.5,0.0,0.0,0.0,0.5,0.8,1.7
878-3,NeuAc1Hex1HexNAc2,NeuAcα2-3Galβ1-4GlcNAcβ1-3GalNAcol,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
895-1,Hex2HexNAc2dHex1,Galβ1-3[Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.1,0.3,0.3,0.3,0.3,0.0,0.7,0.3,0.0,1.9,0.9,0.0,0.0,0.5,0.5,0.4,1.0
895-2,Hex2HexNAc2dHex1,Galα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-3GalNAcol,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4
895-3,Hex2HexNAc2dHex1,Galβ1-4GlcNAcβ1-3(Fucα1-2)Galβ1-3GalNAcol,0.2,0.4,0.0,0.0,0.0,0.3,0.1,0.9,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.2
895-4,Hex2HexNAc2dHex1,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-3GalNAcol,0.6,0.4,0.4,0.3,0.6,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.3
895-5,Hex2HexNAc2dHex1,Galβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-6)GalNAcol,3.3,1.5,0.7,0.5,1.1,2.9,0.7,5.5,5.5,3.4,0.1,0.0,0.0,0.3,0.6,1.8,1.5
895-6,Hex2HexNAc2dHex1,Fucα1-2Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,4.7,3.9,4.3,0.8,2.8,8.7,1.1,9.2,11.4,7.9,1.5,5.8,0.0,1.1,0.6,5.6,3.8
936-1,Hex1HexNAc3dHex1,Fucα1-2(GalNAcα1-3)Galβ1-4GlcNAcβ1-3GalNAcol,0.0,1.6,0.0,0.0,0.0,0.2,0.0,0.6,0.6,0.0,0.0,1.5,0.0,0.4,0.0,0.0,0.0
936-2,Hex1HexNAc3dHex1,Fucα1-2(GalNAcα1-3)Galβ1-3(GlcNAcβ1-6)GalNAcol,0.0,0.7,0.0,0.2,0.0,0.1,0.0,0.3,0.0,0.0,0.0,2.4,0.0,1.2,0.2,0.0,0.0
936-3,Hex1HexNAc3dHex1,GlcNAcβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
936-4,Hex1HexNAc3dHex1,Fucα1-2Galβ1-3(GalNAcβ1-4GlcNAcβ1-6)GalNAcol [e],5.6,0.0,0.0,0.0,0.0,3.7,0.3,1.1,1.6,0.0,0.2,0.0,0.0,2.5,1.2,7.9,2.4
952-1,Hex2HexNAc3,"Galβ1-3(HexNAc1-4Galβ1-4GlcNAcb1,6)GalNAcol",0.1,0.2,0.0,0.0,0.0,0.4,0.3,1.6,0.8,3.2,0.1,0.0,0.0,0.0,0.1,0.7,0.3
952-2,Hex2HexNAc3,Galβ1-4GlcNAcβ1-3(GlcNAcβ1-6)Galβ1-3GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
952-3,Hex2HexNAc3,GlcNAcα1-4Galβ1-4GlcNAcβ1-3Galβ1-3GalNAcol [e],0.2,0.6,0.0,0.5,0.7,0.4,0.2,0.0,0.0,0.0,0.0,4.7,0.0,1.0,0.1,0.0,0.2
952-4,Hex2HexNAc3,HexNAc1-4Galβ1-3Gal(Galβ1-4GlcNAcβ1-6)GalNAcol,0.1,0.3,0.7,0.2,0.4,1.4,0.2,0.0,0.0,0.0,0.1,2.1,0.0,0.0,0.0,0.0,0.2
952-5,Hex2HexNAc3,HexNAc1-3Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.5,0.7,1.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0
952-6,Hex2HexNAc3,Galβ1-3(HexNAc-Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
958,NeuAc1Hex1HexNAc2Sul1,NeuAcα2-3Galβ1-3(6S-GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
966,NeuAc2Hex1HexNAc1,NeuAcα2-3Galβ1-3(NeuAcα2-6)GalNAcol,0.8,0.6,1.6,2.8,1.4,0.2,1.2,0.0,0.0,1.1,0.5,0.0,0.0,0.0,0.4,0.8,1.2
