Name,Composition [a],Supposed structures [a],P1TS [b],P1TI,P3TS,P2TS,P4TS,P4TI,P6TA-FS,P6TA-FG,P6TA-AS,P6TA-AG,P5TA-AS,P5TA-AG,P7TA-AS,P7TA-AG,P8H,P9H,P10H
1187,Hex2HexNAc2dHex3,Fucα1-2Galβ1-3[Fucα1-2Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0
1203-1,Hex3HexNAc2dHex2,Galβ1-3[Galα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ1-6]GalNAcol,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2
1203-2,Hex3HexNAc2dHex2,Galα1-3(Fucα1-2)Galβ1-3[Galβ1-4(Fucα1-3)GlcNAcβ1-6]GalNAcol,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.2,0.3
1203-3,Hex3HexNAc2dHex2,Galα1-3(Fucα1-2)Gal(Fuc)GlcNAc-Galβ1-3GalNAcol,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3
1203-4,Hex3HexNAc2dHex2,Galα1-3(Fucα1-2)Galβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-6)GalNAcol,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1203-5,Hex3HexNAc2dHex2,Fucα1-2Galβ1-3[Galα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-6]GalNAcol,0.0,2.8,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,2.4,3.2,0.0,2.2,0.4,14.1,2.0
1235-1,Hex2HexNAc4Sul1,Galβ1-4GlcNAcβ1-3Galβ1-3[GalNAcβ1-4(6S)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1235-2,Hex2HexNAc4Sul1,GlcNAcβ1-3[HexNAc-Galβ1-4(6S)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1243-1,NeuAc1Hex2HexNAc3,NeuAcα2-3Galβ1-3[HexNAc1-4Galβ1-4GlcNAcβ1-6]GalNAcol,0.9,0.0,0.0,0.0,0.0,1.0,0.9,1.2,0.7,2.6,0.1,0.0,0.0,0.0,0.9,1.7,0.3
1243-2,NeuAc1Hex2HexNAc3,NeuAcα2-3Galβ1-4GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1244-1,Hex2HexNAc3dHex2,Galβ1-3[GalNAcα1-3(Fucα1-2)Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
1244-2,Hex2HexNAc3dHex2,GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAc(Fucα1-2)Galβ1-3GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
1244-3,Hex2HexNAc3dHex2,GalNAcα1-3(Fucα1-2)Galβ1-3[Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0
1244-4,Hex2HexNAc3dHex2,HexNAc1-4Galβ1-3[Fucα1-2Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
1244-5,Hex2HexNAc3dHex2,GalNAcα1-3(Fucα1-2)Galβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.8,0.9,0.0,0.0,0.0,0.0,0.6,0.5,0.4,0.0
1244-6,Hex2HexNAc3dHex2,Fucα1-2Galβ1-3[GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-6]GalNAcol,0.1,2.3,0.0,0.3,0.7,8.6,0.6,6.0,7.7,0.0,0.3,2.2,0.0,20.9,3.9,1.0,0.0
1244-7,Hex2HexNAc3dHex2,Fucα1-2Galβ1-3[GalNAcα1-3(Fucα1-2)Galβ1-3GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1260-1,Hex3HexNAc3dHex1,Gal(Fuc)GlcNAc-Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.4,0.1
1260-2,Hex3HexNAc3dHex1,Gal(Fuc)GlcNAc-Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3
1260-3,Hex3HexNAc3dHex1,HexNAc1-4Galβ1-3[Galα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
1260-4,Hex3HexNAc3dHex1,Galβ1-3[Fuc(Gal)GlcNAc-Galβ1-4GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0
1260-5,Hex3HexNAc3dHex1,Gal-GlcNAc-Galβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-6)GalNAcol,0.3,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
1260-6,Hex3HexNAc3dHex1,Galβ1-3(Fucα1-2Gal-GlcNAc-Galβ1-4GlcNAcβ1-6)GalNAcol,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1260-7,Hex3HexNAc3dHex1,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-3GalNAcol,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1266-1,NeuAc1Hex2HexNAc2dHex1Sul1,NeuAc+Fuc+Galβ1-3[Galβ1-4(6S)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1266-2,NeuAc1Hex2HexNAc2dHex1Sul1,NeuAc+Fuc+Galβ1-3[Galβ1-4(6S)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.3
1301-1,Hex2HexNAc4dHex1,Gal(Fuc)GlcNAcβ1-3(HexNAc-Gal-GlcNAcβ1-6)GalNAcol,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1301-2,Hex2HexNAc4dHex1,HexNAc-Galβ1-3[GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1301-3,Hex2HexNAc4dHex1,HexNAc-Galβ1-3[GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-6]GalNAcol,0.2,0.5,0.0,0.7,1.1,0.0,0.1,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2
1301-4,Hex2HexNAc4dHex1,GalNAcα1-3(Fucα1-2)Galβ1-3(HexNAc-Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.2,1.2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0
1301-5,Hex2HexNAc4dHex1,GalNAcα1-3(Fucα1-2)Galβ1-3(HexNAc-Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317-1,Hex3HexNAc4,"HexNAc-Galβ1-4GlcNAcβ1-3Galb1,3(Galβ1-4GlcNAcb1,6)GalNAcol",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0
1317-2,Hex3HexNAc4,Galβ1-3(HexNAc-Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.3,0.4,0.0,0.7,0.0,2.3,0.0,2.3,0.0,0.0,0.0,0.0,0.0
1317-3,Hex3HexNAc4,Galβ1-4GlcNAcβ1-3(GlcNAcβ1-6)Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0
1317-4,Hex3HexNAc4,Gal-GlcNAcβ1-3(Gal-GlcNAc-Gal-GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1331,NeuAc2Hex2HexNAc2,NeuAcα2-3Galβ1-3(NeuAcα2-3Galβ1-4GlcNAcβ1-6)GalNAcol,0.2,0.0,13.2,5.5,0.0,0.0,0.5,0.0,1.8,0.8,1.4,0.0,9.4,0.0,0.2,0.0,3.4
1332-1,NeuAc1Hex2HexNAc2dHex2,Fucα1-2Galβ1-3[NeuAcα2-3Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1332-2,NeuAc1Hex2HexNAc2dHex2,NeuAcα2-3Galβ1-3[Fucα1-2Gal-(Fuc)GlcNAcβ1-6]GalNAcol,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1332-3,NeuAc1Hex2HexNAc2dHex2,Fucα1-2Galβ1-3[NeuAcα2-3Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.1,1.9,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,1.3
1340-1,Hex3HexNAc3dHex1Sul1,Fucα1-2Galβ1-3[Galβ1-4GlcNAcβ1-3Galβ1-4(6S)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1340-2,Hex3HexNAc3dHex1Sul1,Galβ1-3[Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4(6S)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1348,NeuAc1Hex3HexNAc2dHex1,Galα1-3(Fucα1-2)Galβ1-3(NeuAcα2-3Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3
1349,Hex3HexNAc2dHex3,Fucα1-2Galβ1-3[Galα1-3(Fucα1-2)Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2
1365,Hex4HexNAc2dHex2,Galα1-3(Fucα1-2)Galβ1-3[Galα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-6]GalNAcol,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.6
1389-1,NeuAc1Hex2HexNAc3dHex1,NeuAcα2-3Galβ1-3[GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
1389-2,NeuAc1Hex2HexNAc3dHex1,GlcNAcα1-4Galβ1-3[NeuAcα2-3Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1
1389-3,NeuAc1Hex2HexNAc3dHex1,Fucα1-2Galβ1-4GlcNAcβ1-3(NeuAcα2-3Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
1390,Hex2HexNAc3dHex3,GalNAcα1-3(Fucα1-2)Galβ1-3[Fucα1-2Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0
1397,Hex3HexNAc4Sul1,HexNAc1-4Galβ1-3[Galβ1-4GlcNAcβ1-3Galβ1-4(6S)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1405,NeuAc1Hex3HexNAc3,NeuAcα2-3Galβ1-3[Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1406-1,Hex3HexNAc3dHex2,Gal(Fuc)GlcNAcβ1-3Galβ1-3[Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.7,0.0
1406-2,Hex3HexNAc3dHex2,GalNAcα1-3(Fucα1-2)Galβ1-3[Galα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-6]GalNAcol,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.4,0.0,1.3,0.0,0.0,0.3
1406-3,Hex3HexNAc3dHex2,Galα1-3(Fucα1-2)Galβ1-3[GalNAcα1-3(Fucα1-2)Gal-GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1406-4,Hex3HexNAc3dHex2,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-3[Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.1,0.0,0.0,0.1,0.3,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1406-5,Hex3HexNAc3dHex2,Fucα1-2Gal-GlcNAc-Galβ1-3(Fucα1-2Gal-GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1406-6,Hex3HexNAc3dHex2,Fucα1-2Gal(Fuc)GlcNAc-Galβ1-3(Gal-GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1406-7,Hex3HexNAc3dHex2,Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-3[Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0
1406-8,Hex3HexNAc3dHex2,Fucα1-2Galβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0
1406-9,Hex3HexNAc3dHex2,Fucα1-2Galβ1-4GlcNAcβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-6)Galβ1-3GalNAcol,0.0,0.1,0.0,0.0,0.4,0.6,0.0,0.5,0.9,0.8,0.0,0.0,0.0,0.0,0.6,0.0,0.3
1411,NeuAc2Hex2HexNAc2Sul1,NeuAcα2-3Galβ1-3[NeuAcα2-3Galβ1-4(6S)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1412,NeuAc1Hex2HexNAc2dHex2Sul1,Fucα1-2Gaβ1-3[NeuAcα2-3Gal(Fuc)(6S)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
1447,Hex2HexNAc4dHex2,"GalNAcα1,3(Fucα1,2)Galβ1,3[GalNAcα1,3(Fucα1,2)Galβ1,4GlcNAcβ1,6]GalNAcol",0.0,1.5,0.0,0.2,0.4,3.8,0.1,1.6,1.1,0.4,0.0,1.2,0.0,7.4,0.3,0.0,0.0
1463-1,Hex3HexNAc4dHex1,Gal(Fuc)GlcNAcβ1-3Galβ1-3[HexNAc1-4Galβ1-4GlcNAcβ1-6]GalNAcol,0.0,0.6,0.0,0.0,0.3,0.0,0.0,0.6,0.0,0.7,0.0,0.0,0.0,0.6,0.0,0.7,0.0
1463-2,Hex3HexNAc4dHex1,HexNAc1-4Galβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1477-1,NeuAc2Hex2HexNAc2dHex1,NeuAcα2-3Galβ1-3[NeuAcα2-3Galβ1-4(Fucα1-3)GlcNAcβ1-6]GalNAcol,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,4.1
1477-2,NeuAc2Hex2HexNAc2dHex1,NeuAcα2-3Galβ1-3[NeuAcα2-3Galβ1-3(Fucα1-4)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,1.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1479-1,Hex4HexNAc4,Galβ1-4GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,2.1,1.0,0.9,0.0,1.0,0.5,0.0,0.8,0.0,0.0,0.0,0.0,0.5,0.1,0.0
1479-2,Hex4HexNAc4,Galβ1-4GlcNAcβ1-3Galβ1-3(Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,3.6,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
1479-3,Hex4HexNAc4,Galβ1-3(Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
1479-4,Hex4HexNAc4,Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-3GalNAcol,0.0,0.0,8.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
1494,NeuAc1Hex3HexNAc2dHex2,Galα1-3(Fucα1-2)Galβ1-3[NeuAcα2-3Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2
1511,Hex4HexNAc2dHex3,Galα1-3(Fucα1-2)Galβ1-3[Galα1-3(Fucα1-2)Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2
1520-1,Hex3HexNAc5,HexNAc1-4Galβ1-3(HexNAc1-4Gal-GlcNAc-Gal-GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0
1520-2,Hex3HexNAc5,HexNAc1-4Gal-GlcNAc-Galβ1-3(HexNAc1-4Gal-GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.1,0.0
1534,NeuAc2Hex2HexNAc3,NeuAcα2-3Galβ1-4GlcNAcβ1-3(NeuAcα2-3Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1535,NeuAc1Hex2HexNAc3dHex2,NeuAcα2-3Galβ1-3[GalNAcα1-3(Fucα1-2)Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1
1543,Hex3HexNAc4dHex1Sul1,HexNAc1-4Galβ1-3[Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-4(6S)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1551-1,NeuAc1Hex3HexNAc3dHex1,Gal(Fuc)GlcNAc-Galβ1-3(NeuAcα2-3Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1551-2,NeuAc1Hex3HexNAc3dHex1,NeuAcα2-3Galβ1-3(Fucα1-2Gal-GlcNAc-Gal-GlcNAcβ1-6)GalNAcol,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
1552-1,Hex3HexNAc3dHex3,Fucα1-2Galβ1-3[Fuc(Gal)GlcNAc-Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1552-2,Hex3HexNAc3dHex3,Fucα1-2(GalNAcα1-3)Galβ1-3[Fucα1-2(Galα1-3)Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1552-3,Hex3HexNAc3dHex3,Fuc(Gal)GlcNAcβ1-3Galβ1-3[Fucα1-2Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
1552-4,Hex3HexNAc3dHex3,Fucα1-2Galβ1-4GlcNAcβ1-3(Fucα1-2)Galβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-6)GalNAcol,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1552-5,Hex3HexNAc3dHex3,Fucα1-2Galβ1-3[Fucα1-2Galβ1-4GlcNAcβ1-3(Fucα1-2)Galβ1-4GlcNAcβ1-6]GalNAcol,1.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6
1557,NeuAc2Hex2HexNAc2dHex1Sul1,NeuAcα2-3Galβ1-3[NeuAcα2-3Galβ1-4(Fucα1-3)(6S)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1559,Hex4HexNAc4Sul1,Galβ1-3[Gal-GlcNAc-Gal-GlcNAc-Gal-(6S)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1568-1,Hex4HexNAc3dHex2,Fucα1-2Gal-GlcNAcβ1-3Galβ1-3[Galα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
1568-2,Hex4HexNAc3dHex2,Fucα1-2Gal-GlcNAcβ1-3Galβ1-3[Galα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1568-3,Hex4HexNAc3dHex2,Galα1-3(Fucα1-2)Galβ1-3[Fucα1-2Gal-GlcNAc-Gal-GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
1593,Hex2HexNAc4dHex3,GalNAcα1-3(Fucα1-2)Galβ1-3[GalNAcα1-3(Fucα1-2)Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0
1609-1,Hex3HexNAc4dHex2,Gal(Fuc)GlcNAcβ1-3[Gal(Fuc)GlcNAcβ1-6]Galβ1-3(GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
1609-2,Hex3HexNAc4dHex2,Gal(Fuc)GlcNAcβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-6)Galβ1-3(GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
1609-3,Hex3HexNAc4dHex2,HexNAc-Galβ1-3[Fucα1-2Gal(Fuc)GlcNAc-Gal-GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
