,P1TS,P1TI,P3TS,P2TS,P4TS,P4TI,P6TA_FS,P6TA_FG,P6TA_AS,P6TA_AG,P5TA_AS,P5TA_AG,P7TA_AS,P7TA_AG,P8H,P9H,P10H
L27130,0.005092544,0.002272778,0.020909445,0.024264102,0.044209107,0.016788996,0.015679143,0.067307029,0.022621087,0.106916978,0,0.054913704,0,0.008685932,0.022409433,0.01141814,0.010499674
L27131,0.016409402,0.018295506,0.013730643,0.019156214,0.03477209,0.016914006,0.015925598,0.045698375,0.025945367,0.08675878,0.003675098,0.022135607,0,0.01610275,0.013414841,0.037011847,0.011667042
L27132,0.056009942,0.004869703,0,0,0,0.046533519,0.003419974,0.011195025,0.016299551,0,0.002205887,0,0,0.035983092,0.012526529,0.07937864,0.023861782
L27133,0,0.001742357,0,0.000856392,0,0,0,0.003198689,0.004129252,0,0,0,0,0,0.001836154,0,0
L27134,0,0.094460697,0,0.006360583,0.005706721,0.06563718,0.001529859,0.047886302,0.026568,0.008485581,0.003830978,0.100063315,0,0.202548821,0.013627426,0.003641931,0.002971849
L27135,0,0.016437135,0,0.000387189,0,0.001995358,0,0.005683769,0.006076303,0,0,0.015139415,0,0.003657598,0,0,0
L27136,0.596790123,0.252838484,0.138050531,0.044986623,0.109361766,0.545223068,0.058423668,0.330751546,0.488710638,0.208705478,0.071552928,0.227950917,0.153806348,0.46649929,0.293710775,0.577163491,0.286864966
L27137,0.604884714,0.232653403,0.078605089,0.071479009,0.132211919,0.485405529,0.057647501,0.307661047,0.456186215,0.150791702,0.046249636,0.190535001,0.153806348,0.422089101,0.319097001,0.542013589,0.247199259
L27138,0.021088978,0.01337414,0.004243414,0.012809782,0.036804185,0.019175412,0.00434661,0.044191683,0.025434368,0.007534451,0,0,0,0.005656609,0.041116866,0.012048575,0.012216871
L27139,0.009741929,0.004400259,0,0,0,0.00259113,0.001223727,0.009474482,0.007973344,0,0.000441514,0,0,0.001963902,0.001796406,0.002512559,0.001699133
L27140,0,0.008204295,0,0,0,0,0,0,0,0,0.001539596,0,0,0,0,0,0.004415012
L27142,0.005490033,0,0,0,0,0,0.013422455,0.013637091,0,0,0.007638184,0,0,0.015164603,0.004795509,0.005526367,0.022830992
L27144,0.003654507,0.001381146,0,0.009211266,0.025504678,0.012395509,0.001626831,0.025356759,0.022621087,0.007534451,0,0,0,0,0.02242724,0.004235856,0.008775651
L27146,0.003654507,0.002272778,0.020909445,0.024264102,0.044209107,0.016788996,0.013872699,0.056701083,0.022621087,0.049835367,0,0.015902934,0,0.004880108,0.020520687,0.007408853,0.010499674
L27147,0.005475323,0.002738183,0.020909445,0.029303067,0.050913838,0.016788996,0.016438249,0.056701083,0.022621087,0.113050285,0,0.015902934,0,0.008715494,0.029993798,0.013198793,0.011813514
L27149,0.016107285,0.008412858,0.057133667,0.029754006,0.052128794,0.017367384,0.024459882,0.078096586,0.016255885,0.099382527,0,0.045833328,0,0.016872035,0.04315547,0.012925682,0.007359495
L27150,0.010584668,0.003458417,0.020909445,0.029303067,0.046598217,0.0144056,0.033854841,0.086729173,0.013442604,0.225056913,0,0.035389611,0,0.018652302,0.037569507,0.036557254,0.010561167
L27152,0.009288792,0.006790094,0.056281358,0.007415966,0.011461642,0.012801114,0.055368004,0.0459303,0.014699587,0.094079142,0.002225583,0.028917826,0,0.017996531,0.046127846,0.030789331,0.010241578
L27153,0.008443029,0.002101379,0,0,0,0.003818118,0.025624802,0.034141632,0,0.052351689,0.007638184,0,0,0.021295587,0.010193493,0.026867432,0.024718825
L27155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007540441,0,0
L27159,0.003671308,0.002101379,0,0,0,0.003818118,0.024362078,0.028830533,0,0.062459467,0,0,0,0.006130984,0.014659351,0.025628694,0.001887833
L27163,0.005634285,0.023023891,0.056281358,0.005634374,0.008189413,0.009931793,0.056306724,0.044051876,0.005019519,0.164081676,0.002563833,0.040298696,0,0.031304217,0.033957006,0.047908814,0.02055214
L27169,0,0.002101379,0,0,0,0,0.016570658,0.005666836,0,0.018513341,0,0,0,0,0.008030986,0.01923745,0
L27170,0,0,0,0,0,0,0.016570658,0,0,0.006208487,0,0,0,0,0.008030986,0.01923745,0
L27173,0.000718312,0.006040885,0,0,0.003323563,0,0.02177407,0.014554337,0,0.086318799,0.002225583,0,0,0.02179362,0.022441442,0.039173293,0.007195726
L27174,0.000718312,0,0,0,0,0,0.01920852,0.008325993,0,0.016316265,0,0,0,0,0.012968331,0.01923745,0
L27179,0.003461747,0,0,0,0,0.003818118,0.005153559,0.014837704,0,0.033838348,0,0,0,0.006130984,0,0.006391244,0.001887833
L27184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00180053
L27189,0.001438037,0,0,0.00433544,0.007591916,0.004393487,0.004220239,0.032693118,0,0.0914232,0,0.015902934,0,0.008685932,0.001888746,0.005754771,0.001724023
L27194,0,0,0,0,0,0,0.002565551,0,0,0.063214919,0,0,0,0.003835386,0.009473111,0.005789939,0.00131384
L27195,0,0,0,0,0,0,0.002565551,0,0,0.063214919,0,0,0,0.003835386,0.009473111,0.005789939,0.00131384
L27196,0,0,0,0.00433544,0.007591916,0,0.002565551,0.005835078,0,0.063214919,0,0,0,0.00757931,0.00183237,0.005789939,0.003037862
L27197,0.008199052,0,0.221253697,0.008277108,0,0,0.026882485,0,0,0,0,0,0,0,0.011631667,0,0.010614167
L27201,0.0257916,0.002503845,0,0,0.006411125,0.009589124,0.001034628,0.004909017,0.00530685,0,0,0,0,0,0.004341943,0.007614129,0.016133709
L27204,0.003349225,0.002442111,0,0,0,0.004303243,0.043783973,0.011376666,0,0.005990738,0.001047658,0,0,0.026345791,0.018830203,0.020673028,0.01384421
L27205,0,0.002442111,0,0,0,0,0.017209982,0.005121156,0,0,0.001047658,0,0,0.025703479,0.002013707,0.01679382,0.00544728
L27206,0.001467159,0,0,0,0,0,0,0,0,0,0.006596947,0,0,0,0,0,0.014887781
L27209,0.003302685,0,0,0,0,0,0,0,0,0,0.006596947,0,0,0,0,0,0.01740612
L27210,0,0,0,0,0,0,0.00266378,0,0,0,0.007638184,0,0,0.009441829,0.001991557,0,0.018920536
L27212,0,0,0,0,0,0,0,0,0,0,0.007638184,0,0,0,0,0,0.018920536
L27219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002147492,0,0
L27222,0,0,0,0,0.003639971,0,0.019206065,0,0,0,0,0,0,0,0.009788153,0,0
L27223,0,0.009094066,0,0.002898428,0.009936965,0.007083121,0,0.022413351,0,0,0,0,0,0.005656609,0.000856144,0,0
L27226,3.93E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00165603,0,9.24E-08
L27228,3.93E-08,0,0,0,0,0,0,0,0,0,0,0,0,0.00326356,0.00165603,0,9.24E-08
L27229,3.93E-08,0,0,0,0,0,0,0,0,0,0,0,0,0.002550573,0.00219644,0,9.24E-08
L27230,3.93E-08,0,0,0,0,0,0,0,0,0,0,0,0,0.00326356,0.00165603,0,9.24E-08
L27231,0.005691311,0.004518584,0,0.007259874,0.015753972,0.02201342,0.024626858,0.0128381,0.006065753,0.005990738,0,0.01565593,0,0.005234362,0.017875873,0.003879208,0.007300949
L27233,0,0.008073517,0,0,0,0,0,0,0,0,0.00033825,0.011380869,0,0.003379613,0,0,0.00118442
L27242,0,0.000745242,0,0.001781593,0.006595792,0.002869322,0.009576311,0.008106768,0.009680068,0,0.002225583,0,0,0.011865547,0.02597749,0.013100772,0.004081355
L27248,0.00070397,0.002442111,0,0,0,0,0.012421284,0.00625551,0,0.005990738,0.001047658,0,0,0.016793423,0.006605055,0.014842737,0.013844117
L27249,0,0.032563087,0,0,0,0.026062635,0,0,0,0,0.004621665,0.06305225,0,0,0,0.017904457,0.01614253
L27250,0.001467159,0.032563087,0,0,0,0.00709508,0,0.001510318,0,0,0.005851158,0.040158386,0,0.110510239,0,0.011867921,0.020845482
L27251,0,0.006159793,0,0,0,0,0,0,0,0,0.001969919,0,0,0,0,0,0.008003549
L27255,0.00095067,0.02306219,0,0,0.011243495,0,0,0.007223038,0,0,0.062963814,0,0,0.161402168,0,0,0.029666023
L27256,0.00095067,0.02306219,0,0,0.011243495,0.018967555,0,0.007223038,0,0,0.062963814,0.022893864,0,0.161402168,0.002803952,0.011293387,0.031803186
L27258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001832486
L27263,0.022979708,0.000754822,0,0,0,0.009589124,0,0,0,0,0,0,0,0,0.001796406,0.001257635,0.005519541
L27268,0,0.002864636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001773344
L27274,0,0,0,0,0,0,0.005053358,0,0,0,0,0,0,0,0.001669654,0,0
L27277,0.044574578,0.040942737,0.145915604,0.177280088,0.006618618,0.02847716,0.044942945,0.026944968,0.049871509,0.073958711,0.145920098,0,0.215283492,0,0.042871554,0.026830314,0.100693659
L27279,0,0.001572021,0,0,0,0,0,0,0,0,0.001229493,0,0,0.047325761,0,0,0.002813547
L27284,0.006370468,0.083338916,0.160263539,0.070655785,0.017347373,0.003621357,0.019435485,0.002696078,0.027527237,0.019555583,0.257297832,0,0.093511727,0,0.017859481,0.006051505,0.169558532
L27291,0.001820816,0.000465405,0,0.005038965,0.006704731,0,0,0,0,0,0,0,0,0,0,0,0
L27299,0,0.001572021,0,0.001704946,0,0,0,0,0,0,0,0,0,0,0,0,0
L27300,0,0.001572021,0.004075797,0,0.006457218,0,0.000769938,0,0,0,0,0,0,0,0,0,0
L27304,0.00186476,0.013199234,0,0,0,0,0.00191834,0,0,0,0.009072456,0,0,0.00146014,0.000983193,0.003117934,0.021545905
L27316,0,0,0,0,0.007433602,0,0,0,0,0,0,0,0,0,0,0,0
L27317,0,0,0,0,0.013186171,0,0,0,0,0,0,0,0,0,0,0,0
L27322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006820978
L27323,0,0,0,0,0,0,0.005359916,0.005121156,0,0,0,0,0,0.007001795,0,0.001248324,0
L27325,0,0,0,0,0,0,0,0.013637091,0,0,0,0,0,0.005722774,0,0.004851483,0
L27326,0,0,0,0,0,0,0,0.013637091,0,0,0.001350927,0,0,0.010221432,0,0.004851483,0.001021635
L27329,0.00095067,0.018522156,0,0,0.011243495,0,0,0,0,0,0.049475628,0,0,0,0,0,0.018318908
L27337,0.000736571,0.064369359,0,0,0.001973046,0.003621357,0.012254253,0,0,0.00801692,0.181979991,0,0,0.00146014,0.004412696,0.008494555,0.081643357
L27338,0.011997901,0.016949368,0.035835161,0.034193643,0.064356755,0.003003208,0.005245956,0.021231199,0.025758587,0.021436363,0.002857209,0.059722526,0,0.014522964,0.008347211,0.005729284,0.009348905
L27340,0,0,0,0,0,0,0,0,0,0,0.002477654,0,0,0,0,0,0
L27345,0,0,0,0,0,0,0,0,0,0,0.001350927,0,0,0.004498658,0,0,0.001021635
L27348,0,0,0,0,0.002724645,0.004174287,0,0.006846761,0,0.023409436,0,0.023257208,0,0,0,0,0
L27356,0.000391033,0.000584395,0,0.001371178,0,0,0,0,0,0,0,0,0,0.00592858,0.000870388,0,0
L27362,0,0,0,0,0.003593363,0,0,0,0,0,0,0,0,0,0,0,0
L27367,0,0.001456273,0,0,0,0,0,0,0,0,0.001403553,0,0,0,0,0,0.00199619
L27372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002245048
L27373,0.002199038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L27374,0.009571696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005955415,0
L27377,0,0,0,0,0.00459343,0,0,0,0,0,0,0,0,0,0,0,0
L27378,0.001627301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L27379,0,0,0,0.004122684,0.003134684,0,0,0,0,0,0,0,0,0,0,0,0
L27380,0.00114657,0.002927392,0.006668421,0.002544619,0.003510924,0.013667557,0.001695757,0,0,0,0.000661156,0.020811727,0,0,0,0,0.001823987
L27381,0.003654507,0.002272778,0,0.009211266,0.027629131,0.012395509,0.001626831,0.025356759,0.022621087,0.007534451,0,0,0,0,0.015642643,0.004235856,0.008775651
L27384,0.003654507,0.001381146,0,0.009211266,0.025504678,0.012395509,0.001626831,0.025356759,0.022621087,0.007534451,0,0,0,0,0.02242724,0.004235856,0.008775651
L27386,0.014669249,0.008412858,0,0.009211266,0.026984413,0.012973898,0.002661458,0.033797195,0.016255885,0,0,0,0,0.005656609,0.032287744,0.005743302,0.005635472
L27387,0.005490033,0,0,0,0,0,0.012652516,0.013637091,0,0,0.007638184,0,0,0.015164603,0.002803952,0.005526367,0.022830992
L27388,0.003654507,0.002272778,0.020909445,0.024264102,0.044209107,0.016788996,0.013872699,0.056701083,0.022621087,0.049835367,0,0.015902934,0,0.004880108,0.020520687,0.007408853,0.010499674
L27389,0.005092544,0.000891632,0.020909445,0.024264102,0.039893486,0.010587481,0.015679143,0.057898641,0.013442604,0.099382527,0,0.035389611,0,0.008685932,0.016092196,0.01141814,0.007359495
L27390,0.005475323,0.001357037,0.020909445,0.029303067,0.046598217,0.010587481,0.016438249,0.051746679,0.013442604,0.105515834,0,0.015902934,0,0.008715494,0.023676562,0.013198793,0.008673334
L27393,0.007325815,0.002101379,0,0.001781593,0.005207606,0.003818118,0.025988909,0.030950213,0.006866787,0.062459467,0,0,0,0.006130984,0.017860876,0.0216238,0.003279951
L27396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003369406,0,0
L27397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00356307,0,0
L27401,0,0.010938153,0,0,0,0,0,0,0,0,0.00033825,0.011380869,0,0.003379613,0.007540441,0,0.00858831
L27404,0.003671308,0.002101379,0,0,0,0.003818118,0.026927629,0.028830533,0,0.125674386,0,0,0,0.00996637,0.024132462,0.031418633,0.003201673
L27405,0.005109345,0.002101379,0,0,0,0.003818118,0.026168522,0.034982495,0,0.119541078,0,0,0,0.009936808,0.016548097,0.029637981,0.001887833
L27411,0.005634285,0.006044852,0.056281358,0.005634374,0.00486585,0.009931793,0.053741174,0.037823532,0.005019519,0.094079142,0.002225583,0.028917826,0,0.017996531,0.022805508,0.030789331,0.00884946
L27416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00187205,0,0
L27425,0.000718312,0,0,0,0,0,0.01920852,0.008325993,0,0.016316265,0.002225583,0,0,0.011865547,0.011289945,0.022053809,0.004081355
L27428,0.000718312,0,0,0,0,0,0.02177407,0.008325993,0,0.079531183,0,0,0,0.003835386,0.022441442,0.025027389,0.00131384
L27429,0.000929285,0.002101379,0,0,0,0,0.018377102,0.011818798,0,0.075594952,0,0,0,0.003805825,0.009919732,0.023246737,0
L27439,0,0.016979038,0,0,0.003323563,0,0.002565551,0.006228344,0,0.070002534,0.00033825,0.011380869,0,0.013307686,0.00768179,0.01311459,0.01170268
L27440,0,0.006040885,0,0,0.003323563,0,0.002565551,0.006228344,0,0.070002534,0,0,0,0.009928073,0.00768179,0.01311459,0.00311437
L27441,0,0,0,0,0.001890362,0,0,0.007426233,0,0,0,0,0,0,0.001050709,0.001922961,0.00180053
L27442,0.000733608,0,0,0,0.001890362,0.005151255,0.014152707,0.01001475,0,0,0,0,0,0,0.008677747,0.001922961,0.001800623
L27443,0.000929285,0,0,0,0,0.004393487,0.006785789,0.020161134,0,0.154638119,0,0,0,0.008777394,0.003721116,0.01154471,0.00311437
L27448,0.012452779,0.007667616,0.057133667,0.023636973,0.037941087,0.014498063,0.022833051,0.06415474,0.006575817,0.099382527,0,0.045833328,0,0.01312811,0.019833132,0.012925682,0.004243355
L27449,0.003258853,0.001357037,0.020909445,0.023186034,0.033798695,0.010587481,0.016617863,0.049943882,0.006575817,0.162597445,0,0.035389611,0,0.008777394,0.018894075,0.01720808,0.005557194
L27450,0.001438037,0,0,0,0,0,0.001806444,0.006151962,0,0.057081611,0,0,0,0.003805825,0.001888746,0.004009287,0
L27453,0.001438037,0,0,0.00433544,0.010842322,0.004393487,0.004220239,0.039496222,0,0.0914232,0,0.026346651,0,0.011215426,0.001888746,0.005754866,0.001724023
L27454,0.000929285,0,0,0,0,0,0.001806444,0.006151962,0,0.057081611,0,0,0,0.003805825,0.001888746,0.004009287,0
L27460,0,0,0,0,0,0,0.002565551,0,0,0.063214919,0,0,0,0.003835386,0.00183237,0.005789939,0.00131384
L27461,0,0,0,0,0,0,0.002565551,0,0,0.063214919,0,0,0,0.003835386,0.00183237,0.005789939,0.00131384
L27467,0.007183061,0,0.17861141,0.008277108,0,0,0.026882485,0,0,0,0,0,0,0,0.010738273,0,0.010614167
L27471,0.027082584,0.004375967,0.08024528,0.021918918,0.017528292,0.017569633,0.052378623,0.015077102,0.00530685,0.023409436,0,0.023257208,0,0,0.032032467,0.009186947,0.016133709
L27472,0.006694448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010614167
L27473,0.002569134,0.006159793,0,0,0,0.005151255,0.009186286,0.002588517,0,0,0.001969919,0,0,0.007142623,0.015325422,0.010223596,0.01052198
L27474,0.003349225,0.006159793,0,0,0,0.004303243,0.043783973,0.011376666,0,0.005990738,0.001969919,0,0,0.026345791,0.018830203,0.020673028,0.016400479
L27478,0,0,0,0,0,0,0.011850066,0,0,0,0,0,0,0.00459205,0.002013707,0.005996784,0
L27488,0,0,0,0,0,0,0.00266378,0,0,0,0.007638184,0,0,0.009441829,0,0,0.018920536
L27496,0,0,0,0,0,0,0.005053358,0,0,0,0,0,0,0,0.003817145,0,0
L27507,0.002884011,0.003261314,0.045221058,0.006524011,0.013557905,0.035648676,0.000379295,0.035304863,0.017867767,0.031472148,0.002846066,0.019038563,0,0.050306192,0.004415761,0,0.004418062
L27510,3.93E-08,0,0,0,0.004484393,0.011059537,0.014152707,0,0,0,0,0.01565593,0,0,0.007627038,0,9.24E-08
L27512,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003379613,0,0,0
L27517,0.536275514,0.163015618,0.049755175,0.02782972,0.062559045,0.418606146,0.04335145,0.19238607,0.335666139,0.090580296,0.041003959,0.111273474,0.153806348,0.398356764,0.270262369,0.514112685,0.205221507
L27518,0.003682431,0.073529453,0,0.016076692,0.02323014,0.145980404,0.00831446,0.11943477,0.119976662,0.01965236,0.003805349,0.063945555,0,0.300280362,0.055285375,0.012133357,0.002465431
L27521,0.007448649,0.000754822,0,0,0,0,0,0,0,0,0,0,0,0.003379613,0.001796406,0,0
L27523,0.008467094,0.017424721,0,0.00957021,0.014873669,0.006932036,0,0.005601994,0.006575817,0,0.00033825,0.011380869,0,0.009036222,0.005267737,0.004235856,0.01105832
L27526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007640741,0,0
L27529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007640741,0,0
L27534,0,0,0,0.001781593,0.005207606,0,0.009576311,0.00211968,0.006866787,0,0,0,0,0,0.007535063,0.006279519,0
L27537,0,0,0,0,0,0,0.008751931,0,0,0,0.002225583,0,0,0.011865547,0.002655152,0.013100772,0.004081355
L27538,0,0,0,0,0,0,0.008751931,0,0,0,0.002225583,0,0,0.011865547,0.002655152,0.013100772,0.004081355
L27539,0,0,0,0.00433544,0.007591916,0.004393487,0.002413795,0.026541156,0,0.034341589,0,0.015902934,0,0.004880108,0,0.001745484,0.001724023
L27541,0,0.032563087,0,0,0,0.00709508,0,0,0,0,0.004621665,0.040158386,0,0,0,0.007285954,0.01614253
L27547,0,0.002442111,0,0,0,0,0,0,0,0,0.001047658,0,0,0.014109634,0.002013707,0.010963529,0.00544728
L27549,0,0.002442111,0,0,0,0,0,0,0,0,0.001047658,0,0,0.014109634,0,0.004581966,0.00544728
L27550,0,0,0,0,0,0,0.014152707,0,0,0,0,0,0,0,0.005971008,0,0
L27552,0.001015991,0,0.185046394,0,0,0,0.004487867,0,0,0,0,0,0,0,0.001884867,0,0
L27561,0,0.002181271,0,0,0,0,0,0.001578399,0,0,0,0,0,0,0,0,0
L27562,0,0.077652822,0,0.003942652,0.005706721,0.054581835,0.001529859,0.045039006,0.026568,0.008485581,0.003830978,0.075713738,0,0.111784632,0.009287819,0.003641931,0.002971849
L27579,0,0,0,0,0,0,0.005053358,0,0,0,0,0,0,0,0.001669654,0,0
L27581,0,0.067914814,0,0,0,0.062579233,0,0,0,0,0.031706228,0.082437495,0,0.034364305,0.004329966,0.141913999,0.03749029
L27585,0,0,0,0,0,0,0,0,0,0,0.001229493,0,0,0.047325761,0,0,0.002813547
L27587,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014109634,0,0,0
L27595,0,0.004540034,0,0,0,0,0,0.001510318,0,0,0.001674223,0,0,0.087671169,0,0,0.006074884
L27599,0.015531059,0,0,0,0,0.009589124,0,0,0,0,0,0,0,0,0,0.001257635,0.005519541
L27600,0.02284183,0.003206738,0,0.003535094,0.00262658,0.008622759,0.00431081,0.006926272,0.016089603,0.010275013,0,0,0,0,0.01952708,0.003041482,0.007798393
L27603,0.00070397,0,0,0,0,0,0.009152559,0.00625551,0,0.005990738,0,0,0,0.002683789,0.004591348,0.003879208,0.004835426
L27618,0.004987303,0.004518584,0,0.007259874,0.011269579,0.010953882,0.001321592,0.00658259,0.006065753,0,0,0,0,0.002550573,0.005657487,0,0.002465431
L27620,0,0.004540034,0,0,0,0,0,0,0,0,0,0,0,0.067965426,0.002803952,0,0
L27623,0,0.004540034,0,0,0,0,0,0,0,0,0,0,0,0.067965426,0,0,0
L27628,0,0,0,0,0,0,0,0,0,0,0.002947917,0,0,0,0,0.000674884,0.006811657
L27630,0,0,0,0,0.003639971,0,0,0,0,0,0,0,0,0,0,0,0
L27633,0,0,0,0.019977642,0,0,0,0,0,0,0,0,0,0,0,0,0
L27639,0,0.004540034,0,0,0,0.018967555,0,0,0,0,0.001674223,0.022893864,0,0,0,0.010618503,0.003937721
L27643,0,0,0,0,0.017146933,0,0,0,0,0,0,0,0,0,0,0,0
L27645,0.001467159,0,0,0,0,0,0,0,0,0,0.001229493,0,0,0,0,0,0.002565788
L27646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003765805
L27647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004482231
L27649,0,0,0,0,0,0,0.005359916,0.005121156,0,0,0,0,0,0.007001795,0,0.001248324,0
L27652,0,0,0,0,0,0,0,0,0,0,0.002947917,0,0,0,0,0,0.004674494
L27657,0.00095067,0.018522156,0,0,0.011243495,0,0,0,0,0,0.048124701,0,0,0,0,0,0.017297273
L27661,0.004263148,0,0,0.012848163,0.003625251,0,0,0,0,0,0,0,0,0,0,0,0.009208977
L27662,0.002558821,0.031455888,0.131736495,0.058345652,0,0,0.005452975,0,0.017958502,0.008360597,0.138332473,0,0.093511727,0,0.001942213,0,0.075113812
L27664,0.000416938,0.0606427,0,0,0.001973046,0.003621357,0.010335914,0,0,0.00801692,0.179193371,0,0,0,0.003429502,0.006051505,0.076696746
L27669,0,0,0,0,0,0,0,0,0,0,0.002477654,0,0,0,0,0,0
L27676,0,0,0,0,0,0,0,0,0,0,0.001350927,0,0,0,0,0,0.001021635
L27679,0.00186476,0.013199234,0,0,0,0,0.00191834,0,0,0,0.006124539,0,0,0.00146014,0.000983193,0.00244305,0.014734248
L27683,0.002919416,0.005709683,0,0,0.004804523,0,0.001280578,0.002696078,0.009568734,0.003178065,0.009167293,0,0,0,0.006731549,0,0.022498976
L27685,0,0,0.004075797,0,0.006457218,0,0.000769938,0,0,0,0,0,0,0,0,0,0
L27690,0,0,0.004075797,0,0.006457218,0,0,0,0,0,0,0,0,0,0,0,0
L27693,0.005354041,0.006233325,0.022104517,0.015037429,0.028779821,0,0.00156747,0.009575747,0.015075083,0,0.001371166,0.037586919,0,0.004512901,0.004996844,0,0.003555182
L27695,0.001668914,0,0,0,0,0,0,0.002270474,0.012319622,0.033821472,0,0,0,0,0,0,0
L27697,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004498658,0,0,0
L27699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00592858,0,0,0
L27700,0.000391033,0.000584395,0,0.001371178,0,0,0,0,0,0,0,0,0,0.00592858,0.000870388,0,0
L27703,0.008617322,0,0,0,0,0.010062474,0.008875661,0.011694268,0.007114257,0.026217978,0.001233229,0,0,0,0.008596844,0.017122746,0.002643207
L27704,0,0,0,0,0.002610318,0,0,0,0,0,0,0,0,0,0,0,0
L27711,0,0,0,0,0.002089259,0,0,0,0,0,0,0,0,0,0,0,0
L27712,0.006643861,0.010393469,0.013730643,0.019156214,0.031448527,0.003003208,0.003678486,0.011655451,0.010683504,0.021436363,0.001486042,0.022135607,0,0.010010063,0.003350367,0.005729284,0.005793723
L27713,0,0.004869703,0,0,0,0.009707847,0,0,0,0,0,0,0,0.010573193,0,0,0
L27714,0.000526898,0.001321283,0,0.00684998,0.025680797,0,0,0,0,0,0,0,0.106710954,0,0,0,0
L27716,0.009571696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005955415,0
L27717,0.003654507,0.001381146,0,0.009211266,0.025504678,0.012395509,0.001626831,0.025356759,0.022621087,0.007534451,0,0,0,0,0.014786499,0.004235856,0.008775651
L27718,0.003654507,0.002272778,0,0.009211266,0.027629131,0.012395509,0.001626831,0.025356759,0.022621087,0.007534451,0,0,0,0,0.015642643,0.004235856,0.008775651
L27721,0.003654507,0,0,0.009211266,0.021189056,0.006193994,0.001626831,0.020402354,0.013442604,0,0,0,0,0,0.016110004,0.004235856,0.005635472
L27723,0.003654507,0.000745242,0,0.001781593,0.006595792,0.002869322,0.001626831,0.008106768,0.009680068,0,0,0,0,0,0.023322338,0,0.001392117
L27726,0.003654507,0.000891632,0.020909445,0.024264102,0.039893486,0.010587481,0.013872699,0.051746679,0.013442604,0.042300916,0,0.015902934,0,0.004880108,0.01420345,0.007408853,0.007359495
L27731,0.006607503,0.002101379,0,0,0,0.003818118,0.013774736,0.02050454,0,0.052351689,0,0,0,0.006130984,0.005375834,0.015344281,0.003279951
L27732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001691021,0,0
L27735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007540441,0,0
L27739,0.003671308,0.002101379,0,0,0,0.003818118,0.024362078,0.028830533,0,0.062459467,0,0,0,0.006130984,0.014659351,0.025628694,0.001887833
L27744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001691021,0,0
L27765,0,0.002101379,0,0,0,0,0.016570658,0.005666836,0,0.018513341,0,0,0,0,0.008030986,0.01923745,0
L27766,0,0,0,0,0,0,0.016570658,0,0,0.006208487,0,0,0,0,0.008030986,0.01923745,0
L27768,0.000718312,0,0,0,0,0,0.01920852,0.008325993,0,0.016316265,0,0,0,0,0.012968331,0.01923745,0
L27772,0.002952996,0,0,0,0,0.003818118,0.005153559,0.014837704,0,0.033838348,0,0,0,0.006130984,0,0.006391244,0.001887833
L27776,0.003461747,0,0,0,0,0.003818118,0.005153559,0.014837704,0,0.033838348,0,0,0,0.006130984,0,0.006391244,0.001887833
L27783,0,0,0,0,0,0,0.002565551,0,0,0.063214919,0,0,0,0.003835386,0.00183237,0.005789939,0.00311437
L27784,0,0,0,0,0,0,0.002565551,0,0,0.063214919,0,0,0,0.003835386,0.00183237,0.005789939,0.00311437
L27793,0.001438037,0,0,0,0.003250407,0.004393487,0.004220239,0.033661143,0,0.0914232,0,0.026346651,0,0.007471502,0.001888746,0.005754866,0
L27794,0.001438037,0.000891632,0.020909445,0.018147069,0.027093964,0.010587481,0.014052312,0.049943882,0.006575817,0.099382527,0,0.035389611,0,0.004942008,0.011212285,0.01141814,0.004243355
L27795,0.001438037,0,0,0,0,0,0.001806444,0.006151962,0,0.057081611,0,0,0,0.003805825,0.003567132,0.004009287,0
