,P1TS,P1TI,P3TS,P2TS,P4TS,P4TI,P6TA_FS,P6TA_FG,P6TA_AS,P6TA_AG,P5TA_AS,P5TA_AG,P7TA_AS,P7TA_AG,P8H,P9H,P10H
L26804,0.020378259,0.08349235,0.063072494,0.013351172,0.043617095,0.048318246,0.117171609,0.103360766,0.014699587,0.246612713,0.086874135,0.103350946,0,0.243107331,0.093173207,0.101961411,0.107795381
L26805,0.002905366,0.05798174,0.004075797,0.030422142,0.017940536,0.014083457,0.034579424,0.036221906,0.03310359,0,0.011765487,0.102455887,0,0.003657598,0.019423688,0,0.029498626
L26806,0.898148508,0.622856186,0.312067582,0.219784625,0.472226797,0.832034347,0.124861789,0.694550972,0.859573503,0.397668309,0.249052965,0.536237607,0.716643953,0.906719808,0.5918533,0.822544273,0.558561961
L26807,0.000746016,0.001321283,0,0.043644482,0.085753476,0,0,0,0,0,0.002557747,0,0.202931459,0,0,0,0.002497737
L26808,0.006241664,0.010551218,0.049165773,0.092943165,0.195441667,0,0.002797119,0.002937426,0.012637131,0,0.007410865,0,0.336447184,0.003896883,0.003505325,0,0.007839022
L26809,0,0,0,0.001342643,0.005964961,0,0,0,0,0,0.002477654,0,0,0,0,0,0
L26810,0,0,0,0.001342643,0.00232499,0,0,0,0,0,0.002477654,0,0,0,0,0,0
L26812,0.020889952,0.087367761,0.021602132,0.24228144,0.197735161,0.004633522,0.020139985,0.00982639,0.00461705,0.027005059,0.300870455,0,0,0.008012952,0.024990253,0.025347024,0.083437399
L26813,0.076396643,0.146981038,0.207326431,0.360109639,0.063934862,0.040125565,0.084011294,0.036909435,0.062961151,0.125226143,0.385122471,0,0.215283492,0.001492961,0.074796132,0.053398625,0.3029744
L26814,0.734483687,0.544104305,0.730331599,0.405404798,0.387315956,0.741001439,0.74545656,0.7110395,0.760706163,0.686290308,0.356078547,0.68304334,0.369089841,0.548005103,0.679437168,0.693374161,0.599553965
L26815,0.075400749,0.279917844,0.404155468,0.103192844,0.153344938,0.256906177,0.174435682,0.344400435,0.22057563,0.38454262,0.015791382,0.422899242,0,0.573458877,0.197148445,0.101359364,0.083706419
L26817,0.00114657,0.003482617,0.006668421,0.002544619,0.003510924,0.013667557,0.006749115,0,0,0,0.000661156,0.020811727,0,0,0.005808702,0,0.001823987
L26819,0.00186476,0.12868316,0,0,0,0.088641868,0.00191834,0,0,0,0.045245699,0.145489745,0,0.035824445,0.0056693,0.16293639,0.079576925
L26820,0.006593429,0.041457761,0.006791135,0.006361606,0.032929952,0.002869322,0.052367658,0.058183297,0.009680068,0.18115469,0.084636102,0,0,0.218321593,0.064481052,0.063964774,0.079388678
L26821,0,0,0,0.005246817,0,0,0,0,0,0,0,0,0,0,0,0,0
L26823,0,0,0.021828131,0,0.00459343,0,0,0,0,0,0,0,0,0,0,0,0
L26824,0.015503758,0.008530825,0,0.016257979,0.007483442,0.012088099,0.007824602,0.013308447,0.019004837,0.033821472,0.001435903,0.056050797,0,0,0.004294733,0.005955415,0.013061128
