"estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","fdr","logFC"
"L26801",-0.274910058198594,-0.476636989698052,-0.201726931499458,-2.21317332213045,0.0625043580391739,6.99989979776483,-0.568633496175207,0.0188133797780192,"Welch Two Sample t-test","two.sided",0.481735130125689,-0.397170687699406
"L26802",-0.0498554427105952,-0.0835024934687628,-0.0336470507581676,-1.57230421397594,0.16269576759476,6.56485330102418,-0.12585353646562,0.0261426510444295,"Welch Two Sample t-test","two.sided",0.614496945744916,-0.0720025539388423
"L26805",0.5496207737211,-4.21334215830759,-4.76296293202869,0.473841659832892,0.671890018366783,2.64872516406341,-3.4347941908924,4.5340357383346,"Welch Two Sample t-test","two.sided",0.856235294164168,0.871649424747533
"L26808",1.79935965288905,-3.8802502082431,-5.67960986113215,1.76419211602105,0.123734940314548,6.58673338319956,-0.643418086785568,4.24213739256367,"Welch Two Sample t-test","two.sided",0.553649360922853,3.02418089201269
"L26812",0.211721882144187,-3.04100428606245,-3.25272616820664,0.295755643808609,0.776003316835941,6.99517614115862,-1.4812726655217,1.90471642981007,"Welch Two Sample t-test","two.sided",0.928116248474577,0.312739624753056
"L26817",0.641009494322931,-5.28129533529313,-5.92230482961606,1.0391805675109,0.375166538463852,2.9978233948761,-1.32286140044449,2.60488038909035,"Welch Two Sample t-test","two.sided",0.669037466260369,1.28301421695112
"L26825",0.320471818996175,-5.78813439596886,-6.10860621496503,0.465390131834938,0.657092402878048,6.3902739680844,-1.33986049810732,1.98080413609967,"Welch Two Sample t-test","two.sided",0.844765672285064,0.754039471734884
"L26830",-0.327316243161038,-6.90775527898214,-6.5804390358211,-1,0.422649730810374,2,-1.73564437028922,1.08101188396714,"Welch Two Sample t-test","two.sided",0.669037466260369,-50.6655160251646
"L26838",0.830855612033198,-3.23302425414058,-4.06387986617378,1.91325563575067,0.10216159675097,6.26779465228987,-0.220838293816973,1.88254951788337,"Welch Two Sample t-test","two.sided",0.541697478626631,1.24812508047739
"L26839",-0.282864378992693,-0.491082946092538,-0.208218567099844,-2.20693258441297,0.0631184092728519,6.99332530890683,-0.585998879170363,0.0202701211849759,"Welch Two Sample t-test","two.sided",0.481735130125689,-0.40866870298119
"L26841",0.0402632639814637,-5.75028702411331,-5.79055028809477,0.0522995296510771,0.961223756875616,3.38854650992918,-2.25826146145368,2.33878798941661,"Welch Two Sample t-test","two.sided",0.98717027725482,0.0855127550768711
"L26842",0.468704352536895,-5.9192993789025,-6.38800373143939,0.880620385708847,0.415489231881754,5.47686571153777,-0.86440512473415,1.80181382980794,"Welch Two Sample t-test","two.sided",0.669037466260369,1.30751224152288
"L26843",1.16902830788369,-5.32135487004321,-6.49038317792689,1.273354977751,0.24473655162969,6.7921042596558,-1.01540400881436,3.35346062458173,"Welch Two Sample t-test","two.sided",0.618297046927593,2.9074010809609
"L26844",-0.327492156506324,-0.905376204569098,-0.577884048062774,-1.10112793952926,0.307257593354507,6.99999336971259,-1.03076742214457,0.375783109131926,"Welch Two Sample t-test","two.sided",0.669037466260369,-0.473469757878945
"L26845",1.79628271337866,-3.88332714775349,-5.67960986113215,1.76351912412165,0.123904531198032,6.57940560211897,-0.643839409445801,4.23640483620312,"Welch Two Sample t-test","two.sided",0.553649360922853,3.01951548333062
"L26851",0.126200230238334,-2.4358018375075,-2.56200206774583,0.244632065952134,0.815321066893754,5.69113510050084,-1.15290078523326,1.40530124570993,"Welch Two Sample t-test","two.sided",0.929803024839168,0.184312898325583
"L26852",0.253771531125455,-3.50773712750729,-3.76150865863274,0.401918113687621,0.702590480681178,5.6158045611976,-1.31719791186961,1.82474097412052,"Welch Two Sample t-test","two.sided",0.877557841419686,0.380575802896764
"L26854",-0.226053645741432,-0.698046698423798,-0.471993052682365,-1.61923533233905,0.153957217961755,6.32819806638206,-0.563406331760543,0.111299040277678,"Welch Two Sample t-test","two.sided",0.614496945744916,-0.326714188347874
"L26855",0.403627794918623,-2.07348806720312,-2.47711586212175,1.16262871109959,0.283079175760435,6.99999592968478,-0.417294805627047,1.22455039546429,"Welch Two Sample t-test","two.sided",0.657414138443643,0.588073977842065
"L26858",0.893106793707742,-5.30333390827813,-6.19644070198587,1.98939406714958,0.110548544753522,4.43760413155109,-0.306323616610294,2.09253720402578,"Welch Two Sample t-test","two.sided",0.546267421185169,1.93899529625434
"L26866",-0.428280666284373,-5.50900597618015,-5.08072530989578,-0.404311579987168,0.710295865821759,3.37020789377852,-3.59928494673982,2.74272361417107,"Welch Two Sample t-test","two.sided",0.877557841419686,-0.773906356570002
"L26871",-0.806697226982697,-3.43567545570707,-2.62897822872437,-2.73050814800719,0.0331060199215523,6.18979539236476,-1.52426984739272,-0.0891246065726745,"Welch Two Sample t-test","two.sided",0.471827270207445,-1.18919247170416
"L26872",-1.38500061987369,-4.80243766049306,-3.41743704061938,-2.75079722323273,0.0337368869231336,5.91707948498349,-2.62119498932809,-0.148806250419284,"Welch Two Sample t-test","two.sided",0.471827270207445,-2.1408495003564
"L26878",0.233077404228401,-5.59263301362725,-5.82571041785565,0.331619591260227,0.754225776893915,4.77770150139002,-1.59922464577069,2.06537945422749,"Welch Two Sample t-test","two.sided",0.918739041546213,0.482368284931709
"L26879",0.504378725088923,-6.21420318964174,-6.71858191473066,1.32660987440323,0.235986091225459,5.62059612649587,-0.441376949004175,1.45013439918202,"Welch Two Sample t-test","two.sided",0.618297046927593,2.26477689941294
