"estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","fdr","logFC"
"384",-0.0836178947948757,0.535015195495289,0.618633090290165,-0.205603203064559,0.848064655743156,3.64527616375032,-1.25746860677858,1.09023281718883,"Welch Two Sample t-test","two.sided",0.936117905454544,-0.120702938273235
"425_1",0.0033303823628076,0.0456240839120354,0.0422937015492278,0.0633897985773887,0.952320337798272,4.25979310539607,-0.139096520392284,0.145757285117899,"Welch Two Sample t-test","two.sided",0.97103275335555,0.00480932861646234
"425_2",-0.0854138383923389,0.000954603801197524,0.0863684421935364,-1.97181669693963,0.187269651095544,2.00194382488404,-0.27161996161665,0.100792284831972,"Welch Two Sample t-test","two.sided",0.708818819379898,-0.12334423174589
"513",0.277876459147112,1.15444389882094,0.876567439673831,0.559576229889708,0.59618012114358,5.95235819330544,-0.939581562691686,1.49533448098591,"Welch Two Sample t-test","two.sided",0.830020064670376,0.401036720947559
"530",0.0947046603723816,2.04830347313332,1.95359881276094,0.193420798523886,0.861242343039393,2.50035513677922,-1.65537638378659,1.84478570453135,"Welch Two Sample t-test","two.sided",0.936892008306367,0.13664842654753
"587_1",-0.015374605582632,0.904101588751121,0.919476194333753,-0.0495954532866921,0.962488082612756,4.68718700278089,-0.82852055360387,0.797771342438606,"Welch Two Sample t-test","two.sided",0.97103275335555,-0.0221897832789054
"587_2",0.549816804389711,0.804427140316915,0.254610335927204,2.09935704724308,0.0739630109441755,6.99617152252718,-0.0695415793529712,1.16917518813239,"Welch Two Sample t-test","two.sided",0.708818819379898,0.793691289185723
"587_3",-0.158392541292807,0.186523228566114,0.344915769858921,-0.691389907809753,0.528766169507353,3.84772590301333,-0.804508000403039,0.487722917817424,"Welch Two Sample t-test","two.sided",0.810451527468868,-0.228687641778275
"587_4",0.184119293047317,0.26841804023211,0.0842987471847926,1.26220103029806,0.247743568629617,6.92104641262264,-0.161611526288032,0.529850112382667,"Welch Two Sample t-test","two.sided",0.708818819379898,0.265851174160875
"628",0.00199064352068146,0.0383581688236264,0.0363675253029449,0.0471175407209936,0.965001494017938,3.47290787848944,-0.122675942304972,0.126657229346335,"Welch Two Sample t-test","two.sided",0.97103275335555,0.00287466077291545
