"","start","end","igg","start_name","end_name","truth","Enzyme","truth_bokan","truth_bokan_all","k_2010_group_1.spearman.ppcor","k_2010_group_1.spearman.ppcor.glycan","k_2010_group_1.substrateProduct_ratio","k_2010_group_2.spearman.ppcor","k_2010_group_2.spearman.ppcor.glycan","k_2010_group_2.substrateProduct_ratio","k_2010_group_4.spearman.ppcor","k_2010_group_4.spearman.ppcor.glycan","k_2010_group_4.substrateProduct_ratio","k_2013_group_1.spearman.ppcor","k_2013_group_1.spearman.ppcor.glycan","k_2013_group_1.substrateProduct_ratio","k_2013_group_2.spearman.ppcor","k_2013_group_2.spearman.ppcor.glycan","k_2013_group_2.substrateProduct_ratio","k_2013_group_4.spearman.ppcor","k_2013_group_4.spearman.ppcor.glycan","k_2013_group_4.substrateProduct_ratio","split_group_1.spearman.ppcor","split_group_1.spearman.ppcor.glycan","split_group_1.substrateProduct_ratio","split_group_2.spearman.ppcor","split_group_2.spearman.ppcor.glycan","split_group_2.substrateProduct_ratio","split_group_4.spearman.ppcor","split_group_4.spearman.ppcor.glycan","split_group_4.substrateProduct_ratio","vis_group_1.spearman.ppcor","vis_group_1.spearman.ppcor.glycan","vis_group_1.substrateProduct_ratio","vis_group_2.spearman.ppcor","vis_group_2.spearman.ppcor.glycan","vis_group_2.substrateProduct_ratio","vis_group_4.spearman.ppcor","vis_group_4.spearman.ppcor.glycan","vis_group_4.substrateProduct_ratio"
"1","108","108","1",NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"2","108","108","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"3","108","108",NA,"G0","G0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","108","139","1","G0","G1",1,"B4GALT1",NA,"T",NA,0.506960621397274,0.785377974227233,NA,NA,NA,NA,NA,NA,NA,0.493514930601349,0.785716388595428,NA,NA,NA,NA,NA,NA,NA,0.616646843263502,0.787076806099371,NA,NA,NA,NA,NA,NA,NA,0.494624039455976,0.787265225178184,NA,NA,NA,NA,NA,NA
"5","108","139","2","G0","G1",1,"B4GALT1",NA,"T",NA,NA,NA,NA,0.542591475203036,0.784926965007762,NA,NA,NA,NA,NA,NA,NA,0.647670486494426,0.783114343209908,NA,NA,NA,NA,NA,NA,NA,0.686182780573281,0.785589003605218,NA,NA,NA,NA,NA,NA,NA,0.570498005273495,0.786933646506134,NA,NA,NA
"6","108","148","1","G0","G0N",1,"MGAT3",NA,"T",NA,0.602527850712373,0.455398605245802,NA,NA,NA,NA,NA,NA,NA,0.512900254376118,0.465269819902738,NA,NA,NA,NA,NA,NA,NA,0.596507460433876,0.462012668118118,NA,NA,NA,NA,NA,NA,NA,0.602589338846997,0.457761402122799,NA,NA,NA,NA,NA,NA
"7","108","148","2","G0","G0N",1,"MGAT3",NA,"T",NA,NA,NA,NA,0.605440108455031,0.449996429822538,NA,NA,NA,NA,NA,NA,NA,0.575224314085137,0.45786023109471,NA,NA,NA,NA,NA,NA,NA,0.517885498480233,0.457195408104406,NA,NA,NA,NA,NA,NA,NA,0.485559729205007,0.449725536176297,NA,NA,NA
"8","108","154","1","G0","G0F",1,"FUT8",NA,"T",NA,0.142120410007338,0.555131064015205,NA,NA,NA,NA,NA,NA,NA,0.216614927540991,0.555346439633425,NA,NA,NA,NA,NA,NA,NA,0.1886275531855,0.55753096861522,NA,NA,NA,NA,NA,NA,NA,0.17916232379209,0.55556390110793,NA,NA,NA,NA,NA,NA
"9","108","154","2","G0","G0F",1,"FUT8",NA,"T",NA,NA,NA,NA,0.00859912224924258,0.572348573938957,NA,NA,NA,NA,NA,NA,NA,0.0323063611241974,0.565160418937096,NA,NA,NA,NA,NA,NA,NA,-0.0204016030066274,0.565666571835661,NA,NA,NA,NA,NA,NA,NA,0.0107149988364442,0.568607335468372,NA,NA,NA
"10","108","164","1","G0","G2",0,NA,NA,NA,NA,0.028395000343774,0.38626734944795,NA,NA,NA,NA,NA,NA,NA,-0.0839195780536783,0.388057322141257,NA,NA,NA,NA,NA,NA,NA,-0.142987020767239,0.389800838648251,NA,NA,NA,NA,NA,NA,NA,-0.0292901961608203,0.386432813502235,NA,NA,NA,NA,NA,NA
