"","154_","176_","189_","182_","195_","199_","190_","197_","200_","201_"
"154_",1,0.523347748710367,-0.224048185627614,0.713067753292492,-0.318541347646956,-0.0237193775767051,0.0311661028640195,-0.0271231968804554,-0.114087463080402,0.00552832732334073
"176_",0.523347748710367,1,0.710245832622027,-0.373445541307605,0.344444014034097,-0.353518249086389,0.501131410667479,-0.358711620557119,-0.000235955992934591,-0.203891767026478
"189_",-0.224048185627614,0.710245832622027,1,0.046640845667626,-0.217604206768386,0.436050043390395,-0.465663611151441,0.560135469014435,-0.321720982131509,-0.0030194387199751
"182_",0.713067753292493,-0.373445541307605,0.0466408456676261,1,0.425277076924122,-0.146638654549903,-0.0744413824649893,-0.121701276700451,0.0406536293736792,-0.108805562062696
"195_",-0.318541347646956,0.344444014034097,-0.217604206768385,0.425277076924122,1,0.486560783750134,-0.172308764001996,-0.232664438624314,-0.164716036215784,0.123121414874567
"199_",-0.0237193775767056,-0.353518249086389,0.436050043390395,-0.146638654549902,0.486560783750133,1,-0.103789271370875,0.021552650878624,0.379982900173417,-0.301316962471581
"190_",0.0311661028640198,0.501131410667479,-0.465663611151441,-0.0744413824649895,-0.172308764001997,-0.103789271370875,1,0.439160524373614,0.210459064784543,-0.193997029154671
"197_",-0.0271231968804555,-0.358711620557119,0.560135469014435,-0.121701276700451,-0.232664438624314,0.0215526508786235,0.439160524373615,1,-0.00277182812997065,0.101242082247332
"200_",-0.114087463080402,-0.000235955992934249,-0.321720982131509,0.0406536293736791,-0.164716036215784,0.379982900173417,0.210459064784543,-0.00277182812997047,1,-0.00996452462492324
"201_",0.00552832732334069,-0.203891767026479,-0.00301943871997547,-0.108805562062696,0.123121414874566,-0.301316962471581,-0.193997029154671,0.101242082247333,-0.00996452462492386,1
