"","154_","176_","189_","182_","195_","199_","190_","197_","200_","201_","108_","139_","164_","148_","173_","187_","165_","184_","188_","196_"
"154_",1,0.497109510190776,-0.0337922286224608,0.650228077079291,0.0246158104216909,-0.514627852399973,-0.132061510911394,0.141479164469511,0.127775230921289,-0.136524633012304,0.0323063611241973,-0.0086394537546219,-0.0113741967281814,-0.159831493293264,-0.0198462485539686,0.0237009750198762,0.0281863060082495,0.0126354058627776,-0.120900271607763,0.0250272038013476
"176_",0.497109510190775,1,0.5816610615868,-0.225233173589396,-0.100458299998817,0.0907071802598301,0.579437544966711,-0.410256441889631,-0.15948849573283,0.0225656115536416,0.048855039908337,0.0210697313609928,0.0845772931375109,-0.00866982935195625,0.0170515588861676,0.122825721226655,-0.106726855330282,-0.269369236431384,-0.00833621933608283,0.0217194626560543
"189_",-0.0337922286224605,0.5816610615868,1,-0.167996441025696,0.222647201389357,0.375056443278865,-0.384538088894789,0.646719664661472,-0.0431863796267897,-0.218757875493896,-0.0137155216362685,-0.00327763233934532,0.0577417202174487,-0.0962703467620709,0.019080346523406,-0.20990464149967,0.00507267348352478,-0.0084944347666628,0.0234695669383518,0.172280287042625
"182_",0.65022807707929,-0.225233173589396,-0.167996441025696,1,0.422105411864325,0.397206188222675,-0.0290257199488493,0.0162488031340736,0.0154663407545231,-0.0130877737744996,-0.00589275067497618,-0.0131529903861749,-0.020980743743195,0.188085380584074,0.130900551427023,-0.00164150705799937,-0.0347600490334537,-0.124011529365135,0.0231759381265633,-0.121697188092157
"195_",0.0246158104216917,-0.100458299998817,0.222647201389357,0.422105411864326,1,0.191734786092586,0.410867678388074,-0.487119277662026,-0.00371307843388499,0.0791774430746213,-0.0267753260194009,-0.0333592018242794,-0.0714219193359194,-0.0283652919051335,-0.2566737093774,0.151140583641758,-0.0161178398400222,0.143719117288792,0.0369772976011914,-0.0254786618337784
"199_",-0.514627852399973,0.0907071802598304,0.375056443278866,0.397206188222676,0.191734786092586,1,-0.232448370361464,0.0652039183331799,-0.0652667753866575,0.385106924541269,-0.173941200354708,0.0499801580496557,-0.0165170648948346,0.034189643779562,0.00135541903066959,-0.00258207428915519,0.109895533676833,-0.0837818070512156,-0.0354685715808428,-0.108382817401497
"190_",-0.132061510911394,0.579437544966711,-0.384538088894789,-0.0290257199488491,0.410867678388075,-0.232448370361464,1,0.656968700275018,0.179975097767292,0.0125036945342052,0.0694737519335552,-0.0891927681681329,-0.0903868564157381,-0.108951701963806,0.00924519104041894,-0.141512455768154,0.153886930905087,0.12091304004451,0.0540603365710095,-0.0671519068262269
"197_",0.141479164469511,-0.410256441889631,0.646719664661472,0.0162488031340734,-0.487119277662026,0.06520391833318,0.656968700275018,1,-0.068856594935604,0.338743354511977,0.0225238847742938,0.0176819949210104,-0.0106467016424934,-0.0239113162121094,-0.132139586357153,0.180753555803188,-0.0898909492746686,0.0432190526831354,-0.0941442157799507,-0.165930701153099
"200_",0.127775230921289,-0.159488495732829,-0.0431863796267886,0.0154663407545225,-0.00371307843388399,-0.065266775386658,0.179975097767292,-0.068856594935604,1,0.459849199041645,-0.100796241285486,-0.0284448665744793,-0.0328476353632787,0.0372475301602991,0.0905275663222072,0.167287907549277,0.0487318627699336,-0.0763870644963564,-0.00434298353314713,0.040671968050216
"201_",-0.136524633012304,0.0225656115536414,-0.218757875493895,-0.0130877737745,0.0791774430746213,0.385106924541269,0.0125036945342048,0.338743354511977,0.459849199041648,1,0.0229772863685106,-0.0132081520675633,-0.0218539131377353,0.0497099183714756,-0.0169314025010883,-0.0672062687253404,-0.256451247661638,0.0958688494619875,-0.0634439896831983,0.215988898171705
"108_",0.0323063611241974,0.0488550399083371,-0.0137155216362687,-0.00589275067497609,-0.0267753260194011,-0.173941200354707,0.0694737519335555,0.0225238847742938,-0.100796241285485,0.0229772863685104,1,0.647670486494426,-0.245381914437976,0.575224314085137,-0.120409920387136,0.0114386834388368,0.00523976418481723,-0.145709334946565,-0.0279095038159954,0.0933186328597613
"139_",-0.00863945375462203,0.0210697313609929,-0.00327763233934546,-0.0131529903861747,-0.0333592018242796,0.0499801580496557,-0.0891927681681325,0.0176819949210105,-0.0284448665744798,-0.0132081520675633,0.647670486494426,1,0.484213629891076,-0.00256867500786861,0.211602608552987,-0.0563706955194533,0.165862806170396,0.179103582459977,-0.0930955758798104,-0.18306601223023
