"","154_","176_","189_","182_","195_","199_","190_","197_","200_","201_"
"154_",1,0.552226089652647,-0.271751265821915,0.710834359104453,-0.405020102753549,-0.0219717957399158,-0.0597621628146952,0.0396493009661563,-0.0808956373953297,-0.0960441412099208
"176_",0.552226089652647,1,0.778268304266965,-0.388902452580045,0.366364103112294,-0.396325137021835,0.635209497445285,-0.594834284527708,-0.0565479774152356,-0.0387819467841493
"189_",-0.271751265821915,0.778268304266964,1,0.0439549114267188,-0.238622057270219,0.413627096305595,-0.635385695738369,0.731529237892391,-0.167689503466998,-0.118104022450476
"182_",0.710834359104453,-0.388902452580045,0.0439549114267188,1,0.52775247347151,-0.194171812694847,0.0227593570667939,-0.0919872153702672,-0.0296637359979139,-0.0457470466069309
"195_",-0.405020102753549,0.366364103112294,-0.238622057270218,0.52775247347151,1,0.412269932843231,-0.308880631637138,-0.039598553182793,-0.128775809941557,0.0445279692691276
"199_",-0.0219717957399157,-0.396325137021835,0.413627096305595,-0.194171812694847,0.41226993284323,1,0.171035953118893,-0.246519288406613,0.0605918623492637,-0.216698385224202
"190_",-0.0597621628146948,0.635209497445285,-0.635385695738369,0.022759357066794,-0.308880631637138,0.171035953118893,1,0.581309127880482,0.0285512027148993,-0.1540231717087
"197_",0.0396493009661564,-0.594834284527707,0.731529237892391,-0.0919872153702672,-0.0395985531827934,-0.246519288406613,0.581309127880482,1,-0.0183616769931482,0.134250560640344
"200_",-0.0808956373953298,-0.0565479774152368,-0.167689503466999,-0.0296637359979131,-0.128775809941556,0.0605918623492649,0.0285512027148986,-0.0183616769931493,1,-0.130903909463964
"201_",-0.096044141209921,-0.0387819467841496,-0.118104022450476,-0.0457470466069307,0.044527969269128,-0.216698385224205,-0.1540231717087,0.134250560640343,-0.130903909463965,1
