"","154","176","182","189","190","195","197","199","200","201"
"154",1,0.776776987738557,0.456150580294605,0.380069362181044,0.363478726405224,0.349001560550517,0.18615924403175,0.166076455927256,0.156481486726091,0.0782052508473105
"176",1.28747006264248,1,0.587284106076551,0.489238954357204,0.46792628525066,0.449291998759952,0.239629021879743,0.213776447418411,0.201445049932966,0.100666743990586
"182",2.19286128244054,1.70337524961384,1,0.833441557483639,0.797021566198096,0.765084010113691,0.408202880163657,0.364068916456703,0.342990599327104,0.17142084918717
"189",2.63239970338936,2.04441452011063,1.20077526969884,1,0.956627173037935,0.918525955628122,0.489788342078555,0.436941598990609,0.41182356357616,0.20574796981779
"190",2.75174794181328,2.13730357897942,1.25515328439065,1.04564342170385,1,0.960208152442543,0.512105770275104,0.45686635528404,0.430442263223987,0.21510063465681
"195",2.86656026105085,2.2264937902679,1.30719382701708,1.08927003558842,1.04176410578545,1,0.53349141548224,0.475791891846456,0.448278096818892,0.224017079967471
"197",5.37537630474859,4.17467157955297,2.45187149290641,2.04193934937873,1.95322994620904,1.8755046115651,1,0.892136082635274,0.840735839812341,0.419999806835871
"199",6.02744420283519,4.68105126939222,2.74855928265371,2.28959085040319,2.19019707122688,2.10235945497906,1.12132358121073,1,0.942406508325233,0.470791029381171
"200",6.39843393392332,4.96964691298227,2.91735746215094,2.43125522712392,2.3248482227141,2.23163628959175,1.19054128676169,1.06175472013602,1,0.499718512143614
"201",12.8123257823305,9.95024976606821,5.84184024365338,4.86664453718512,4.65476283634228,4.46820211555546,2.38290009064491,2.12512142746877,2.00215218437627,1
