,st3gal4.st3gal6,EPO266.fut8.,WT
0,0.0,0.7950030102347984,0.8708189158016145
2,0.0,0.7950030102347984,0.8708189158016145
3,0.0,1.0,1.0
4,0.0,0.7950030102347984,0.8708189158016145
5,0.0,1.0,1.0
8,0.0,1.0,1.0
9,0.0,0.7950030102347984,0.8708189158016145
12,0.0,0.7950030102347984,0.8708189158016145
13,0.0,1.0,1.0
