,EPO266.fut8.,WT
0,0.09562739284377787,0.05687670154492079
2,0.10406942138404185,0.06365638766519824
3,0.09562739284377787,0.05687670154492079
6,0.10406942138404185,0.06365638766519824
7,0.10406942138404185,0.06365638766519824
8,0.09562739284377787,0.05687670154492079
9,0.2049969897652016,0.12918108419838525
10,0.10406942138404185,0.06365638766519824
11,0.09562739284377787,0.05782698592676582
15,0.10406942138404185,0.06365638766519824
16,0.10406942138404185,0.06365638766519824
17,0.16065383499371313,0.07090284592737979
19,0.2049969897652016,0.12918108419838525
23,0.10406942138404185,0.06365638766519824
24,0.10406942138404185,0.06365638766519824
28,0.10406942138404185,0.06365638766519824
29,0.16065383499371313,0.07090284592737979
30,0.16065383499371313,0.07090284592737979
31,0.2049969897652016,0.12918108419838525
35,0.2049969897652016,0.12918108419838525
39,0.10406942138404185,0.06365638766519824
40,0.10406942138404185,0.06365638766519824
41,0.16065383499371313,0.07090284592737979
42,0.16065383499371313,0.07090284592737979
47,0.16065383499371313,0.07090284592737979
48,0.16065383499371313,0.07090284592737979
49,0.2049969897652016,0.12918108419838525
50,0.2049969897652016,0.12918108419838525
51,0.2049969897652016,0.12918108419838525
57,0.10406942138404185,0.07907697920466983
62,0.16065383499371313,0.07090284592737979
63,0.16065383499371313,0.07090284592737979
64,0.16065383499371313,0.07090284592737979
65,0.2049969897652016,0.12918108419838525
66,0.2049969897652016,0.12918108419838525
72,0.16065383499371313,0.07090284592737979
73,0.2049969897652016,0.12918108419838525
74,0.2049969897652016,0.12918108419838525
75,0.2049969897652016,0.12918108419838525
82,0.16065383499371313,0.07090284592737979
83,0.16065383499371313,0.09057668198913496
89,0.16065383499371313,0.07090284592737979
90,0.16065383499371313,0.07090284592737979
91,0.2049969897652016,0.12918108419838525
92,0.2049969897652016,0.12918108419838525
93,0.2049969897652016,0.12918108419838525
94,0.2049969897652016,0.12918108419838525
100,0.2049969897652016,0.12918108419838525
101,0.2049969897652016,0.12918108419838525
110,0.16065383499371313,0.07090284592737979
111,0.16065383499371313,0.09057668198913496
112,0.2049969897652016,0.12918108419838525
119,0.2049969897652016,0.12918108419838525
120,0.2049969897652016,0.12918108419838525
121,0.2049969897652016,0.12918108419838525
127,0.2049969897652016,0.12918108419838525
133,0.16065383499371313,0.09057668198913496
137,0.2049969897652016,0.12918108419838525
138,0.2049969897652016,0.12918108419838525
142,0.2049969897652016,0.12918108419838525
143,0.2049969897652016,0.12918108419838525
154,0.2049969897652016,0.12918108419838525
155,0.2049969897652016,0.12918108419838525
161,0.2049969897652016,0.12918108419838525
