,index,keep,if_glycan
0,108,root,N
1,135,med_root,N
2,139,med_root,N
3,148,med_root,N
4,154,yes,G0F
5,164,immd,N
6,165,med_root,N
7,167,med_root,N
8,173,med_root,N
9,174,immd,N
10,176,yes,G1F
11,182,yes,G0FN
12,184,med_root,N
13,187,immd,N
14,189,yes,G2F
15,190,yes,G1FS
16,192,immd,N
17,194,med_root,N
18,195,yes,G1FN
19,197,yes,G2FS
20,198,med_root,N
21,199,yes,G2FN
22,200,yes,G1FNS
23,201,yes,G2FNS
