"","176_G1F","182_G0FN","189_G2F","190_G1FS","195_G1FN","197_G2FS","199_G2FN","200_G1FNS","201_G2FNS"
"176_G1F",1,-0.528439808848596,0.734578995344093,0.475192836868131,0.667343273238893,-0.342557868323296,-0.385405666863086,-0.317587497914686,0.256823802573767
"182_G0FN",-0.528439808848596,1,0.15244830107221,-0.130028253250614,0.694677259180062,-0.00295271398160843,-0.147354010945187,0.112038636620841,0.0218796088434647
"189_G2F",0.734578995344092,0.152448301072208,1,-0.44258351919677,-0.357998663575279,0.649515966647371,0.591176684458124,0.201751873185988,-0.565191072744335
"190_G1FS",0.475192836868131,-0.130028253250613,-0.44258351919677,1,-0.0210351512282677,0.692414104937105,-0.0722482025178684,0.661943125344787,-0.3958236495557
"195_G1FN",0.667343273238892,0.694677259180061,-0.357998663575279,-0.0210351512282662,1,-0.104357254682916,0.654151794701152,0.372715056500905,-0.285865254913029
"197_G2FS",-0.342557868323297,-0.00295271398160785,0.649515966647371,0.692414104937106,-0.104357254682915,1,-0.020446922187075,-0.251947604298565,0.622619245250672
"199_G2FN",-0.385405666863084,-0.147354010945185,0.591176684458124,-0.072248202517869,0.65415179470115,-0.0204469221870748,1,-0.274811221148028,0.599596922550362
"200_G1FNS",-0.317587497914686,0.112038636620841,0.201751873185988,0.661943125344786,0.372715056500906,-0.251947604298564,-0.274811221148028,1,0.5647029362337
"201_G2FNS",0.256823802573766,0.0218796088434627,-0.565191072744335,-0.3958236495557,-0.285865254913028,0.622619245250672,0.599596922550362,0.564702936233701,1
