"","176_G1F","182_G0FN","189_G2F","190_G1FS","195_G1FN","197_G2FS","199_G2FN","200_G1FNS","201_G2FNS"
"176_G1F",1,-0.52686599418289,0.741969184843163,0.471405532072516,0.682106989013991,-0.34096146290721,-0.525146691476275,-0.380761356575975,0.366849611702777
"182_G0FN",-0.52686599418289,1,0.144944458920289,-0.157278341777897,0.717837455649142,0.0456841934611464,-0.248850963336605,0.0684241572879352,0.0610006776925867
"189_G2F",0.741969184843163,0.144944458920288,1,-0.468320554157192,-0.328204423736474,0.690723098180935,0.621836691154091,0.24499201426527,-0.632905783047977
"190_G1FS",0.471405532072514,-0.157278341777899,-0.468320554157191,1,-0.105432587974345,0.660731605280118,0.122894034276891,0.727163792526951,-0.560761251310997
"195_G1FN",0.682106989013991,0.717837455649141,-0.328204423736474,-0.105432587974347,1,-0.0948313527925553,0.718854207286318,0.487039877402879,-0.331889815559917
"197_G2FS",-0.340961462907209,0.0456841934611477,0.690723098180934,0.660731605280118,-0.094831352792556,1,-0.110316507378352,-0.231401804246119,0.724861319089323
"199_G2FN",-0.525146691476275,-0.248850963336604,0.621836691154091,0.122894034276892,0.718854207286317,-0.110316507378352,1,-0.445851908363694,0.604330608004079
"200_G1FNS",-0.380761356575973,0.0684241572879372,0.244992014265268,0.727163792526951,0.487039877402877,-0.231401804246118,-0.445851908363693,1,0.588851622421454
"201_G2FNS",0.366849611702775,0.0610006776925848,-0.632905783047975,-0.560761251310997,-0.331889815559915,0.724861319089323,0.604330608004079,0.588851622421455,1
