"panel","ceramide","unsaturated","carbons","rnam","tissue","rostral_caudal","structure","L28785","L28795","L28799","L28808","L28810","L28813","L28803","L28804","L28791","L28807","col"
"A.Retina","A","36:1+38:1","","","A.Retina","Retina","2","eye",1,0.56,0.4,0.16,0.16,0.24,0.12,0.2,0.08,0,"36:1+38:1  "
"A.Ciliary.Body","A","36:1+38:1","","","A.Ciliary.Body","Ciliary.Body","1","eye",1,0.640718562874252,0.760479041916168,0,0.502994011976048,0.437125748502994,0.335329341317365,0.317365269461078,0.215568862275449,0.119760479041916,"36:1+38:1  "
"B.Retina","B","34:1","","","B.Retina","Retina","2","eye",1,0.646288209606987,0.78311499272198,0.049490538573508,0.518195050946143,0.50509461426492,0.378457059679767,0.374090247452693,0.24745269286754,0.12372634643377,"34:1  "
"B.Ciliary.Body","B","34:1","","","B.Ciliary.Body","Ciliary.Body","1","eye",1,0.763085399449036,0.903581267217631,0,0.713498622589532,0.608815426997245,0.53168044077135,0.415977961432507,0.338842975206612,0.190082644628099,"34:1  "
"C.Retina","C","40:1+42:2","","","C.Retina","Retina","2","eye",1,0.668263473053892,0.697005988023952,0.0970059880239521,0.467065868263473,0.459880239520958,0.348502994011976,0.34251497005988,0.231137724550898,0.116167664670659,"40:1+42:2  "
"C.Ciliary.Body","C","40:1+42:2","","","C.Ciliary.Body","Ciliary.Body","1","eye",1,0.672699849170437,0.794871794871795,0,0.565610859728507,0.523378582202112,0.419306184012066,0.380090497737557,0.276018099547511,0.147812971342383,"40:1+42:2  "
"D.Retina","D","","1","","D.Retina","Retina","2","eye",1,0.826388888888889,0.256944444444444,0.375,0.229166666666667,0.236111111111111,0.215277777777778,0.1875,0.166666666666667,0.0902777777777778," 1 "
"D.Ciliary.Body","D","","1","","D.Ciliary.Body","Ciliary.Body","1","eye",1,0.432692307692308,0.581730769230769,0,0.235576923076923,0.408653846153846,0.206730769230769,0.370192307692308,0.168269230769231,0.0480769230769231," 1 "
"E.Retina","E","","2","","E.Retina","Retina","2","eye",1,0.646153846153846,0.276923076923077,0.292307692307692,0.153846153846154,0.246153846153846,0.138461538461538,0.215384615384615,0.107692307692308,0.0461538461538461," 2 "
"E.Ciliary.Body","E","","2","","E.Ciliary.Body","Ciliary.Body","1","eye",1,0.389705882352941,0.529411764705882,0,0.176470588235294,0.382352941176471,0.154411764705882,0.345588235294118,0.117647058823529,0.00735294117647059," 2 "
"F.Retina","F","","","lt34","F.Retina","Retina","2","eye",1,0.56,0.4,0.16,0.16,0.24,0.12,0.2,0.08,0,"  lt34"
"F.Ciliary.Body","F","","","lt34","F.Ciliary.Body","Ciliary.Body","1","eye",1,0.633720930232558,0.744186046511628,0,0.488372093023256,0.430232558139535,0.325581395348837,0.313953488372093,0.209302325581395,0.116279069767442,"  lt34"
"G.Retina","G","","","gt42","G.Retina","Retina","2","eye",1,0.835820895522388,0.119402985074627,0.462686567164179,0.104477611940299,0.119402985074627,0.104477611940299,0.104477611940299,0.0895522388059702,0.0447761194029851,"  gt42"
"G.Ciliary.Body","G","","","gt42","G.Ciliary.Body","Ciliary.Body","1","eye",1,0.404907975460123,0.595092024539877,0,0.226993865030675,0.429447852760736,0.202453987730061,0.392638036809816,0.165644171779141,0.0368098159509202,"  gt42"
